"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"ALB","Europe","Albania",2021-09-02,148222,853,852.714,2505,4,2.714,51592.553,296.909,296.81,871.931,1.392,0.945,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499898,844304,655594,NA,14648,11999,52.21,29.39,22.82,NA,4177,5277,0.184,38.89,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-03,149117,895,849,2508,3,3,51904.081,311.528,295.517,872.975,1.044,1.044,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11679,NA,NA,NA,NA,4065,5285,0.184,38.89,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-04,150101,984,860.286,2512,4,3.143,52246.588,342.507,299.445,874.367,1.392,1.094,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11885,NA,NA,NA,NA,4137,5577,0.194,38.89,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-05,150997,896,878.571,2515,3,3.286,52558.465,311.876,305.81,875.412,1.044,1.144,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12091,NA,NA,NA,NA,4209,5869,0.204,38.89,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-06,151499,502,880.857,2519,4,3.429,52733.199,174.734,306.605,876.804,1.392,1.193,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539232,865281,673951,NA,NA,11598,53.58,30.12,23.46,NA,4037,5873,0.204,38.89,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-07,152239,740,836,2523,4,3.571,52990.775,257.576,290.992,878.196,1.392,1.243,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553626,872116,681510,NA,14394,11616,54.08,30.36,23.72,NA,4043,5960,0.207,41.67,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-08,153318,1079,849.857,2528,5,3.857,53366.35,375.574,295.815,879.937,1.74,1.343,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1567313,879459,687854,NA,13687,11723,54.55,30.61,23.94,NA,4080,6121,0.213,41.67,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-09,154316,998,870.571,2531,3,3.714,53713.73,347.38,303.025,880.981,1.044,1.293,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1579402,885981,693421,NA,12089,11358,54.98,30.84,24.14,NA,3953,5954,0.207,41.67,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-10,155293,977,882.286,2535,4,3.857,54053.8,340.07,307.103,882.373,1.392,1.343,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589575,890978,698597,NA,10173,11406,55.33,31.01,24.32,NA,3970,5919,0.206,41.67,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
"ALB","Europe","Albania",2021-09-11,156162,869,865.857,2539,4,3.857,54356.278,302.478,301.384,883.766,1.392,1.343,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598196,895363,702833,NA,8621,11233,55.63,31.17,24.46,NA,3910,5796,0.202,41.67,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA
