"","country","birth.rate","death.rate","population","continent"
"1","Afghanistan",34.1,7.7,30552,"Asia"
"2","Albania",12.9,9.4,3173,"Europe"
"3","Algeria",24.3,5.7,39208,"Africa"
"4","Andorra",8.9,8.4,79,"Europe"
"5","Angola",44.1,13.9,21472,"Africa"
"6","Antigua and Barbuda",16.5,6.8,90,"Americas"
"7","Argentina",16.8,7.6,41446,"Americas"
"8","Armenia",13.7,12.6,2977,"Asia"
"9","Australia",13.2,6.4,23343,"Oceania"
"10","Austria",9.5,9,8495,"Europe"
"11","Azerbaijan",17.8,6.3,9413,"Asia"
"12","Bahamas",15.3,6.1,377,"Americas"
"13","Bahrain",15.2,2.2,1332,"Asia"
"14","Bangladesh",20,5.7,156595,"Asia"
"15","Barbados",12.7,6.4,285,"Americas"
"16","Belarus",11,13.5,9357,"Europe"
"17","Belgium",11.7,9.9,11104,"Europe"
"18","Belize",23.4,4,332,"Americas"
"19","Benin",36.4,9.6,10323,"Africa"
"20","Bhutan",19.6,6.5,754,"Asia"
"21","Bosnia and Herzegovina",9,9.4,3829,"Europe"
"22","Botswana",23.6,7.2,2021,"Africa"
"23","Brazil",14.9,6.1,200362,"Americas"
"24","Brunei Darussalam",15.5,3.6,418,"Asia"
"25","Bulgaria",9.6,14.2,7223,"Europe"
"26","Burkina Faso",40.9,9.5,16935,"Africa"
"27","Burundi",44.7,11.1,10163,"Africa"
"28","Cabo Verde",20.1,5.2,499,"Africa"
"29","Cambodia",25.7,5.7,15135,"Asia"
"30","Cameroon",37.3,10.8,22254,"Africa"
"31","Canada",11.3,7.2,35182,"Americas"
"32","Central African Republic",34.2,14,4616,"Africa"
"33","Chad",45.9,13.6,12825,"Africa"
"34","Chile",13.9,5.4,17620,"Americas"
"35","China",13.3,7.2,1393337,"Asia"
"36","Colombia",18.8,4.2,48321,"Americas"
"37","Comoros",35.2,8.2,735,"Africa"
"38","Congo",37.6,10.1,4448,"Africa"
"39","Cook Islands",14.9,5,21,"Oceania"
"40","Costa Rica",15.1,4.4,4872,"Americas"
"41","Croatia",9.5,11.1,4290,"Europe"
"42","Cuba",9.5,8.5,11266,"Americas"
"43","Cyprus",11.5,5.5,1141,"Asia"
"44","Czech Republic",11.1,10,10702,"Europe"
"45","Denmark",11.3,9.6,5619,"Europe"
"46","Djibouti",27.5,8.8,873,"Africa"
"47","Dominica",15.6,7.2,72,"Americas"
"48","Dominican Republic",20.8,5.9,10404,"Americas"
"49","Ecuador",20.8,5.3,15738,"Americas"
"50","Egypt",23.2,6.4,82056,"Africa"
"51","El Salvador",20.1,6.6,6340,"Americas"
"52","Equatorial Guinea",35.4,11.5,757,"Africa"
"53","Eritrea",36.7,6.3,6333,"Africa"
"54","Estonia",10.9,11.3,1287,"Europe"
"55","Ethiopia",33,7.2,94101,"Africa"
"56","Fiji",20.4,6.9,881,"Oceania"
"57","Finland",11.2,9.4,5426,"Europe"
"58","France",12.3,8.7,64291,"Europe"
"59","Gabon",31.9,9,1672,"Africa"
"60","Gambia",42.7,8.2,1849,"Africa"
"61","Georgia",13.3,11.5,4341,"Asia"
"62","Germany",8.5,10.6,82727,"Europe"
"63","Ghana",30.9,8.1,25905,"Africa"
"64","Greece",9.7,9.7,11128,"Europe"
"65","Grenada",19.3,6.9,106,"Americas"
"66","Guatemala",31,5.2,15468,"Americas"
"67","Guinea",36.9,10.1,11745,"Africa"
"68","Guinea-Bissau",37.5,12.3,1704,"Africa"
"69","Guyana",20.3,7.9,800,"Americas"
"70","Haiti",25.6,8.6,10317,"Americas"
"71","Honduras",25.8,4.5,8098,"Americas"
"72","Hungary",9.9,13,9955,"Europe"
"73","Iceland",14.5,6.2,330,"Europe"
"74","India",20.4,7.9,1252140,"Asia"
"75","Indonesia",18.8,6.2,249866,"Asia"
"76","Iran, Islamic Republic of",18.8,5.1,77447,"Asia"
"77","Iraq",31.1,4.8,33765,"Asia"
"78","Ireland",15.4,5.9,4627,"Europe"
"79","Israel",20.3,5.1,7733,"Asia"
"80","Italy",9.2,9.5,60990,"Europe"
"81","Jamaica",18,7.1,2784,"Americas"
"82","Japan",8.4,9.5,127144,"Asia"
"83","Jordan",27,3.7,7274,"Asia"
"84","Kazakhstan",20.5,9.7,16441,"Asia"
"85","Kenya",34.9,8.3,44354,"Africa"
"86","Kiribati",23.3,8.2,102,"Oceania"
"87","Korea, Republic of",9.6,5.5,49263,"Asia"
"88","Kuwait",20.6,1.9,3369,"Asia"
"89","Kyrgyzstan",27.1,6.6,5548,"Asia"
"90","Lao People's Democratic Republic",26.8,6.7,6770,"Asia"
"91","Latvia",11,14.2,2050,"Europe"
"92","Lebanon",13.4,4.4,4822,"Asia"
"93","Lesotho",27.5,14.1,2074,"Africa"
"94","Liberia",35.5,8,4294,"Africa"
"95","Libya",20.7,4.2,6202,"Africa"
"96","Lithuania",11.3,12,3017,"Europe"
"97","Luxembourg",11.6,6.8,530,"Europe"
"98","Madagascar",34.7,7,22925,"Africa"
"99","Malawi",39.8,9,16363,"Africa"
"100","Malaysia",17.7,5,29717,"Asia"
"101","Maldives",22,3.5,345,"Asia"
"102","Mali",47.1,11.2,15302,"Africa"
"103","Malta",9.2,7.5,429,"Europe"
"104","Marshall Islands",27.2,6.6,53,"Oceania"
"105","Mauritania",34.1,7.8,3890,"Africa"
"106","Mauritius",11.5,7.4,1244,"Africa"
"107","Mexico",18.4,5.3,122332,"Americas"
"108","Monaco",6.8,8.7,38,"Europe"
"109","Mongolia",22.7,6.7,2839,"Asia"
"110","Montenegro",11.6,9.5,621,"Europe"
"111","Morocco",22.7,6.4,33008,"Africa"
"112","Mozambique",38.9,11.8,25834,"Africa"
"113","Myanmar",17.2,8.4,53259,"Asia"
"114","Namibia",26,5.7,2303,"Africa"
"115","Nauru",26.4,3.5,10,"Oceania"
"116","Nepal",21,6.6,27797,"Asia"
"117","Netherlands",10.7,8.3,16759,"Europe"
"118","New Zealand",13.8,6.3,4506,"Oceania"
"119","Nicaragua",22.7,4.8,6080,"Americas"
"120","Niger",49.7,10.2,17831,"Africa"
"121","Nigeria",41.2,11.9,173615,"Africa"
"122","Niue",NA,5.9,1,"Oceania"
"123","Norway",12.4,8.1,5043,"Europe"
"124","Oman",20.9,2.8,3632,"Asia"
"125","Pakistan",25.2,7.3,182143,"Asia"
"126","Palau",10.9,5.9,21,"Oceania"
"127","Panama",19.4,5,3864,"Americas"
"128","Papua New Guinea",28.9,7.7,7321,"Oceania"
"129","Paraguay",23.7,4.8,6802,"Americas"
"130","Peru",19.7,4.4,30376,"Americas"
"131","Philippines",24.4,5.9,98394,"Asia"
"132","Poland",10.8,10,38217,"Europe"
"133","Portugal",8.7,9.1,10608,"Europe"
"134","Qatar",11,1.3,2169,"Asia"
"135","Romania",10.3,11.8,21699,"Europe"
"136","Russian Federation",11.8,14.8,142834,"Europe"
"137","Rwanda",35.2,6.4,11777,"Africa"
"138","Saint Kitts and Nevis",13.8,8.5,54,"Americas"
"139","Saint Lucia",15.4,7,182,"Americas"
"140","Saint Vincent and the Grenadines",16.3,6.5,109,"Americas"
"141","Samoa",26.2,5.2,190,"Oceania"
"142","San Marino",8.8,10.2,31,"Europe"
"143","Sao Tome and Principe",33.9,6.5,193,"Africa"
"144","Saudi Arabia",19.4,3.2,28829,"Asia"
"145","Senegal",37.7,7,14133,"Africa"
"146","Serbia",9.7,11.9,9511,"Europe"
"147","Seychelles",16.6,6.7,93,"Africa"
"148","Sierra Leone",36.6,16.8,6092,"Africa"
"149","Singapore",9.9,4.5,5412,"Asia"
"150","Slovakia",10.7,9.4,5450,"Europe"
"151","Slovenia",10,9.1,2072,"Europe"
"152","Solomon Islands",30.8,5.4,561,"Oceania"
"153","Somalia",43.8,12.7,10496,"Africa"
"154","South Africa",20.9,11.1,52776,"Africa"
"155","South Sudan",36.1,11.1,11296,"Africa"
"156","Spain",10.4,8.2,46927,"Europe"
"157","Sri Lanka",17.9,6.6,21273,"Asia"
"158","Sudan",33.5,7.8,37964,"Africa"
"159","Suriname",17.7,4.6,539,"Americas"
"160","Swaziland",29.9,11.8,1250,"Africa"
"161","Sweden",12,9.6,9571,"Europe"
"162","Switzerland",10.4,7.7,8078,"Europe"
"163","Syrian Arab Republic",24,3.5,21898,"Asia"
"164","Tajikistan",33,6,8208,"Asia"
"165","Thailand",10.2,7.6,67010,"Asia"
"166","Timor-Leste",35.8,6,1133,"Asia"
"167","Togo",36.4,9.6,6817,"Africa"
"168","Tonga",25.5,6.7,105,"Oceania"
"169","Trinidad and Tobago",14.5,9.6,1341,"Americas"
"170","Tunisia",17.2,5.5,10997,"Africa"
"171","Turkey",16.8,5.7,74933,"Asia"
"172","Turkmenistan",21.3,8.8,5240,"Asia"
"173","Tuvalu",23.6,8.7,10,"Oceania"
"174","Uganda",43.2,9.2,37579,"Africa"
"175","Ukraine",10.8,15.1,45239,"Europe"
"176","United Arab Emirates",14.5,1.1,9346,"Asia"
"177","United Kingdom",12.2,8.9,63136,"Europe"
"178","United States",13.2,8.4,320051,"Americas"
"179","Uruguay",14.5,9.1,3407,"Americas"
"180","Uzbekistan",21.5,6.4,28934,"Asia"
"181","Vanuatu",26.6,4.5,253,"Oceania"
"182","Viet Nam",15.5,5.8,91680,"Asia"
"183","Yemen",31.1,6.7,24407,"Asia"
"184","Zambia",42.8,9.7,14539,"Africa"
"185","Zimbabwe",31.3,9.8,14150,"Africa"
