Country_code_A3,Name,C_group_IM24_sh,dev_country,Substance,FOOD_system_stage,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
AFG,Afghanistan,18:_India +,D,GWP_100_CH4,LULUC (Production),0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0047,0.0028,0.0076,0.0021,0.0167,0,0,0,0,0,0.0051,0,0,0.0051,0,0,0,0,0,0
AGO,Angola,10:_Southern_Africa,D,GWP_100_CH4,LULUC (Production),707.6091,707.6091,707.6091,707.6091,707.6091,707.6091,1068.7666,981.323,1190.3047,1094.4129,979.6214,648.4311,703.0686,753.0211,862.9071,848.0733,594.0639,811.8195,590.402,631.2809,630.6945,935.4881,640.4808,757.7078,590.3255,782.8084
ALB,Albania,12:_Central Europe,I,GWP_100_CH4,LULUC (Production),0.5462,0.5462,0.5462,0.5462,0.5462,0.5462,0.3343,0.7975,0.4061,0.3304,1.8465,0.1636,0,0.2393,0,0.0153,0.0103,5.3266,0.1266,0.1373,0.0418,1.3985,2.5064,0.0254,0,0.2416
ARG,Argentina,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),318.4178,318.4178,318.4178,318.4178,318.4178,318.4178,153.5507,165.1748,174.0598,206.9,123.4907,242.78,353.4887,437.1578,564.6899,345.8644,401.0064,325.5413,411.6385,421.5235,238.6446,257.0688,375.5614,254.9171,141.5931,125.2037
ARM,Armenia,16:_Russia +,I,GWP_100_CH4,LULUC (Production),0.0575121966663458,0.0575121966663458,0.0575,0.0575,0.0575,0.0575,0.0061,0.0064,0.0585,0.0063,0,0.0915,0.0051,0.0051,0.0305,0.0153,0.1322,0.0254,0.0203,0,0.4474,0,0.0712,0.0356,0,0.0305
AUS,Australia,24:_Oceania,I,GWP_100_CH4,LULUC (Production),149.3447,149.3447,149.3447,149.3447,149.3447,149.3447,174.7258,256.452,202.991,275.0307,96.6751,219.1614,267.5906,458.2513,56.5322,51.3088,298.2849,135.9591,32.6299,184.9637,29.1353,60.746,92.1681,176.0669,125.8404,91.2092
AUT,Austria,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.033,0.033,0.033,0.033,0.033,0.033,0.002,0.0017,0.0018,0.0204,0.0038,0,0.0051,0.0305,0.2223,0.1678,0.0102,0.0051,0.1266,0.0153,0,0.0102,0.0203,0.0407,0.1424,0
AZE,Azerbaijan,16:_Russia +,I,GWP_100_CH4,LULUC (Production),0.220446750352393,0.220446750352393,0.2204,0.2204,0.2204,0.2204,0.0394,0.047,0.3574,0.0492,0.6328,0.6711,0.5287,0.0864,0.0305,0.1373,0.1932,0.1271,0.0702,0.1932,0.5491,0.0966,0.1169,0.122,0.2084,0.2685
BDI,Burundi,09:_Eastern_Africa,D,GWP_100_CH4,LULUC (Production),17.2659,17.2659,17.2659,17.2659,17.2659,17.2659,12.2061,13.3434,15.3146,13.345,14.928,18.9636,28.0977,30.5555,22.8231,16.0842,15.1807,10.3016,16.1011,18.09,17.3848,14.7333,12.55,15.2718,11.5686,11.3403
BEL,Belgium,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0176,0.0136,0.0136,0.0136,0.0136,0,0,0.0051,0.0254,0,0.0265,0.0407,0,0,0,0.8873,0,0,0.0262,0
BEN,Benin,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),1.8264,1.8264,1.8264,1.8264,1.8264,1.8264,18.7872,15.6704,39.3666,33.2282,22.8616,1.4292,1.5634,0.8843,3.0242,2.4004,1.1055,1.9582,1.0581,2.6057,0.4422,0.4264,3.6875,0.9949,1.1686,3.5691
BFA,Burkina Faso,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),1.5693,1.5693,1.5693,1.5693,1.5693,1.5693,34.6616,32.642,51.3026,38.7651,45.4056,1.287,6.909,1.1212,7.9276,0.687,1.1607,0.3395,0.1579,2.6609,0.3632,0.3475,0.9396,0.3395,0.2843,0.1816
BGD,Bangladesh,18:_India +,D,GWP_100_CH4,LULUC (Production),12.4904,12.4904,12.4904,12.4904,12.4904,12.4904,4.1607,3.822,4.2342,5.6337,2.9081,8.8119,0.339,5.5251,14.724,6.072,23.3418,9.0781,17.5125,9.7655,21.3991,16.5534,7.4266,19.6306,23.3691,11.8574
BGR,Bulgaria,12:_Central Europe,I,GWP_100_CH4,LULUC (Production),1.3411,1.3411,1.3411,1.3411,1.3411,1.3411,0.5426,0.4842,0.706,0.5617,1.4796,6.1481,0.3231,0.506,0.9154,0.731,1.6877,3.261,1.0482,0.3358,1.1787,1.7349,1.4249,0.6817,0.4445,0.4927
BHS,Bahamas,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),3.0839,3.0839,3.0839,3.0839,3.0839,3.0839,2.7547,2.7211,3.0611,3.0279,3.8547,1.1291,2.3767,0.3395,6.0562,3.4111,2.0214,1.2792,3.9243,2.432,1.2396,6.6958,1.5476,7.3354,2.3136,2.7715
BIH,Bosnia and Herzegovina,12:_Central Europe,I,GWP_100_CH4,LULUC (Production),1.4075,1.4075,1.4075,1.4075,1.4075,1.4075,1.0781,0.5373,2.1062,2.2721,4.5842,0.7906,0.3101,5.3653,1.7286,0.244,0.9761,2.4997,1.5038,0.2237,0.1983,3.4468,3.6201,0.122,0.3152,0.7445
BLR,Belarus,14:_Ukraine +,I,GWP_100_CH4,LULUC (Production),16.4664920646618,16.4664920646618,16.463,16.463,16.463,16.463,4.4832,3.8733,4.1767,5.9028,4.4216,6.0889,87.1198,32.5163,4.0279,7.4998,20.5272,2.9644,2.5752,6.1169,2.7696,2.2852,25.6604,5.3653,25.2496,31.0992
BLZ,Belize,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),27.4228,27.4228,27.4228,27.4228,27.4228,27.4228,7.6906,4.9203,9.4476,7.2415,7.9333,10.3738,33.4115,48.3422,6.9504,32.2492,19.3648,44.4543,28.8686,12.888,34.1526,57.9929,4.478,52.3057,7.3809,24.7584
BOL,Bolivia (Plurinational State of),06:_Rest South America,D,GWP_100_CH4,LULUC (Production),277.5408,277.5408,277.5408,277.5408,277.5408,277.5408,196.6197,209.464,207.8633,363.8479,88.365,78.0684,241.4844,105.6308,563.1817,387.9425,194.6035,426.4056,200.4666,92.2626,1018.5349,339.0837,139.2595,87.7172,93.3882,140.5566
BRA,Brazil,05:_Brazil,D,GWP_100_CH4,LULUC (Production),652.9029,652.9029,652.9029,652.9029,652.9029,652.9029,359.144,438.9167,780.8181,592.1104,88.5971,349.4678,894.9714,860.1291,886.7196,1057.9925,473.2527,1044.3698,365.3276,279.2806,1034.3036,263.2015,522.4209,198.4701,434.0234,977.0882
BRN,Brunei Darussalam,21:_Southeastern Asia,D,GWP_100_CH4,LULUC (Production),0.0597,0.0597,0.0597,0.0597,0.0597,0.0597,1.527,3.6339,47.7436,0.5919,0.7802,0.5675,0,1.671,0.1656,0.4966,0,0.0079,0,0.3233,0.1971,0,0,0,1.0326,0.7567
BTN,Bhutan,18:_India +,D,GWP_100_CH4,LULUC (Production),1.3663,1.3663,1.3663,1.3663,1.3663,1.3663,0.505,0.4968,0.9521,1.6381,0.6581,0.5864,0.1581,0.1263,0.7395,0.8134,0.6165,2.8175,0.7213,0.4338,2.9477,1.3268,5.003,0.6389,2.0014,2.1205
BWA,Botswana,10:_Southern_Africa,D,GWP_100_CH4,LULUC (Production),362.5074,362.5074,362.5074,362.5074,362.5074,362.5074,489.6726,591.4479,680.8472,536.9971,424.0914,278.9036,1120.4421,662.4173,116.2853,545.3334,175.5304,576.9954,139.692,79.0662,32.3994,81.3214,82.3991,385.303,95.717,995.6238
CAF,Central African Republic,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),28.8699,28.8699,28.8699,28.8699,28.8699,28.8699,70.4173,162.6386,256.4824,214.8965,163.3532,30.2813,17.6081,38.3983,20.3794,35.998,15.7919,19.4637,34.6857,19.5268,26.0884,26.9728,29.8387,28.1256,15.6262,29.3729
CAN,Canada,01:_Canada,I,GWP_100_CH4,LULUC (Production),722.117,722.117,722.117,722.117,722.117,722.117,449.9339,238.6683,1272.8675,546.9302,216.7636,107.3419,916.2984,863.7446,513.9746,491.9801,736.6997,499.086,550.0098,161.744,910.4481,540.4879,818.6972,1388.6153,952.2717,1498.7733
CHE,Switzerland,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0007,0.0006,0.0008,0.0007,0,0,0.0508,0.0661,0,0.0051,0,0.0203,0,0.0771,0,0,0.0041,0,0.202,0
CHL,Chile,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),9.1702,9.1702,9.1702,9.1702,9.1702,9.1702,3.1475,6.2149,4.7242,5.2711,2.3526,1.3023,7.265,6.8634,6.4262,11.3678,4.3875,10.4781,14.2962,9.4613,6.7871,10.791,9.4003,2.8554,10.468,29.8421
CHN,China,20:_China +,D,GWP_100_CH4,LULUC (Production),87.0982,87.0982,87.0982,87.0982,87.0982,87.0982,34.8575,35.0086,41.9033,37.5179,42.5258,38.9645,37.9604,199.2513,123.211,68.7648,49.129,84.3007,221.8777,113.6993,104.0544,53.8621,46.3189,52.5314,96.0883,52.9858
CHN,China. mainland,20:_China +,D,GWP_100_CH4,LULUC (Production),87.033,87.033,87.033,87.033,87.033,87.033,34.8468,34.9878,41.8938,37.5084,42.5197,38.9645,37.9604,199.1724,122.8399,68.7332,49.0737,84.2849,221.8066,113.6355,103.9754,53.8305,46.3189,52.3735,96.0883,52.9543
CIV,C?´te d'Ivoire,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),15.4325,15.4325,15.4325,15.4325,15.4325,15.4325,4.0531,9.9424,22.1251,21.9828,16.9276,22.6931,5.8666,6.779,14.347,10.0898,10.1743,38.6316,15.5516,23.9464,8.3928,6.7112,34.5907,7.5857,6.4102,8.7385
CMR,Cameroon,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),90.6084,90.6084,90.6084,90.6084,90.6084,90.6084,59.6293,57.9191,126.3741,95.0576,79.0906,45.7736,35.3598,108.1559,85.6422,132.8933,50.8825,80.699,127.9525,89.773,80.1055,80.8897,56.94,158.042,73.5048,115.3777
COD,Democratic Republic of the Congo,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),439.7388,439.7388,439.7388,439.7388,439.7388,439.7388,772.2118,967.4651,995.4567,819.1162,721.5311,301.6902,265.7852,375.9886,445.9726,497.845,360.5522,442.8764,417.4253,436.4825,407.3808,485.5483,475.1418,584.1826,460.1552,461.6688
COG,Congo,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),293.1467,293.1467,293.1467,293.1467,293.1467,293.1467,32.11,33.1067,29.0316,31.1008,23.9572,93.8314,65.0513,203.9541,309.2441,408.0029,392.9905,370.4054,301.0982,237.5105,278.8437,387.9832,350.7782,391.7694,167.1809,347.0166
COL,Colombia,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),58.6536,58.6536,58.6536,58.6536,58.6536,58.6536,6.9134,17.7367,18.4602,11.3076,22.404,17.0501,10.1444,97.6203,129.6457,11.5153,17.1753,87.8812,25.9577,14.8068,13.5593,19.9613,23.5285,27.0032,90.0337,63.0961
COM,Comoros,09:_Eastern_Africa,D,GWP_100_CH4,LULUC (Production),0.1649,0.1649,0.1649,0.1649,0.1649,0.1649,0.0548,0.0547,0.0569,0.0527,0.0047,0,0,0.0869,0,1.8288,0.0316,0.0525,0.1895,0.0305,0.0395,0.0079,0.0079,0.0158,0.1258,0.1974
CRI,Costa Rica,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),2.9411,2.9411,2.9411,2.9411,2.9411,2.9411,0.7114,0.9943,1.8128,1.1424,1.1023,2.1308,0.6842,11.2573,1.0976,1.1823,0.8597,2.6987,0.758,0.6899,2.0032,0.1579,2.5638,4.6129,3.0286,4.5622
CUB,Cuba,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),3.9031,3.9031,3.9031,3.9031,3.9031,3.9031,1.7849,1.5189,2.9465,3.2703,3.9186,1.7213,3.2927,0.7738,4.3112,6.9248,5.614,2.432,1.6266,4.856,2.5899,8.1881,2.4083,4.1296,3.0399,7.2248
