NR;WOJEWÓDZTWO;KOD STARY;KOD NOWY;NAZWA STACJI;MIEJSCOWOSC;ADRES
1;DOLNOŒL¥SKIE;DsBogatMob;DsBogatFrancMOB;Bogatynia Mobil;Bogatynia;ul. Francuska/Krêta
2;DOLNOŒL¥SKIE;DsCzer02;DsCzerStraza;Czerniawa;Czerniawa;ul. Stra¿acka
3;DOLNOŒL¥SKIE;DsDzia01;DsDzialoszyn;Dzia³oszyn;Dzia³oszyn;
4;DOLNOŒL¥SKIE;DsDzierPilsA;DsDziePilsud;Dzier¿oniów - Pi³sudskiego;Dzier¿oniów;ul. Pi³sudskiego
5;DOLNOŒL¥SKIE;DsGlogWita;DsGlogWiStwo;G³ogów - Wita Stwosza;G³ogów;ul. Wita Stwosza
6;DOLNOŒL¥SKIE;DsJeleniaGoraA;DsJelGorOgin;Jelenia Góra - Ogiñskiego;Jelenia Góra;ul. Ogiñskiego 6
7;DOLNOŒL¥SKIE;DsJeleniaGoraPM;DsJelGorSoko;Jelenia Góra - Sokoliki;Jelenia Góra;ul. Sokoliki 6
8;DOLNOŒL¥SKIE;DsKlodzkoA;DsKlodzSzkol;K³odzko - Szkolna;K³odzko;ul. Szkolna 8
9;DOLNOŒL¥SKIE;DsLegRzeczA;DsLegAlRzecz;Legnica - Rzeczypospolitej;Legnica;al. Rzeczypospolitej 10/12
10;DOLNOŒL¥SKIE;DsNRudaSrebP;DsNowRudSreb;Nowa Ruda - Srebrna;Nowa Ruda;ul. Srebrna 1a
11;DOLNOŒL¥SKIE;DsOlawaSemi;DsOlawZolnAK;O³awa - ¯o³nierzy AK;O³awa;ul. ¯o³nierzy AK 9
12;DOLNOŒL¥SKIE;DsOlesnicaPM;DsOlesBrzozo;Oleœnica - Brzozowa;Oleœnica;ul. Brzozowa 7
13;DOLNOŒL¥SKIE;DsOsieczow;DsOsieczow21;Osieczów;Osieczów;
14;DOLNOŒL¥SKIE;DsPolkKasz;DsPolKasztan;Polkowice - Kasztanowa;Polkowice;ul. Kasztanowa
15;DOLNOŒL¥SKIE;DsSniezka;DsSniezkaObs;Œnie¿ka;;Œnie¿ka
16;DOLNOŒL¥SKIE;DsSwidMob;DsSwidnMarciMOB;Œwidnica - Marcinkowskiego;Œwidnica;ul. Karola Marcinkowskiego 4-6
17;DOLNOŒL¥SKIE;DsSwidRynek;DsSwidnRynek;Œwidnica - Rynek;Œwidnica;ul. Rynek 43
