Data;DsDusznikMOB-BaP(PM10)-24g;DsGlogWiStwo-BaP(PM10)-24g;DsJaworMOB-BaP(PM10)-24g;DsJelGorSoko-BaP(PM10)-24g;DsLegAlRzecz-BaP(PM10)-24g;DsNowRudJezi-BaP(PM10)-24g;DsOlawZolnAK-BaP(PM10)-24g;DsOlesBrzozo-BaP(PM10)-24g;DsOsieczow21-BaP(PM10)-24g;DsPolKasztan-BaP(PM10)-24g;DsSwidnFolwa-BaP(PM10)-24g;DsSzczaKolej-BaP(PM10)-24g;DsWalbrzWyso-BaP(PM10)-24g;DsWrocOrzech-BaP(PM10)-24g;DsWrocWybCon-BaP(PM10)-24g;DsZgorBohGet-BaP(PM10)-24g;DsZlotoStasz-BaP(PM10)-24g;KpBrodKochan-BaP(PM10)-24g;KpBydWarszaw-BaP(PM10)-24g;KpCiechTezni-BaP(PM10)-24g;KpGrudSienki-BaP(PM10)-24g;KpInowSolank-BaP(PM10)-24g;KpKoniczynka-BaP(PM10)-24g;KpNaklSkargi-BaP(PM10)-24g;KpToruDziewu-BaP(PM10)-24g;KpWieniZdroj-BaP(PM10)-24g;KpWloclGniaz-BaP(PM10)-24g;KpZielBoryTu-BaP(PM10)-24g;LbBiaPodOrze-BaP(PM10)-24g;LbChelPolan-BaP(PM10)-24g;LbKrasKoszar-BaP(PM10)-24g;LbLubSliwins-BaP(PM10)-24g;LbZamoHrubie-BaP(PM10)-24g;LdBelchatEdward-BaP(PM10)-24g;LdBrzeReform-BaP(PM10)-24g;LdKutnKosciu-BaP(PM10)-24g;LdLodzLegion-BaP(PM10)-24g;LdLodzRudzka-BaP(PM10)-24g;LdLowiczSien-BaP(PM10)-24g;LdOpocCurieSk-BaP(PM10)-24g;LdPabiKilins-BaP(PM10)-24g;LdParzniUjWo-BaP(PM10)-24g;LdPioTrKraPr-BaP(PM10)-24g;LdRadomsRoln-BaP(PM10)-24g;LdRawaNiepod-BaP(PM10)-24g;LdSieraPolna-BaP(PM10)-24g;LdSkierKonop-BaP(PM10)-24g;LdToMaSwAnto-BaP(PM10)-24g;LdUniejTermy-BaP(PM10)-24g;LdWieluPOW12-BaP(PM10)-24g;LdZduWoKrole-BaP(PM10)-24g;LuGorzKosGdy-BaP(PM10)-24g;LuGorzPilsud-BaP(PM10)-24g;LuNowaSolMOB-BaP(PM10)-24g;LuSulecDudka-BaP(PM10)-24g;LuWsKaziWiel-BaP(PM10)-24g;LuZarySzyman-BaP(PM10)-24g;LuZielKrotka-BaP(PM10)-24g;MpBochKonfed-BaP(PM10)-24g;MpGorlKrasin-BaP(PM10)-24g;MpKrakAlKras-BaP(PM10)-24g;MpKrakBujaka-BaP(PM10)-24g;MpKrakBulwar-BaP(PM10)-24g;MpKrakOsPias-BaP(PM10)-24g;MpKrakSwoszo-BaP(PM10)-24g;MpKrakWadow-BaP(PM10)-24g;MpKrakZloRog-BaP(PM10)-24g;MpKrynicDiet-BaP(PM10)-24g;MpNiepo3Maja-BaP(PM10)-24g;MpNoSaczNadb-BaP(PM10)-24g;MpNoTargPSlo-BaP(PM10)-24g;MpOlkuCegiel-BaP(PM10)-24g;MpOswiecBema-BaP(PM10)-24g;MpSuchaNiesz-BaP(PM10)-24g;MpSzymbaGorl-BaP(PM10)-24g;MpTarBitStud-BaP(PM10)-24g;MpTrzebOsZWM-BaP(PM10)-24g;MpTuchChopin-BaP(PM10)-24g;MpZabieWapie-BaP(PM10)-24g;MpZakopaSien-BaP(PM10)-24g;MzGutyDuCzer-BaP(PM10)-24g;MzKonJezMos-BaP(PM10)-24g;MzLegZegrzyn-BaP(PM10)-24g;MzMinMazKaziMOB-BaP(PM10)-24g;MzOstroHalle-BaP(PM10)-24g;MzOtwoBrzozo-BaP(PM10)-24g;MzPiasPulask-BaP(PM10)-24g;MzPlocKroJad-BaP(PM10)-24g;MzRad25Czerw-BaP(PM10)-24g;MzSiedKonars-BaP(PM10)-24g;MzWarAKrzywo-BaP(PM10)-24g;MzWarAlNiepo-BaP(PM10)-24g;MzWarBajkowa-BaP(PM10)-24g;MzWarChrosci-BaP(PM10)-24g;OpNysaRodzie-BaP(PM10)-24g;OpOpoleOsAKr-BaP(PM10)-24g;OpPrudPodgor-BaP(PM10)-24g;OpZdziePiast-BaP(PM10)-24g;PdBialWaszyn-BaP(PM10)-24g;PdSuwPulaskp-BaP(PM10)-24g;PkDebiGrottg-BaP(PM10)-24g;PkHorZdrParkMOB-BaP(PM10)-24g;PkIwonZdrRab-BaP(PM10)-24g;PkJarosPruch-BaP(PM10)-24g;PkJasloSikor-BaP(PM10)-24g;PkKrosKletow-BaP(PM10)-24g;PkMielPogodn-BaP(PM10)-24g;PkNiskoSzkla-BaP(PM10)-24g;PkPrzemGrunw-BaP(PM10)-24g;PkRymZdrPark-BaP(PM10)-24g;PkRzeszRejta-BaP(PM10)-24g;PkSanoSadowa-BaP(PM10)-24g;PkStWolWoPol-BaP(PM10)-24g;PkTarnDabrow-BaP(PM10)-24g;PmGdaLecz08m-BaP(PM10)-24g;PmKosTargo12-BaP(PM10)-24g;SkBuskRokosz-BaP(PM10)-24g;SkKielKusoci-BaP(PM10)-24g;SkKielTargow-BaP(PM10)-24g;SkSkarZielnaMOB-BaP(PM10)-24g;SkSolecZdroj-BaP(PM10)-24g;SkStaraZlota-BaP(PM10)-24g;SlBielKossak-BaP(PM10)-24g;SlCzestoBacz-BaP(PM10)-24g;SlDabro1000L-BaP(PM10)-24g;SlGodGliniki-BaP(PM10)-24g;SlKatoKossut-BaP(PM10)-24g;SlKnurJedNar-BaP(PM10)-24g;SlMyszMiedzi-BaP(PM10)-24g;SlPszczBoged-BaP(PM10)-24g;SlRybniBorki-BaP(PM10)-24g;SlTarnoLitew-BaP(PM10)-24g;SlZywieKoper-BaP(PM10)-24g;WmElbBazynsk-BaP(PM10)-24g;WmGoldUzdrowMOB-BaP(PM10)-24g;WmIlawAnders-BaP(PM10)-24g;WmNiTraugutt-BaP(PM10)-24g;WmOlsPuszkin-BaP(PM10)-24g;WmOstrPilsud-BaP(PM10)-24g;WmPuszczaBor-BaP(PM10)-24g;WpGniePaczko-BaP(PM10)-24g;WpKaliSawick-BaP(PM10)-24g;WpLeszKiepur-BaP(PM10)-24g;WpNoTomSzpit-BaP(PM10)-24g;WpOstWieWyso-BaP(PM10)-24g;WpPilaKusoci-BaP(PM10)-24g;WpPoznChwial-BaP(PM10)-24g;WpWagrowLipo-BaP(PM10)-24g;ZpKolZolkiew-BaP(PM10)-24g;ZpKoszSpasow-BaP(PM10)-24g;ZpMyslZaBram-BaP(PM10)-24g;ZpSzczAndr01-BaP(PM10)-24g;ZpSzczBudzWosMOB-BaP(PM10)-24g;ZpSzczec1Maj-BaP(PM10)-24g;ZpSzczecPrze-BaP(PM10)-24g;ZpSzczPils02-BaP(PM10)-24g
01.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;1,672;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;4,611091;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;;3,78;4,48;;;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;;1,62238;5,6762;7,94737;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;3,5;2,92;1,7;2,12;2,15;;2,39;;1,3;6,8;7,45;3,45;3,71;;;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,79;3,76;;4,92;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
02.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;1,672;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;4,611091;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;4,22;3,78;4,48;;;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;;1,62238;5,6762;7,94737;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;3,5;2,92;1,7;;2,15;;2,39;;1,3;6,8;7,45;3,45;3,71;;;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,78;3,76;;4,92;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
03.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;4,611091;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;4,22;3,78;4,48;;4,87;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;;1,62238;5,6762;7,94737;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;3,5;2,92;1,7;2,12;2,15;2,74;2,39;2,5;1,3;6,8;7,45;3,45;3,71;;2,83;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,77;3,76;;4,91;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
04.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;4,22;3,78;4,48;;4,87;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;3,41849;1,62238;5,6762;7,94737;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;3,5;2,92;1,7;2,12;2,15;2,74;2,39;2,5;1,3;6,8;7,45;3,45;3,71;;2,83;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,77;3,76;;4,92;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
05.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;1,672;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;4,22;3,78;4,48;;4,87;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;3,41849;1,62238;5,6762;7,94737;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;;2,92;1,7;2,12;2,15;2,74;2,39;2,5;1,3;6,8;7,45;3,45;3,71;;2,83;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,77;3,76;;4,92;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
06.01.2019 00:00;2,162;0,928;3,249;2,67;2,146;;1,672;1,573;0,521;0,596;8,417;2,047;2,153;0,595;0,824;1,611;2,591;7,1037;2,423651;3,286454;6,5789;1,171543;1,3197;5,365469;1,1845;1,326229;2,144733;0,578988;4,66;1,99;2,08;1,59;2,11;1,743896;17,618494;3,25413;3,319792;4,588675;3,895792;2,422753;;1,157818;2,895792;6,103273;2,422753;1,893091;3,661818;4,030649;1,501714;2,887896;;2,77;2,67;2,494;11,3;8,26;1,16;4,99;9,74;3,54;4,55;3,44523;2,36;3,78;4,22;3,78;4,48;;4,87;27,16;8,85;;6,93;8,12;2,97;4,06;7,69;13,57;4,53;4,37;0,41449;0,56993;2,30143;3,41849;1,62238;5,6762;;0,78965;1,49707;3,43639;1,97168;;;;3,211;1,762;4,167;3,888;0,622123;0,8042;5,2;;2,16;3,5;3,2;2,92;;2,92;1,7;2,12;2,15;2,74;2,39;2,5;1,3;6,8;7,45;3,45;3,71;;2,83;3,88;5,49;1,88;4,02;4,32;5,27;3,84;;;13,81;2,9;6,97;1,72;0,97;5,7;6,26;1,77;3;0,45;;3,76;3,76;;4,92;;;1,94;0,28;0,57;1,3;0,86;;1,22;3,13;1,31
07.01.2019 00:00;2,312;1,788;4,021;3,137;3,385;;3,001;2,919;0,75;2,086;5,071;4,657;3,906;1,652;;1,612;3,039;4,7036;4,96088;4,245448;9,73;2,996306;3,2937;5,028434;3,404;3,434726;5,423999;1,556766;5,46;3,24;5,24;3,39;5,23;5,822442;11,629922;5,720519;7,868052;7,469922;8,069922;9,268883;;4,373195;9,152831;14,741818;9,268883;6,380779;8,19013;7,180156;3,492675;5,166857;;3,76;2,67;5,577;8,19;9,38;1,31;5,142;14,83;11,28;11,61;9,78402;6,8;8,38;10,23;;11,68;;14,74;31,04;41,84;;20,31;31,46;7,59;11,35;15,45;31,38;20,45;21,73;2,94222;6,08263;11,73579;3,52758;4,14267;5,52279;6,27932;4,57133;6,91043;3,85641;2,70085;;4,25062;4,27646;7,776;5,508;9,741;12,312;1,249352;2,531808;16,2;4,2;3,5;11,2;9,2;10,9;;9,2;6,5;4,4;8,2;4,8;4,2;6,1;2,3;9,7;9,84;9,34;10,11;9,33;9,67;11,84;9,62;5,94;;9,97;8,67;;19,63;17,95;33,09;;17,21;3,42;3,23;8,89;7,51;4,12;5,09;2,14;4,19;4,99;4,56;4,79;5,89;3,63;0,378;3,22;0,76;1,26;2,86;0,87;;1,97;5,89;1,75
08.01.2019 00:00;2,312;1,788;4,021;3,137;3,385;;3,001;2,919;0,75;2,086;5,071;4,657;3,906;1,652;1,385;1,612;3,039;4,7036;4,96088;4,245448;9,73;2,996306;3,2937;5,028434;3,404;3,434726;5,423999;1,556766;5,46;3,24;5,24;3,39;5,23;5,822442;11,629922;5,720519;7,868052;7,469922;8,069922;9,268883;;4,373195;9,152831;14,741818;9,268883;6,380779;8,19013;7,180156;3,492675;5,166857;;3,76;3,06;5,577;8,19;9,38;1,31;5,142;14,83;11,28;11,61;9,78402;6,8;8,38;10,23;;11,68;;14,74;31,04;41,84;14,68;20,31;31,46;7,59;11,35;15,45;31,38;20,45;21,73;2,94222;6,08263;11,73579;3,52758;4,14267;5,52279;6,27932;;6,91043;3,85641;2,70085;3,39839;4,25062;4,27646;7,776;5,508;9,741;12,312;1,249352;2,531808;16,2;4,2;3,5;11,2;9,2;10,9;12,9;9,2;6,5;4,4;8,2;4,8;4,2;6,1;2,3;9,7;9,84;9,34;10,11;9,33;9,67;11,84;9,62;5,94;;9,97;8,67;;19,63;17,95;33,09;;17,21;3,42;3,23;8,89;7,51;4,12;5,09;2,14;4,19;4,99;4,56;4,79;5,89;3,63;0,378;3,22;0,76;1,26;2,86;0,87;;1,97;5,89;1,75
09.01.2019 00:00;2,312;1,788;4,021;3,137;3,385;;3,001;2,919;0,75;2,086;5,071;4,657;3,906;1,652;1,385;1,612;3,039;4,7036;4,96088;4,245448;9,73;2,996306;3,2937;5,028434;3,404;3,434726;5,423999;1,556766;5,46;3,24;5,24;3,39;5,23;5,822442;11,629922;5,720519;7,868052;7,469922;8,069922;9,268883;;4,373195;9,152831;14,741818;9,268883;6,380779;8,19013;7,180156;3,492675;5,166857;;3,76;3,06;5,577;8,19;9,38;1,31;5,142;14,83;11,28;11,61;9,78402;6,8;8,38;10,23;;11,68;8,88;14,74;31,04;41,84;14,68;20,31;31,46;7,59;11,35;15,45;31,38;20,45;21,73;2,94222;6,08263;11,73579;3,52758;4,14267;5,52279;6,27932;4,57133;6,91043;3,85641;2,70085;3,39839;4,25062;4,27646;7,776;5,508;9,741;12,312;1,249352;2,531808;16,2;4,2;3,5;11,2;9,2;10,9;12,9;9,2;6,5;4,4;8,2;4,8;4,2;6,1;2,3;9,7;9,84;9,34;10,11;9,33;9,67;11,84;9,62;5,94;;9,97;8,67;;19,63;17,95;33,09;;17,21;3,42;3,23;8,89;7,51;4,12;5,09;2,14;4,19;4,94;4,56;4,79;5,89;3,63;0,378;3,22;0,76;1,26;2,86;0,87;;1,97;5,89;1,75
10.01.2019 00:00;2,312;1,788;4,021;3,137;3,385;;3,001;2,919;0,75;2,086;5,071;4,657;3,906;1,652;1,385;1,612;3,039;4,7036;4,96088;4,245448;9,73;2,996306;3,2937;5,028434;3,404;3,434726;5,423999;1,556766;5,46;3,24;5,24;3,39;5,23;5,822442;11,629922;5,720519;7,868052;7,469922;8,069922;9,268883;;4,373195;9,152831;14,741818;9,268883;6,380779;8,19013;7,180156;3,492675;5,166857;7,005636;3,76;3,06;5,577;8,19;9,38;1,31;5,142;14,83;11,28;11,61;9,78402;6,8;8,38;10,23;;11,68;8,88;14,74;31,04;41,84;14,68;20,31;31,46;7,59;11,35;15,45;31,38;20,45;21,73;2,94222;6,08263;11,73579;3,52758;4,14267;5,52279;6,27932;4,57133;6,91043;3,85641;2,70085;3,39839;4,25062;4,27646;7,776;5,508;9,741;12,312;1,249352;2,531808;16,2;4,2;3,5;11,2;9,2;10,9;12,9;9,2;6,5;4,4;8,2;4,8;4,2;6,1;2,3;9,7;9,84;9,34;10,11;9,33;9,67;11,84;9,62;5,94;;9,97;8,67;;19,63;17,95;33,09;;17,21;3,42;3,23;8,89;7,51;4,12;5,09;2,14;4,19;5,01;4,56;4,79;5,89;3,63;0,378;3,22;0,76;1,26;2,86;0,87;;1,97;5,89;1,75
