Kod stacji;DsDusznikMOB;DsJaworMOB;DsJelGorOgin;DsWrocAlWisn;DsWrocWybCon;KpBydPlPozna;KpMogiNowMOB;KpToruDziewu;KpWloclOkrze;LbLubObywate;LbNaleczow;LdLodzCzerni;LdLodzGdansk;LdZgieMielcz;LuNowaSolMOB;LuWsKaziWiel;LuZarySzyman;LuZielKrotka;MpKrakAlKras;MpKrakBujaka;MpKrakBulwar;MpTarRoSitko;MzKonJezMos;MzLegZegrzyn;MzMinMazKaziMOB;MzOtwoBrzozo;MzPiasPulask;MzPlocMiReja;MzRadTochter;MzSiedKonars;MzWarAlNiepo;MzWarBajkowa;MzWarChrosci;MzWarKondrat;MzWarTolstoj;MzWarWokalna;MzZyraRoosev;OpKKozBSmial;OpPrudPodgor;PdBialWaszyn;PdBorsukowiz;PdSuwPulaskp;PkDebiGrottg;PkHorZdrParkMOB;PkJarosPruch;PkMielBierna;PkPrzemGrunw;PkRymZdrPark;PkRzeszPilsu;PmGdaLeczk08;SkKielTargow;SkSkarZielnaMOB;SkStaraZlota;SlBielPartyz;SlKatoKossut;SlZlotPotLes;WmElbBazynsk;WmGoldUzdrowMOB;WmOlsPuszkin;WpKaliSawick;ZpSzczAndr01;ZpSzczBudzWosMOB;ZpSzczPils02
01.01.2019 01:00;33,4053;51,3878;118,773;102,09;107,061;64,1177;;24,003;51,317;56,091;;58,045;90,399;61,832;69,1061;53,2439;22,4823;43,7691;64,0752;98,7777;61,8134;55,8536;36,948323;46,795909;;35,516948;;34,271411;37,402349;61,2;64,121607;45,5;58,7946;38,781605;;42,034031;42,381466;60,705;;13;8,3;33,5;43,1;;35,6;60,8821;47,6;19,3;34,7328;;34,6;;28,46838;110,199;76,7306;26,3444;34,3706;14,9449;40,9183;75,2;;;73,935
01.01.2019 02:00;13,8028;28,4995;110,064;63,6111;55,9187;43,8401;;33,6542;30,698;25,9812;;32,032;64,149;41,882;17,3766;31,8878;12,9387;10,8958;69,0186;80,3041;57,056;52,2659;30,390124;26,420152;27,65;27,257126;;27,76813;18,935368;33,83;44,747658;32,6;41,4439;25,475276;;31,087669;25,506146;33,3039;;126;7,6;5,7;44,8;;23,1;29,8894;33;19,3;26,0467;;79,2;;19,88634;73,4132;54,4664;19,0619;23,1494;10,742;25,9358;47,9076;;;11,7883
01.01.2019 03:00;9,94056;11,1206;107,941;48,354;41,3488;22,8383;;13,603;28,262;18,9462;;24,856;27,399;23,357;11,6721;18,3731;14,1175;9,41853;61,7894;49,2874;44,5697;48,9549;25,276952;26,544394;25,93;27,507424;26,01;26,310498;20,591028;27,28;32,867405;27,19931;25,0821;20,334194;;23,715629;19,244234;26,522;;7;7,2;3,9;59,6;;21,4;30,9634;23,6;21,6;25,3294;;25;;16,89493;50,2355;50,4599;43,7717;21,0711;12,0391;24,5725;22,8309;5,57095;;8,69917
01.01.2019 04:00;6,75889;5,57358;94,5489;34,6621;29,8697;20,1829;;17,4302;26,522;17,9144;;24,856;18,999;20,507;13,0755;11,0397;22,0376;17,2498;51,4691;34,2963;31,2757;37,5406;20,497247;26,792879;24,57;23,127216;;21,376974;16,006123;23,74;25,830641;22,8;19,778;14,789891;;18,912633;17,864491;29,0648;;9;8,6;7,3;44,7;;24,9;35,796;20,2;22;28,2461;;19,6;;13,85738;37,5872;34,809;64,0139;21,1671;13,1849;20,6336;20,59;5,77369;;5,96861
01.01.2019 05:00;7,88722;6,56224;67,88;14,287;17,6;18,7345;;23,0878;24,26;20,447;;24,856;18,999;19,082;17,8497;16,1503;18,8284;24,0884;36,2845;26,5619;24,1471;23,7783;19,719156;22,320152;21,66;20,123644;21,25;21,937602;14,987255;20,21;25,830641;21,9;20,1376;14,084252;;18,465843;17,864491;22,4872;;20;12,3;7,7;26,8;;25,8;38,5227;18,6;19,3;31,9958;;19,6;;10,4584;22,6446;30,6517;43,6111;21,0774;14,0005;19,4194;27,0838;6,15494;;7,80778
01.01.2019 06:00;14,4072;9,14639;5,885;10,5321;11,6;12,5788;;20,259;21,737;20,1656;;23,959;18,999;14,807;15,38;19,7378;31,7494;9,86146;32,5876;21,6164;18,6542;18,063;16,717946;21,947424;19,85;17,996115;19,67;19,246589;15,36933;18,76;25,282321;21,7;19,2386;14,386669;;18,354146;18,713563;20,3463;;24;19,1;;23,9;;28,1;34,7808;19,6;17,6;29,8428;;21,3;;13,90352;18,3235;27,8605;35,3764;15,9619;13,6822;17,4122;33,3501;9,19095;;8,47083
01.01.2019 07:00;7,48833;6,63053;4,44694;8,78611;14,4999;9,5613;;11,4398;20,867;17,4454;;17,68;14,799;19,082;14,7086;17,7908;17,9754;12,839;30,3191;13,4474;17,7077;16,5372;16,051011;20,456515;17,67;16,494329;;15,658572;22,374047;18,76;23,72875;19,6;18,3396;13,277808;;17,348867;20,199441;19,5584;;30;18,1;10,2;23,3;;30;30,6025;22,1;16;27,5458;;33,6;;23,839;16,4331;21,3168;24,7863;8,81844;13,8957;17,1086;28,0525;9,02429;;8,11528
01.01.2019 08:00;5,67083;10,0286;6,56694;9,88921;13,0059;2,6814;;9,443;15,56;20,0718;;15,886;10,599;10,532;12,2886;17,8372;10,1607;14,3107;25,3246;9,492;16,56;14,6615;16,495634;19,462576;18,22;17,745817;18,65;15,21007;23,520274;18,37;21,809632;19,8;16,9911;11,664919;;16,231892;18,182893;18,0793;;21;13,8;9,5;21,3;;38,9;14,0491;25,4;17,5;25,6603;;37,2;;26,16907;16,114;17,3735;22,7637;5,57;11,8798;16,4208;19,39;10,0724;;10,9936
01.01.2019 09:00;11,7239;7,99891;6,56028;5,65181;8,6344;;;6,4478;11,558;27,3882;;14,092;8,499;10,532;10,4088;13,9103;10,6253;13,224;22,6754;10,7263;9,10378;12,7976;14,828296;17,847424;19,85;17,120073;;15,546447;23,01084;18,5;20,621607;18,1;16,182;11,362503;;14,333033;15,211138;15,1959;5,95929;14;12,1;7,2;19,8;;23,4;13,2521;15,9;16,1;20,7147;;38,7;;24,65414;18,1652;17,9123;15,6059;4,30889;10,1043;13,4503;17,8219;8,87795;;9,54306
01.01.2019 10:00;11,7253;8,49955;7,73167;9,07378;10,9696;2,5607;;6,8638;8,252;30,0146;;14,092;10,599;13,382;7,12266;11,3994;7,55923;10,0515;24,6352;11,6089;;17,1634;11,493618;16,605;17,85;14,992543;14,46;13,752438;21,100462;21,12;17,331691;16,9;12,586;9,346392;;10,982106;14,362066;14,4062;7,02384;17;8,7;5,7;17,6;;16,8;13,5708;8,9;14,6;17,3111;;35,7;;20,04014;14,3178;18,046;18,4247;4,27111;6,83593;7,70861;9,00826;8,24201;;8,25139
01.01.2019 11:00;11,8019;14,2448;9,24472;5,36896;8,89893;;;5,6158;8,687;24,0114;;14,989;14,799;23,357;4,03954;7,83639;5,28689;9,87702;22,9607;7,458;9,54792;15,2868;9,715124;15,611061;14,86;12,364418;;8,706789;20,081594;23,48;16,417826;15,2;12,2264;9,043976;;9,86513;13,937529;13,5286;10,5449;12;7,3;9,7;18,6;;14,9;10,2174;8,6;14,5;15,6486;;26,9;;20,61689;14,4754;20,7991;21,3166;4,53833;5,85148;3,20139;10,893;6,26127;;8,89778
01.01.2019 12:00;14,8628;11,5188;5,01056;7,14698;7,96376;;;3,3694;8,252;19,3214;;12,298;13,749;21,932;2,42666;5,86944;4,41694;9,8;17,482;7,07044;8,645;15,4218;9,159344;13,747424;13,32;10,362037;;7,249157;14,095745;21,91;13,859002;13,1;10,788;7,632699;;7,854573;14,149797;14,1806;14,0152;11;6,8;9,3;22,2;;16;18,6133;8,8;13,2;15,3386;;21,7;;20,12473;12,6728;19,7295;16,8302;6,695;5,83732;2,60333;10,5257;5,39742;;11,5806
01.01.2019 13:00;11,8839;8,03817;3,00917;8,11389;9,7128;;;4,035;7,817;17,3516;;8,71;6,399;20,507;2,74165;8,8475;1,15498;10,1413;11,1278;9,03958;5,93262;17,5311;12,160554;9,026212;12,77;12,489567;11,97;7,473408;13,076877;16,67;15,321187;14,1;11,687;6,523838;;9,530037;8,418556;13,5282;11,8512;9;5,8;6,2;24,1;;17,6;16,7003;7,8;11,2;15,8747;;14,6;;14,41106;10,7006;18,6846;13,468;8,17639;4,52632;3,895;5,85061;5,43708;;11,7203
01.01.2019 14:00;14,1686;8,34526;3,08667;6,14354;8,4;;;4,5342;6,599;16,0384;;4,225;8,499;27,632;2,47341;5,72972;0,8;9,8;10,9861;7,25156;;12,6346;8,492409;8,032273;13,32;11,238079;6,65;6,91278;11,675934;16,8;11,208792;10,6;6,293;4,104505;;5,173832;5,340668;15,5301;10,2016;9;4,2;7,8;28,9;;18,1;17,229;8;11,2;21,1539;;24,4;;14,04194;12,0383;19,4817;8,47582;7,445;1,96476;5,34417;6,75564;6,21134;;11,6275
01.01.2019 15:00;17,5328;11,0197;3,37472;13,8664;9;4,3712;;5,283;6,425;15,3818;;6,019;10,599;20,507;2,78447;6,22389;0,8;6,6;10,2974;8,20374;3,07374;10,1645;5,713511;6,044394;10,6;5,105787;6,76;6,688529;9,256123;12,48;10,569086;9,8;6,8324;3,600478;;4,503646;4,491595;13,8331;5,35906;9;3;;19,1;;18,3;15,2824;8,4;12,9;17,0981;;15,3;;11,41965;11,0551;18,1663;5,88503;7,25861;3,52468;6,08083;8,32776;6,77792;;10,5097
