TIME,GEO,UNIT,MOT_NRG,Value,Flag and Footnotes
2012,Belgium,Number,Electricity,:,
2012,Bulgaria,Number,Electricity,:,
2012,Czechia,Number,Electricity,:,
2012,Denmark,Number,Electricity,:,
2012,Germany (until 1990 former territory of the FRG),Number,Electricity,"7,000",
2012,Estonia,Number,Electricity,600,
2012,Ireland,Number,Electricity,270,
2012,Greece,Number,Electricity,:,
2012,Spain,Number,Electricity,:,
2012,France,Number,Electricity,:,
2012,Croatia,Number,Electricity,0,
2012,Italy,Number,Electricity,:,
2012,Cyprus,Number,Electricity,"1,000",
2012,Latvia,Number,Electricity,10,
2012,Lithuania,Number,Electricity,:,
2012,Luxembourg,Number,Electricity,100,
2012,Hungary,Number,Electricity,90,
2012,Malta,Number,Electricity,38,
2012,Netherlands,Number,Electricity,"91,000",
2012,Austria,Number,Electricity,"1,000",
2012,Poland,Number,Electricity,:,
2012,Portugal,Number,Electricity,:,
2012,Romania,Number,Electricity,"1,000",
2012,Slovenia,Number,Electricity,:,
2012,Slovakia,Number,Electricity,:,
2012,Finland,Number,Electricity,0,
2012,Sweden,Number,Electricity,603,
2012,Liechtenstein,Number,Electricity,10,
2012,Norway,Number,Electricity,"8,000",
2012,Switzerland,Number,Electricity,"2,000",
2012,United Kingdom,Number,Electricity,"4,000",d
2012,North Macedonia,Number,Electricity,40,
2012,Turkey,Number,Electricity,230,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,:,
2013,Belgium,Number,Electricity,919,
2013,Bulgaria,Number,Electricity,:,
2013,Czechia,Number,Electricity,237,
2013,Denmark,Number,Electricity,"1,536",
2013,Germany (until 1990 former territory of the FRG),Number,Electricity,"12,000",
2013,Estonia,Number,Electricity,708,
2013,Ireland,Number,Electricity,280,
2013,Greece,Number,Electricity,:,
2013,Spain,Number,Electricity,:,
2013,France,Number,Electricity,"18,000",
2013,Croatia,Number,Electricity,:,
2013,Italy,Number,Electricity,"4,500",
2013,Cyprus,Number,Electricity,6,
2013,Latvia,Number,Electricity,15,
2013,Lithuania,Number,Electricity,:,
2013,Luxembourg,Number,Electricity,263,
2013,Hungary,Number,Electricity,110,
2013,Malta,Number,Electricity,59,
2013,Netherlands,Number,Electricity,:,
2013,Austria,Number,Electricity,"2,070",
2013,Poland,Number,Electricity,"2,270",
2013,Portugal,Number,Electricity,456,
2013,Romania,Number,Electricity,"2,042",
2013,Slovenia,Number,Electricity,:,
2013,Slovakia,Number,Electricity,:,
2013,Finland,Number,Electricity,:,
2013,Sweden,Number,Electricity,"1,010",
2013,Liechtenstein,Number,Electricity,20,
2013,Norway,Number,Electricity,"18,000",
2013,Switzerland,Number,Electricity,"3,000",
2013,United Kingdom,Number,Electricity,:,
2013,North Macedonia,Number,Electricity,34,
2013,Turkey,Number,Electricity,353,
2013,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,:,
2014,Belgium,Number,Electricity,"1,792",
2014,Bulgaria,Number,Electricity,:,
2014,Czechia,Number,Electricity,417,
2014,Denmark,Number,Electricity,"2,919",
2014,Germany (until 1990 former territory of the FRG),Number,Electricity,"19,000",
2014,Estonia,Number,Electricity,"1,067",
2014,Ireland,Number,Electricity,560,
2014,Greece,Number,Electricity,:,
2014,Spain,Number,Electricity,"2,832",d
2014,France,Number,Electricity,"27,000",
2014,Croatia,Number,Electricity,:,
2014,Italy,Number,Electricity,"3,430",
2014,Cyprus,Number,Electricity,15,
2014,Latvia,Number,Electricity,188,
2014,Lithuania,Number,Electricity,70,
2014,Luxembourg,Number,Electricity,524,
2014,Hungary,Number,Electricity,175,
2014,Malta,Number,Electricity,87,
2014,Netherlands,Number,Electricity,:,
2014,Austria,Number,Electricity,"3,386",
2014,Poland,Number,Electricity,"4,218",
2014,Portugal,Number,Electricity,672,
2014,Romania,Number,Electricity,"2,737",
2014,Slovenia,Number,Electricity,133,
2014,Slovakia,Number,Electricity,:,
2014,Finland,Number,Electricity,386,
2014,Sweden,Number,Electricity,"2,172",
2014,Liechtenstein,Number,Electricity,40,
2014,Norway,Number,Electricity,"39,000",
2014,Switzerland,Number,Electricity,"4,000",
2014,United Kingdom,Number,Electricity,:,
2014,North Macedonia,Number,Electricity,32,
2014,Turkey,Number,Electricity,412,
2014,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,:,
2015,Belgium,Number,Electricity,"2,871",
2015,Bulgaria,Number,Electricity,:,
2015,Czechia,Number,Electricity,713,
2015,Denmark,Number,Electricity,"7,888",
2015,Germany (until 1990 former territory of the FRG),Number,Electricity,"26,000",
2015,Estonia,Number,Electricity,"1,116",
2015,Ireland,Number,Electricity,"1,120",
2015,Greece,Number,Electricity,:,
2015,Spain,Number,Electricity,"5,243",d
2015,France,Number,Electricity,"43,000",
2015,Croatia,Number,Electricity,163,
2015,Italy,Number,Electricity,"4,584",
2015,Cyprus,Number,Electricity,23,
2015,Latvia,Number,Electricity,211,
2015,Lithuania,Number,Electricity,169,
2015,Luxembourg,Number,Electricity,580,
2015,Hungary,Number,Electricity,342,
2015,Malta,Number,Electricity,136,
2015,Netherlands,Number,Electricity,"9,962",
2015,Austria,Number,Electricity,"5,032",
2015,Poland,Number,Electricity,"7,765",
2015,Portugal,Number,Electricity,"1,398",
2015,Romania,Number,Electricity,"3,863",
2015,Slovenia,Number,Electricity,288,
2015,Slovakia,Number,Electricity,:,
2015,Finland,Number,Electricity,657,
2015,Sweden,Number,Electricity,"4,765",
2015,Liechtenstein,Number,Electricity,62,
2015,Norway,Number,Electricity,"69,000",
2015,Switzerland,Number,Electricity,"8,000",
2015,United Kingdom,Number,Electricity,"24,683",d
2015,North Macedonia,Number,Electricity,33,
2015,Turkey,Number,Electricity,565,
2015,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,:,
2016,Belgium,Number,Electricity,"4,368",
2016,Bulgaria,Number,Electricity,:,
2016,Czechia,Number,Electricity,974,
2016,Denmark,Number,Electricity,"8,662",
2016,Germany (until 1990 former territory of the FRG),Number,Electricity,"34,022",
2016,Estonia,Number,Electricity,"1,156",
2016,Ireland,Number,Electricity,"1,700",
2016,Greece,Number,Electricity,:,
2016,Spain,Number,Electricity,"8,411",
2016,France,Number,Electricity,"63,000",
2016,Croatia,Number,Electricity,233,
2016,Italy,Number,Electricity,"5,743",
2016,Cyprus,Number,Electricity,40,
2016,Latvia,Number,Electricity,241,
2016,Lithuania,Number,Electricity,358,
2016,Luxembourg,Number,Electricity,685,
2016,Hungary,Number,Electricity,758,
2016,Malta,Number,Electricity,140,
2016,Netherlands,Number,Electricity,"13,709",
2016,Austria,Number,Electricity,"9,073",
2016,Poland,Number,Electricity,"14,610",
2016,Portugal,Number,Electricity,"2,383",
2016,Romania,Number,Electricity,"6,348",
2016,Slovenia,Number,Electricity,457,
2016,Slovakia,Number,Electricity,:,
2016,Finland,Number,Electricity,889,
2016,Sweden,Number,Electricity,"7,532",
2016,Liechtenstein,Number,Electricity,117,
2016,Norway,Number,Electricity,"97,532",
2016,Switzerland,Number,Electricity,"10,700",
2016,United Kingdom,Number,Electricity,"33,434",d
2016,North Macedonia,Number,Electricity,35,
2016,Turkey,Number,Electricity,643,
2016,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,:,
2017,Belgium,Number,Electricity,"8,552",
2017,Bulgaria,Number,Electricity,:,
2017,Czechia,Number,Electricity,"1,525",
2017,Denmark,Number,Electricity,"8,765",
2017,Germany (until 1990 former territory of the FRG),Number,Electricity,"53,861",
2017,Estonia,Number,Electricity,"1,191",
2017,Ireland,Number,Electricity,"2,770",
2017,Greece,Number,Electricity,:,
2017,Spain,Number,Electricity,"15,318",
2017,France,Number,Electricity,"86,570",
2017,Croatia,Number,Electricity,285,
2017,Italy,Number,Electricity,:,
2017,Cyprus,Number,Electricity,87,
2017,Latvia,Number,Electricity,312,
2017,Lithuania,Number,Electricity,619,
2017,Luxembourg,Number,Electricity,996,
2017,Hungary,Number,Electricity,"1,996",
2017,Malta,Number,Electricity,189,
2017,Netherlands,Number,Electricity,"21,842",
2017,Austria,Number,Electricity,"14,618",
2017,Poland,Number,Electricity,"26,223",
2017,Portugal,Number,Electricity,"4,667",
2017,Romania,Number,Electricity,"9,947",
2017,Slovenia,Number,Electricity,779,
2017,Slovakia,Number,Electricity,:,
2017,Finland,Number,Electricity,"1,538",
2017,Sweden,Number,Electricity,"11,034",
2017,Liechtenstein,Number,Electricity,164,
2017,Norway,Number,Electricity,"138,983",
2017,Switzerland,Number,Electricity,"14,500",
2017,United Kingdom,Number,Electricity,"41,218",d
2017,North Macedonia,Number,Electricity,37,
2017,Turkey,Number,Electricity,760,
2017,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,4,
2018,Belgium,Number,Electricity,"9,244",
2018,Bulgaria,Number,Electricity,:,
2018,Czechia,Number,Electricity,"2,482",
2018,Denmark,Number,Electricity,"10,037",
2018,Germany (until 1990 former territory of the FRG),Number,Electricity,"83,175",
2018,Estonia,Number,Electricity,"1,254",
2018,Ireland,Number,Electricity,"4,610",
2018,Greece,Number,Electricity,:,
2018,Spain,Number,Electricity,"26,083",d
2018,France,Number,Electricity,"115,000",d
2018,Croatia,Number,Electricity,461,
2018,Italy,Number,Electricity,"12,156",
2018,Cyprus,Number,Electricity,114,
2018,Latvia,Number,Electricity,442,
2018,Lithuania,Number,Electricity,965,
2018,Luxembourg,Number,Electricity,"1,360",
2018,Hungary,Number,Electricity,"3,839",
2018,Malta,Number,Electricity,603,
2018,Netherlands,Number,Electricity,"44,678",
2018,Austria,Number,Electricity,"20,831",
2018,Poland,Number,Electricity,"3,018",
2018,Portugal,Number,Electricity,"9,980",
2018,Romania,Number,Electricity,"1,103",
2018,Slovenia,Number,Electricity,"1,308",
2018,Slovakia,Number,Electricity,:,
2018,Finland,Number,Electricity,"2,500",
2018,Sweden,Number,Electricity,"16,664",
2018,Liechtenstein,Number,Electricity,237,
2018,Norway,Number,Electricity,"195,348",
2018,Switzerland,Number,Electricity,"19,200",
2018,United Kingdom,Number,Electricity,"55,335",d
2018,North Macedonia,Number,Electricity,44,
2018,Turkey,Number,Electricity,952,
2018,Kosovo (under United Nations Security Council Resolution 1244/99),Number,Electricity,15,
2019,Belgium,Number,Electricity,"15,338",
2019,Bulgaria,Number,Electricity,:,
2019,Czechia,Number,Electricity,"8,180",
2019,Denmark,Number,Electricity,"15,507",
2019,Germany,Number,Electricity,"136,617",
2019,Estonia,Number,Electricity,"1,382",
2019,Ireland,Number,Electricity,"8,590",
2019,Greece,Number,Electricity,:,
2019,Spain,Number,Electricity,"39,453",
2019,France,Number,Electricity,"155,125",
2019,Croatia,Number,Electricity,725,
2019,Italy,Number,Electricity,"22,728",
2019,Cyprus,Number,Electricity,167,
2019,Latvia,Number,Electricity,658,
2019,Lithuania,Number,Electricity,"1,395",
2019,Luxembourg,Number,Electricity,"2,195",
2019,Hungary,Number,Electricity,"6,595",
2019,Malta,Number,Electricity,983,
2019,Netherlands,Number,Electricity,"106,558",
2019,Austria,Number,Electricity,:,
2019,Poland,Number,Electricity,"5,196",
2019,Portugal,Number,Electricity,"18,139",
2019,Romania,Number,Electricity,"2,798",
2019,Slovenia,Number,Electricity,"1,998",
2019,Slovakia,Number,Electricity,:,
2019,Finland,Number,Electricity,"4,830",
2019,Sweden,Number,Electricity,"30,343",
2019,Liechtenstein,Number,Electricity,308,
2019,Norway,Number,Electricity,"260,689",
