Kategoria: Wszystko

Tydzień,Zmiana klimatu: (Cały świat)
2018-01-07,33
2018-01-14,32
2018-01-21,30
2018-01-28,30
2018-02-04,31
2018-02-11,27
2018-02-18,29
2018-02-25,33
2018-03-04,33
2018-03-11,30
2018-03-18,30
2018-03-25,24
2018-04-01,25
2018-04-08,27
2018-04-15,32
2018-04-22,32
2018-04-29,30
2018-05-06,32
2018-05-13,29
2018-05-20,28
2018-05-27,25
2018-06-03,24
2018-06-10,19
2018-06-17,18
2018-06-24,19
2018-07-01,18
2018-07-08,19
2018-07-15,18
2018-07-22,21
2018-07-29,22
2018-08-05,26
2018-08-12,20
2018-08-19,21
2018-08-26,22
2018-09-02,24
2018-09-09,28
2018-09-16,25
2018-09-23,27
2018-09-30,27
2018-10-07,49
2018-10-14,39
2018-10-21,35
2018-10-28,34
2018-11-04,31
2018-11-11,37
2018-11-18,33
2018-11-25,51
2018-12-02,44
2018-12-09,36
2018-12-16,27
2018-12-23,15
2018-12-30,20
2019-01-06,30
2019-01-13,32
2019-01-20,32
2019-01-27,49
2019-02-03,38
2019-02-10,40
2019-02-17,38
2019-02-24,44
2019-03-03,42
2019-03-10,54
2019-03-17,43
2019-03-24,38
2019-03-31,39
2019-04-07,39
2019-04-14,40
2019-04-21,47
2019-04-28,50
2019-05-05,47
2019-05-12,50
2019-05-19,47
2019-05-26,36
2019-06-02,41
2019-06-09,35
2019-06-16,34
2019-06-23,33
2019-06-30,30
2019-07-07,31
2019-07-14,27
2019-07-21,31
2019-07-28,31
2019-08-04,31
2019-08-11,31
2019-08-18,38
2019-08-25,39
2019-09-01,39
2019-09-08,40
2019-09-15,80
2019-09-22,100
2019-09-29,57
2019-10-06,53
2019-10-13,46
2019-10-20,43
2019-10-27,40
2019-11-03,47
2019-11-10,50
2019-11-17,47
2019-11-24,42
2019-12-01,49
2019-12-08,48
2019-12-15,35
2019-12-22,22
2019-12-29,29
2020-01-05,52
2020-01-12,48
2020-01-19,44
2020-01-26,40
2020-02-02,41
2020-02-09,42
2020-02-16,42
2020-02-23,46
2020-03-01,43
2020-03-08,38
2020-03-15,28
2020-03-22,27
2020-03-29,27
2020-04-05,24
2020-04-12,26
2020-04-19,34
2020-04-26,31
2020-05-03,29
2020-05-10,29
2020-05-17,26
2020-05-24,23
2020-05-31,25
2020-06-07,21
2020-06-14,19
2020-06-21,19
2020-06-28,18
2020-07-05,16
2020-07-12,16
2020-07-19,16
2020-07-26,16
2020-08-02,16
2020-08-09,17
2020-08-16,19
2020-08-23,22
2020-08-30,22
2020-09-06,34
2020-09-13,49
2020-09-20,44
2020-09-27,37
2020-10-04,37
2020-10-11,33
2020-10-18,33
2020-10-25,29
2020-11-01,31
2020-11-08,31
2020-11-15,30
2020-11-22,27
2020-11-29,30
2020-12-06,29
2020-12-13,23
2020-12-20,16
2020-12-27,14
2021-01-03,21
2021-01-10,25
2021-01-17,29
2021-01-24,31
2021-01-31,29
2021-02-07,29
2021-02-14,36
2021-02-21,35
2021-02-28,32
2021-03-07,29
2021-03-14,31
2021-03-21,30
2021-03-28,26
2021-04-04,26
2021-04-11,28
2021-04-18,35
2021-04-25,32
2021-05-02,30
2021-05-09,28
2021-05-16,28
2021-05-23,27
2021-05-30,25
2021-06-06,27
2021-06-13,25
2021-06-20,24
2021-06-27,25
2021-07-04,22
2021-07-11,23
2021-07-18,24
2021-07-25,24
2021-08-01,24
2021-08-08,42
2021-08-15,26
2021-08-22,23
2021-08-29,27
2021-09-05,28
2021-09-12,29
2021-09-19,31
2021-09-26,30
2021-10-03,30
2021-10-10,30
2021-10-17,33
2021-10-24,35
2021-10-31,48
2021-11-07,45
