Kategoria: Wszystko

Tydzień,Paliwa kopalne: (Cały świat)
2018-01-07,49
2018-01-14,48
2018-01-21,56
2018-01-28,58
2018-02-04,62
2018-02-11,55
2018-02-18,56
2018-02-25,56
2018-03-04,60
2018-03-11,60
2018-03-18,59
2018-03-25,49
2018-04-01,52
2018-04-08,65
2018-04-15,66
2018-04-22,68
2018-04-29,66
2018-05-06,67
2018-05-13,62
2018-05-20,60
2018-05-27,58
2018-06-03,54
2018-06-10,42
2018-06-17,33
2018-06-24,28
2018-07-01,19
2018-07-08,23
2018-07-15,21
2018-07-22,26
2018-07-29,28
2018-08-05,26
2018-08-12,30
2018-08-19,30
2018-08-26,39
2018-09-02,45
2018-09-09,48
2018-09-16,42
2018-09-23,54
2018-09-30,52
2018-10-07,51
2018-10-14,53
2018-10-21,59
2018-10-28,56
2018-11-04,62
2018-11-11,67
2018-11-18,51
2018-11-25,73
2018-12-02,72
2018-12-09,68
2018-12-16,48
2018-12-23,16
2018-12-30,24
2019-01-06,56
2019-01-13,58
2019-01-20,57
2019-01-27,53
2019-02-03,60
2019-02-10,64
2019-02-17,53
2019-02-24,68
2019-03-03,69
2019-03-10,70
2019-03-17,65
2019-03-24,67
2019-03-31,67
2019-04-07,68
2019-04-14,58
2019-04-21,64
2019-04-28,77
2019-05-05,76
2019-05-12,73
2019-05-19,77
2019-05-26,59
2019-06-02,57
2019-06-09,48
2019-06-16,45
2019-06-23,39
2019-06-30,21
2019-07-07,22
2019-07-14,26
2019-07-21,30
2019-07-28,33
2019-08-04,29
2019-08-11,37
2019-08-18,44
2019-08-25,38
2019-09-01,55
2019-09-08,56
2019-09-15,65
2019-09-22,83
2019-09-29,63
2019-10-06,63
2019-10-13,57
2019-10-20,64
2019-10-27,62
2019-11-03,78
2019-11-10,76
2019-11-17,80
2019-11-24,60
2019-12-01,80
2019-12-08,78
2019-12-15,55
2019-12-22,22
2019-12-29,27
2020-01-05,64
2020-01-12,62
2020-01-19,65
2020-01-26,66
2020-02-02,71
2020-02-09,69
2020-02-16,63
2020-02-23,78
2020-03-01,75
2020-03-08,69
2020-03-15,61
2020-03-22,75
2020-03-29,76
2020-04-05,64
2020-04-12,75
2020-04-19,100
2020-04-26,94
2020-05-03,99
2020-05-10,93
2020-05-17,85
2020-05-24,73
2020-05-31,74
2020-06-07,66
2020-06-14,55
2020-06-21,45
2020-06-28,36
2020-07-05,39
2020-07-12,36
2020-07-19,35
2020-07-26,35
2020-08-02,33
2020-08-09,39
2020-08-16,51
2020-08-23,53
2020-08-30,67
2020-09-06,69
2020-09-13,75
2020-09-20,85
2020-09-27,75
2020-10-04,93
2020-10-11,75
2020-10-18,79
2020-10-25,72
2020-11-01,73
2020-11-08,82
2020-11-15,84
2020-11-22,75
2020-11-29,93
2020-12-06,82
2020-12-13,77
2020-12-20,41
2020-12-27,31
2021-01-03,59
2021-01-10,75
2021-01-17,76
2021-01-24,83
2021-01-31,78
2021-02-07,83
2021-02-14,77
2021-02-21,89
2021-02-28,89
2021-03-07,82
2021-03-14,83
2021-03-21,78
2021-03-28,61
2021-04-04,66
2021-04-11,68
2021-04-18,80
2021-04-25,89
2021-05-02,84
2021-05-09,96
2021-05-16,91
2021-05-23,76
2021-05-30,79
2021-06-06,69
2021-06-13,57
2021-06-20,48
2021-06-27,42
2021-07-04,37
2021-07-11,38
2021-07-18,38
2021-07-25,37
2021-08-01,40
2021-08-08,50
2021-08-15,43
2021-08-22,54
2021-08-29,54
2021-09-05,61
2021-09-12,72
2021-09-19,66
2021-09-26,72
2021-10-03,68
2021-10-10,66
2021-10-17,74
2021-10-24,81
2021-10-31,84
2021-11-07,100
