"color","opening_name","n","avg_points","gracz","rodzaj"
"black","French Defense",193,0.546632124352332,"tymekkk","blitz"
"white","Sicilian Defense",121,0.512396694214876,"tymekkk","blitz"
"white","Italian Game",73,0.561643835616438,"tymekkk","blitz"
"black","Sicilian Defense",69,0.514492753623188,"tymekkk","blitz"
"white","Caro Kann",42,0.428571428571429,"tymekkk","blitz"
"black","Indian Game",39,0.371794871794872,"tymekkk","blitz"
"white","French Defense",39,0.461538461538462,"tymekkk","blitz"
"white","Giuoco Piano",33,0.590909090909091,"tymekkk","blitz"
"white","Scandinavian Defense",29,0.482758620689655,"tymekkk","blitz"
"black","Queens Gambit",26,0.403846153846154,"tymekkk","blitz"
"white","Pirc Defense",23,0.5,"tymekkk","blitz"
"black","Queens Pawn",22,0.568181818181818,"tymekkk","blitz"
"black","Kings Indian",17,0.588235294117647,"tymekkk","blitz"
"black","Caro Kann",15,0.633333333333333,"tymekkk","blitz"
"white","Petrovs Defense",15,0.6,"tymekkk","blitz"
"white","Philidor Defense",15,0.4,"tymekkk","blitz"
"black","English Opening",14,0.571428571428571,"tymekkk","blitz"
"white","Modern Defense",11,0.363636363636364,"tymekkk","blitz"
"white","Alekhines Defense",8,0.375,"tymekkk","blitz"
"white","Kings Pawn",8,0.25,"tymekkk","blitz"
"white","Nimzowitsch Defense",5,0.4,"tymekkk","blitz"
"black","Polish Opening",4,1,"tymekkk","blitz"
"black","Reti Opening",4,0.625,"tymekkk","blitz"
"black","Nimzowitsch Larsen",3,0.666666666666667,"tymekkk","blitz"
"black","Kings Fianchetto",2,0.5,"tymekkk","blitz"
"black","Trompowsky Attack",2,0,"tymekkk","blitz"
"white","Ruy Lopez",2,0.5,"tymekkk","blitz"
"black","Birds Opening",1,1,"tymekkk","blitz"
"black","Four Knights",1,1,"tymekkk","blitz"
"black","Grunfeld Defense",1,1,"tymekkk","blitz"
"black","Kadas Opening",1,0,"tymekkk","blitz"
"black","Mieses Opening",1,1,"tymekkk","blitz"
"black","Modern Defense",1,1,"tymekkk","blitz"
"black","Nimzo Indian",1,0,"tymekkk","blitz"
"black","Petrovs Defense",1,0,"tymekkk","blitz"
"black","Philidor Defense",1,1,"tymekkk","blitz"
"black","Pirc Defense",1,1,"tymekkk","blitz"
"black","Saragossa Opening",1,0,"tymekkk","blitz"
"black","Torre Attack",1,0,"tymekkk","blitz"
"white","Four Knights",1,0,"tymekkk","blitz"
"white","Vant Kruijs",1,1,"tymekkk","blitz"
"white","Vienna Game",1,1,"tymekkk","blitz"
"black","Caro-Kann Defense",205,0.54390243902439,"grooney","blitz"
"white","Sicilian Defense",135,0.518518518518518,"grooney","blitz"
"white","Ruy Lopez",80,0.59375,"grooney","blitz"
"white","French Defense",61,0.434426229508197,"grooney","blitz"
"black","Queen's Pawn Game",46,0.467391304347826,"grooney","blitz"
"white","Caro-Kann Defense",40,0.5625,"grooney","blitz"
"white","Scandinavian Defense",34,0.573529411764706,"grooney","blitz"
"black","English Opening",28,0.464285714285714,"grooney","blitz"
"black","Sicilian Defense",22,0.727272727272727,"grooney","blitz"
"black","GrĂĽnfeld Defense",20,0.7,"grooney","blitz"
"white","Modern Defense",20,0.45,"grooney","blitz"
"black","Italian Game",19,0.552631578947368,"grooney","blitz"
"black","Slav Defense",19,0.368421052631579,"grooney","blitz"
"white","Alekhine Defense",19,0.605263157894737,"grooney","blitz"
"black","Indian Defense",17,0.411764705882353,"grooney","blitz"
"white","Pirc Defense",17,0.529411764705882,"grooney","blitz"
"white","Russian Game",15,0.5,"grooney","blitz"
"black","Queen's Gambit Declined",14,0.357142857142857,"grooney","blitz"
"black","Dutch Defense",13,0.423076923076923,"grooney","blitz"
"black","Bird Opening",10,0.45,"grooney","blitz"
"white","Nimzowitsch Defense",10,0.6,"grooney","blitz"
"white","Philidor Defense",10,0.6,"grooney","blitz"
"white","Benoni Defense",8,0.5,"grooney","blitz"
"white","Queen's Gambit Declined",8,0.625,"grooney","blitz"
"white","Catalan Opening",7,0.714285714285714,"grooney","blitz"
"white","King's Pawn Game",7,0.785714285714286,"grooney","blitz"
"white","Scotch Game",7,0.428571428571429,"grooney","blitz"
"black","King's Indian Defense",6,0.75,"grooney","blitz"
"black","Nimzo-Larsen Attack",6,0.5,"grooney","blitz"
"black","Scotch Game",6,0.333333333333333,"grooney","blitz"
"black","Van't Kruijs Opening",6,0.5,"grooney","blitz"
"black","Zukertort Opening",6,0.416666666666667,"grooney","blitz"
"white","King's Indian Defense",6,0.666666666666667,"grooney","blitz"
"white","Nimzo-Larsen Attack",6,0.5,"grooney","blitz"
"black","King's Gambit Accepted",5,0.6,"grooney","blitz"
"black","Ponziani Opening",5,0.6,"grooney","blitz"
"black","Semi-Slav Defense",5,0.6,"grooney","blitz"
"black","Bishop's Opening",4,0,"grooney","blitz"
"black","French Defense",4,0.75,"grooney","blitz"
"black","Queen's Gambit Accepted",4,0.375,"grooney","blitz"
"black","Van Geet Opening",4,1,"grooney","blitz"
"white","Benko Gambit Accepted",4,0.25,"grooney","blitz"
"white","Elephant Gambit",4,0.5,"grooney","blitz"
"white","Indian Defense",4,0.375,"grooney","blitz"
"black","Four Knights Game",3,0.833333333333333,"grooney","blitz"
"black","Horwitz Defense",3,0.333333333333333,"grooney","blitz"
"black","King's Pawn Game",3,0.333333333333333,"grooney","blitz"
"black","London System",3,0.666666666666667,"grooney","blitz"
"black","Polish Opening",3,0.333333333333333,"grooney","blitz"
"black","Ruy Lopez",3,0.333333333333333,"grooney","blitz"
"black","Saragossa Opening",3,0.333333333333333,"grooney","blitz"
"white","Owen Defense",3,0.333333333333333,"grooney","blitz"
"white","Queen's Pawn Game",3,0.333333333333333,"grooney","blitz"
"white","Semi-Slav Defense",3,0,"grooney","blitz"
"black","Benoni Defense",2,0.5,"grooney","blitz"
"black","Danish Gambit",2,1,"grooney","blitz"
"black","Englund Gambit Declined",2,0.5,"grooney","blitz"
"black","Grob Opening",2,1,"grooney","blitz"
"black","Hungarian Opening",2,0.5,"grooney","blitz"
"black","King's Indian Attack",2,0.5,"grooney","blitz"
"black","Mieses Opening",2,1,"grooney","blitz"
"white","Dutch Defense",2,1,"grooney","blitz"
"white","GrĂĽnfeld Defense",2,0.5,"grooney","blitz"
"white","Rat Defense",2,0.75,"grooney","blitz"
"white","Slav Defense",2,0,"grooney","blitz"
"white","St. George Defense",2,0,"grooney","blitz"
"black","Benko Gambit Accepted",1,0.5,"grooney","blitz"
"black","Benko Gambit Declined",1,0,"grooney","blitz"
"black","Blackmar-Diemer Gambit",1,1,"grooney","blitz"
"black","Blackmar-Diemer Gambit Declined",1,0.5,"grooney","blitz"
"black","Catalan Opening",1,1,"grooney","blitz"
"black","Center Game",1,1,"grooney","blitz"
"black","East Indian Defense",1,1,"grooney","blitz"
"black","King's Knight Opening",1,0,"grooney","blitz"
"black","Modern Defense",1,1,"grooney","blitz"
"black","Neo-GrĂĽnfeld Defense",1,1,"grooney","blitz"
"black","Philidor Defense",1,0,"grooney","blitz"
"black","Pirc Defense",1,1,"grooney","blitz"
"black","RĂ©ti Opening",1,0.5,"grooney","blitz"
"black","Richter-Veresov Attack",1,1,"grooney","blitz"
"black","Three Knights Opening",1,0,"grooney","blitz"
"black","Torre Attack",1,0,"grooney","blitz"
