"gracz","rodzaj","color","day","hour","n","mean"
"grooney","blitz","white",1,0,0,0
"grooney","blitz","white",1,1,0,0
"grooney","blitz","white",1,2,0,0
"grooney","blitz","white",1,3,0,0
"grooney","blitz","white",1,4,0,0
"grooney","blitz","white",1,5,0,0
"grooney","blitz","white",1,6,0,0
"grooney","blitz","white",1,7,0,0
"grooney","blitz","white",1,8,0,0
"grooney","blitz","white",1,9,0,0
"grooney","blitz","white",1,10,0,0
"grooney","blitz","white",1,11,0,0
"grooney","blitz","white",1,12,0,0
"grooney","blitz","white",1,13,0,0
"grooney","blitz","white",1,14,0,0
"grooney","blitz","white",1,15,0,0
"grooney","blitz","white",1,16,0,0
"grooney","blitz","white",1,17,0,0
"grooney","blitz","white",1,18,0,0
"grooney","blitz","white",1,19,0,0
"grooney","blitz","white",1,20,0,0
"grooney","blitz","white",1,21,0,0
"grooney","blitz","white",1,22,0,0
"grooney","blitz","white",1,23,0,0
"grooney","blitz","white",2,0,0,0
"grooney","blitz","white",2,1,0,0
"grooney","blitz","white",2,2,0,0
"grooney","blitz","white",2,3,0,0
"grooney","blitz","white",2,4,0,0
"grooney","blitz","white",2,5,0,0
"grooney","blitz","white",2,6,0,0
"grooney","blitz","white",2,7,0,0
"grooney","blitz","white",2,8,0,0
"grooney","blitz","white",2,9,0,0
"grooney","blitz","white",2,10,0,0
"grooney","blitz","white",2,11,0,0
"grooney","blitz","white",2,12,0,0
"grooney","blitz","white",2,13,0,0
"grooney","blitz","white",2,14,0,0
"grooney","blitz","white",2,15,0,0
"grooney","blitz","white",2,16,0,0
"grooney","blitz","white",2,17,0,0
"grooney","blitz","white",2,18,0,0
"grooney","blitz","white",2,19,0,0
"grooney","blitz","white",2,20,0,0
"grooney","blitz","white",2,21,0,0
"grooney","blitz","white",2,22,0,0
"grooney","blitz","white",2,23,0,0
"grooney","blitz","white",3,0,0,0
"grooney","blitz","white",3,1,0,0
"grooney","blitz","white",3,2,0,0
"grooney","blitz","white",3,3,0,0
"grooney","blitz","white",3,4,0,0
"grooney","blitz","white",3,5,0,0
"grooney","blitz","white",3,6,0,0
"grooney","blitz","white",3,7,0,0
"grooney","blitz","white",3,8,0,0
"grooney","blitz","white",3,9,0,0
"grooney","blitz","white",3,10,0,0
"grooney","blitz","white",3,11,0,0
"grooney","blitz","white",3,12,0,0
"grooney","blitz","white",3,13,0,0
"grooney","blitz","white",3,14,0,0
"grooney","blitz","white",3,15,0,0
"grooney","blitz","white",3,16,0,0
"grooney","blitz","white",3,17,0,0
"grooney","blitz","white",3,18,0,0
"grooney","blitz","white",3,19,0,0
"grooney","blitz","white",3,20,0,0
"grooney","blitz","white",3,21,0,0
"grooney","blitz","white",3,22,0,0
"grooney","blitz","white",3,23,0,0
"grooney","blitz","white",4,0,0,0
"grooney","blitz","white",4,1,0,0
"grooney","blitz","white",4,2,0,0
