"rodzaj","gracz","color","nazwa","n","typ"
"blitz","grooney","black","a",614,"Pawns_moves"
"blitz","grooney","black","b",606,"Pawns_moves"
"blitz","grooney","black","c",963,"Pawns_moves"
"blitz","grooney","black","d",891,"Pawns_moves"
"blitz","grooney","black","e",844,"Pawns_moves"
"blitz","grooney","black","f",512,"Pawns_moves"
"blitz","grooney","black","g",585,"Pawns_moves"
"blitz","grooney","black","h",515,"Pawns_moves"
"blitz","grooney","both","a",1086,"Pawns_moves"
"blitz","grooney","both","b",1085,"Pawns_moves"
"blitz","grooney","both","c",1717,"Pawns_moves"
"blitz","grooney","both","d",1820,"Pawns_moves"
"blitz","grooney","both","e",1919,"Pawns_moves"
"blitz","grooney","both","f",1075,"Pawns_moves"
"blitz","grooney","both","g",1094,"Pawns_moves"
"blitz","grooney","both","h",1079,"Pawns_moves"
"blitz","grooney","white","a",472,"Pawns_moves"
"blitz","grooney","white","b",479,"Pawns_moves"
"blitz","grooney","white","c",754,"Pawns_moves"
"blitz","grooney","white","d",929,"Pawns_moves"
"blitz","grooney","white","e",1075,"Pawns_moves"
"blitz","grooney","white","f",563,"Pawns_moves"
"blitz","grooney","white","g",509,"Pawns_moves"
"blitz","grooney","white","h",564,"Pawns_moves"
"blitz","Mlodziak77","black","a",444,"Pawns_moves"
"blitz","Mlodziak77","black","b",445,"Pawns_moves"
"blitz","Mlodziak77","black","c",622,"Pawns_moves"
"blitz","Mlodziak77","black","d",913,"Pawns_moves"
"blitz","Mlodziak77","black","e",958,"Pawns_moves"
"blitz","Mlodziak77","black","f",410,"Pawns_moves"
"blitz","Mlodziak77","black","g",456,"Pawns_moves"
"blitz","Mlodziak77","black","h",507,"Pawns_moves"
"blitz","Mlodziak77","both","a",870,"Pawns_moves"
"blitz","Mlodziak77","both","b",850,"Pawns_moves"
"blitz","Mlodziak77","both","c",1332,"Pawns_moves"
"blitz","Mlodziak77","both","d",1932,"Pawns_moves"
"blitz","Mlodziak77","both","e",2205,"Pawns_moves"
"blitz","Mlodziak77","both","f",1096,"Pawns_moves"
"blitz","Mlodziak77","both","g",831,"Pawns_moves"
"blitz","Mlodziak77","both","h",991,"Pawns_moves"
"blitz","Mlodziak77","white","a",426,"Pawns_moves"
"blitz","Mlodziak77","white","b",405,"Pawns_moves"
"blitz","Mlodziak77","white","c",710,"Pawns_moves"
"blitz","Mlodziak77","white","d",1019,"Pawns_moves"
"blitz","Mlodziak77","white","e",1247,"Pawns_moves"
"blitz","Mlodziak77","white","f",686,"Pawns_moves"
"blitz","Mlodziak77","white","g",375,"Pawns_moves"
"blitz","Mlodziak77","white","h",484,"Pawns_moves"
"blitz","tymekkk","black","a",480,"Pawns_moves"
"blitz","tymekkk","black","b",436,"Pawns_moves"
"blitz","tymekkk","black","c",774,"Pawns_moves"
"blitz","tymekkk","black","d",761,"Pawns_moves"
"blitz","tymekkk","black","e",811,"Pawns_moves"
"blitz","tymekkk","black","f",457,"Pawns_moves"
"blitz","tymekkk","black","g",364,"Pawns_moves"
"blitz","tymekkk","black","h",408,"Pawns_moves"
"blitz","tymekkk","both","a",912,"Pawns_moves"
"blitz","tymekkk","both","b",811,"Pawns_moves"
"blitz","tymekkk","both","c",1410,"Pawns_moves"
"blitz","tymekkk","both","d",1483,"Pawns_moves"
"blitz","tymekkk","both","e",1693,"Pawns_moves"
"blitz","tymekkk","both","f",998,"Pawns_moves"
