"ranking_gracz","ranking_przeciwnik","wynik","link","data","color","gracz","rodzaj"
1592,1547,0,"Chess.com","2021.12.22","white","tymekkk","blitz"
1657,1670,1,"Chess.com","2021.07.01","white","tymekkk","blitz"
1652,1795,0,"Chess.com","2021.07.01","white","tymekkk","blitz"
1618,1630,0,"Chess.com","2021.07.02","white","tymekkk","blitz"
1608,1539,0,"Chess.com","2021.07.02","white","tymekkk","blitz"
1699,1764,0,"Chess.com","2021.06.01","white","tymekkk","blitz"
1706,1663,1,"Chess.com","2021.06.03","white","tymekkk","blitz"
1704,1683,0,"Chess.com","2021.06.03","white","tymekkk","blitz"
1687,1719,0,"Chess.com","2021.06.04","white","tymekkk","blitz"
1682,1809,0,"Chess.com","2021.06.06","white","tymekkk","blitz"
1676,1798,0,"Chess.com","2021.06.09","white","tymekkk","blitz"
1685,1733,0.5,"Chess.com","2021.06.09","white","tymekkk","blitz"
1683,1655,0,"Chess.com","2021.06.13","white","tymekkk","blitz"
1685,1681,0,"Chess.com","2021.06.22","white","tymekkk","blitz"
1672,1715,0.5,"Chess.com","2021.06.23","white","tymekkk","blitz"
1680,1663,1,"Chess.com","2021.06.24","white","tymekkk","blitz"
1695,1587,1,"Chess.com","2021.06.28","white","tymekkk","blitz"
1685,1607,0,"Chess.com","2021.06.28","white","tymekkk","blitz"
1676,1648,1,"Chess.com","2021.06.28","white","tymekkk","blitz"
1668,1678,0,"Chess.com","2021.06.28","white","tymekkk","blitz"
1653,1432,0,"Chess.com","2021.06.28","white","tymekkk","blitz"
1646,1691,0,"Chess.com","2021.06.28","white","tymekkk","blitz"
1687,1664,0,"Chess.com","2021.05.02","white","tymekkk","blitz"
1695,1668,1,"Chess.com","2021.05.03","white","tymekkk","blitz"
1681,1682,0.5,"Chess.com","2021.05.05","white","tymekkk","blitz"
1672,1645,0,"Chess.com","2021.05.05","white","tymekkk","blitz"
1663,1656,0,"Chess.com","2021.05.05","white","tymekkk","blitz"
1685,1774,0,"Chess.com","2021.05.05","white","tymekkk","blitz"
1676,1646,0,"Chess.com","2021.05.06","white","tymekkk","blitz"
1699,1626,1,"Chess.com","2021.05.06","white","tymekkk","blitz"
1709,1783,1,"Chess.com","2021.05.06","white","tymekkk","blitz"
1722,1618,1,"Chess.com","2021.05.06","white","tymekkk","blitz"
1706,1646,0,"Chess.com","2021.05.07","white","tymekkk","blitz"
1714,1707,1,"Chess.com","2021.05.07","white","tymekkk","blitz"
1714,1766,0.5,"Chess.com","2021.05.09","white","tymekkk","blitz"
1722,1704,1,"Chess.com","2021.05.10","white","tymekkk","blitz"
1713,1680,0,"Chess.com","2021.05.10","white","tymekkk","blitz"
1706,1757,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1701,1774,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1717,1882,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1724,1669,1,"Chess.com","2021.05.11","white","tymekkk","blitz"
1706,1687,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1718,1863,1,"Chess.com","2021.05.11","white","tymekkk","blitz"
1723,1583,1,"Chess.com","2021.05.11","white","tymekkk","blitz"
1736,1470,1,"Chess.com","2021.05.11","white","tymekkk","blitz"
1713,1672,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1715,1677,0,"Chess.com","2021.05.11","white","tymekkk","blitz"
1720,1593,1,"Chess.com","2021.05.12","white","tymekkk","blitz"
1710,1656,0,"Chess.com","2021.05.12","white","tymekkk","blitz"
1700,1627,0,"Chess.com","2021.05.12","white","tymekkk","blitz"
1701,1711,1,"Chess.com","2021.05.13","white","tymekkk","blitz"
1704,1631,1,"Chess.com","2021.05.13","white","tymekkk","blitz"
1695,1655,0,"Chess.com","2021.05.13","white","tymekkk","blitz"
1701,1602,1,"Chess.com","2021.05.13","white","tymekkk","blitz"
1717,1770,1,"Chess.com","2021.05.13","white","tymekkk","blitz"
1708,1702,0,"Chess.com","2021.05.13","white","tymekkk","blitz"
1726,1682,1,"Chess.com","2021.05.13","white","tymekkk","blitz"
1710,1766,0,"Chess.com","2021.05.14","white","tymekkk","blitz"
1700,1630,0,"Chess.com","2021.05.14","white","tymekkk","blitz"
1694,1801,0,"Chess.com","2021.05.15","white","tymekkk","blitz"
1705,1806,1,"Chess.com","2021.05.16","white","tymekkk","blitz"
1714,1713,1,"Chess.com","2021.05.16","white","tymekkk","blitz"
1722,1700,1,"Chess.com","2021.05.17","white","tymekkk","blitz"
1717,1660,1,"Chess.com","2021.05.22","white","tymekkk","blitz"
1710,1793,0,"Chess.com","2021.05.23","white","tymekkk","blitz"
1718,1711,1,"Chess.com","2021.05.23","white","tymekkk","blitz"
1704,1837,0,"Chess.com","2021.05.23","white","tymekkk","blitz"
1704,1647,1,"Chess.com","2021.05.24","white","tymekkk","blitz"
1697,1581,1,"Chess.com","2021.05.27","white","tymekkk","blitz"
1699,1767,0.5,"Chess.com","2021.05.29","white","tymekkk","blitz"
1575,1460,0,"Chess.com","2021.04.03","white","tymekkk","blitz"
1594,1768,1,"Chess.com","2021.04.09","white","tymekkk","blitz"
1599,1707,0,"Chess.com","2021.04.09","white","tymekkk","blitz"
1608,1628,1,"Chess.com","2021.04.09","white","tymekkk","blitz"
1621,1552,1,"Chess.com","2021.04.09","white","tymekkk","blitz"
1621,1626,1,"Chess.com","2021.04.09","white","tymekkk","blitz"
1627,1537,1,"Chess.com","2021.04.10","white","tymekkk","blitz"
1634,1576,1,"Chess.com","2021.04.10","white","tymekkk","blitz"
1626,1623,0,"Chess.com","2021.04.10","white","tymekkk","blitz"
1617,1610,0,"Chess.com","2021.04.10","white","tymekkk","blitz"
1617,1631,0,"Chess.com","2021.04.10","white","tymekkk","blitz"
1609,1662,0,"Chess.com","2021.04.10","white","tymekkk","blitz"
1617,1592,1,"Chess.com","2021.04.11","white","tymekkk","blitz"
1603,1627,0,"Chess.com","2021.04.11","white","tymekkk","blitz"
1613,1692,1,"Chess.com","2021.04.12","white","tymekkk","blitz"
1604,1562,0,"Chess.com","2021.04.13","white","tymekkk","blitz"
1621,1600,1,"Chess.com","2021.04.15","white","tymekkk","blitz"
1622,1589,0,"Chess.com","2021.04.15","white","tymekkk","blitz"
1648,1620,1,"Chess.com","2021.04.16","white","tymekkk","blitz"
1641,1683,0,"Chess.com","2021.04.16","white","tymekkk","blitz"
1632,1687,0,"Chess.com","2021.04.16","white","tymekkk","blitz"
1623,1610,0,"Chess.com","2021.04.16","white","tymekkk","blitz"
1613,1553,1,"Chess.com","2021.04.19","white","tymekkk","blitz"
1625,1592,0.5,"Chess.com","2021.04.19","white","tymekkk","blitz"
