"x"
"Alekhine Defense"
"Alekhines Defense"
"Amazon Attack"
"Anderssen's Opening"
"Barnes Defense"
"Barnes Opening"
"Benko Gambit"
"Benko Gambit Accepted"
"Benko Gambit Declined"
"Benoni Defense"
"Bird Opening"
"Birds Opening"
"Bishop's Opening"
"Blackmar-Diemer Gambit"
"Blackmar-Diemer Gambit Declined"
"Blumenfeld Countergambit"
"Bongcloud Attack"
"Borg Defense"
"Bronstein Gambit"
"Canard Opening"
"Caro-Kann Defense"
"Caro Kann"
"Carr Defense"
"Catalan Opening"
"Center Game"
"Center Game Accepted"
"Clemenz Opening"
"Crab Opening"
"Czech Defense"
"Danish Gambit"
"Danish Gambit Accepted"
"Danish Gambit Declined"
"Duras Gambit"
"Dutch Defense"
"East Indian Defense"
"Elephant Gambit"
"English Defense"
"English Opening"
"Englund Gambit"
"Englund Gambit Complex"
"Englund Gambit Declined"
"Four Knights"
"Four Knights Game"
"French Defense"
"Gedult's Opening"
"Giuoco Piano"
"Goldsmith Defense"
"GrĂĽnfeld Defense"
"Grob Opening"
"Grunfeld Defense"
"Guatemala Defense"
"Gunderam Defense"
"Horwitz Defense"
"Hungarian Opening"
"Indian Defense"
"Indian Game"
"Italian Game"
"Kadas Opening"
"King's Gambit"
"King's Gambit Accepted"
"King's Gambit Declined"
"King's Indian Attack"
"King's Indian Defense"
"King's Knight Opening"
"King's Pawn"
"King's Pawn Game"
"King's Pawn Opening"
"Kings Fianchetto"
"Kings Indian"
"Kings Pawn"
"Latvian Gambit"
"Latvian Gambit Accepted"
"London System"
"Mieses Opening"
"Mikenas Defense"
"Modern Defense"
"Neo-GrĂĽnfeld Defense"
"Nimzo-Indian Defense"
"Nimzo-Larsen Attack"
"Nimzo Indian"
"Nimzowitsch Defense"
"Nimzowitsch Defense, Declined Variation"
"Nimzowitsch Larsen"
"Old Indian Defense"
"Owen Defense"
"Paleface Attack"
"Petrovs Defense"
"Philidor Defense"
"Pirc Defense"
"Polish Defense"
"Polish Opening"
"Ponziani Opening"
"Portuguese Opening"
"Pterodactyl Defense"
"Queen's Gambit Accepted"
"Queen's Gambit Declined"
"Queen's Indian Defense"
"Queen's Pawn Game"
"Queens Gambit"
"Queens Pawn"
"RĂ©ti Opening"
"Rapport-Jobava System"
"Rat Defense"
"Reti Opening"
"Richter-Veresov Attack"
"Rubinstein Opening"
"Russian Game"
"Ruy Lopez"
"Saragossa Opening"
"Scandinavian Defense"
"Scotch Game"
"Semi-Slav Defense"
"Sicilian Defense"
"Slav Defense"
"Sodium Attack"
"St. George Defense"
"Tarrasch Defense"
"Three Knights Opening"
"Torre Attack"
"Trompowsky Attack"
"Valencia Opening"
"Van't Kruijs Opening"
"Van Geet Opening"
"Vant Kruijs"
"Vienna Game"
"Ware Defense"
"Ware Opening"
"Zukertort Opening"
