id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.12.15,10:44:27,Angelo_Cuya_Consulta,Mlodziak77,1999,1928,180+2,A52,"Indian Defense: Budapest Defense, Adler Variation",15,Resign,1-0,0,False,True,https://lichess.org/UnZ0TNyI
2,2021.12.15,10:36:24,eatchipss,Mlodziak77,1944,1936,180+0,C42,Russian Game: Stafford Gambit,27,Resign,1/2-1/2,0.5,False,False,https://lichess.org/FNdcvHna
3,2021.12.10,19:11:02,dugoff,Mlodziak77,1968,1929,180+2,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line",21,Time forfeit,0-1,1,False,True,https://lichess.org/ru7QNdHy
4,2021.12.10,10:35:33,Jhestan22,Mlodziak77,1923,1944,180+2,C21,Danish Gambit Accepted: Schlechter Defense,14,Resign,1-0,0,False,True,https://lichess.org/BEIMn9p2
5,2021.12.05,22:06:50,Freddi_TrahtenEberg,Mlodziak77,1948,1944,180+2,C32,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit Accepted",21,Resign,0-1,1,True,True,https://lichess.org/lAyqFNON
6,2021.11.30,22:48:55,Jhon90,Mlodziak77,1916,1946,180+2,D02,Queen's Pawn Game: Symmetrical Variation,25,Resign,1-0,0,False,True,https://lichess.org/0TogHJOv
7,2021.11.30,21:13:53,Gheorghe12345,Mlodziak77,1964,1952,180+2,C42,Russian Game: Stafford Gambit,62,Checkmate,1/2-1/2,0.5,True,True,https://lichess.org/7UVGAhIT
8,2021.11.30,20:59:16,arturoIarturo,Mlodziak77,1861,1954,180+2,C21,Danish Gambit,40,Resign,0-1,1,False,True,https://lichess.org/uI4PUqD8
9,2021.11.30,15:40:45,Macounj,Mlodziak77,1961,1947,180+2,C23,Bishop's Opening,27,Time forfeit,0-1,1,False,True,https://lichess.org/j0EEdO7t
10,2021.11.29,10:27:01,yaiddoki1,Mlodziak77,1971,1960,180+2,C21,Danish Gambit,41,Resign,1-0,0,False,True,https://lichess.org/ETGGx24m
11,2021.11.24,11:16:24,fedediego,Mlodziak77,1972,1972,180+2,D00,Queen's Pawn Game,16,Resign,1-0,0,False,True,https://lichess.org/5sFi2xhg
12,2021.11.22,21:50:35,sisyphos98,Mlodziak77,1911,1972,180+2,C25,Vienna Game: Max Lange Defense,13,Resign,0-1,1,False,True,https://lichess.org/EgcBEYyq
13,2021.11.21,22:17:11,BrunoDevens,Mlodziak77,1971,1960,180+2,A45,Trompowsky Attack,8,Resign,0-1,1,False,True,https://lichess.org/6x8cOhd2
14,2021.11.21,22:01:24,alit_turk13761120,Mlodziak77,2085,1959,180+2,B08,Pirc Defense: Classical Variation,31,Resign,1-0,0,False,True,https://lichess.org/tIvwqzdV
15,2021.11.21,19:25:09,mouradattaque,Mlodziak77,1953,1946,180+2,C42,Russian Game,61,Checkmate,0-1,1,False,True,https://lichess.org/tiyyhiw7
