id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.12.16,22:07:36,Mlodziak77,Siz91,1916,1927,180+2,B20,Sicilian Defense: Wing Gambit,37,Checkmate,1-0,1,False,True,https://lichess.org/fXYXCnIT
2,2021.12.16,08:10:06,Mlodziak77,CCCP_s,1922,1958,180+2,B07,Pirc Defense,27,Time forfeit,0-1,0,False,True,https://lichess.org/C3m3egvF
3,2021.12.15,10:40:16,Mlodziak77,Debaryo123,1936,1839,180+2,B20,Sicilian Defense: Wing Gambit,23,Resign,0-1,0,False,True,https://lichess.org/33IxEs6u
4,2021.12.15,10:33:50,Mlodziak77,Godisnotdead,1943,1932,180+0,A45,Indian Defense,18,Resign,0-1,0,False,False,https://lichess.org/ETJI8x9N
5,2021.12.11,17:15:50,Mlodziak77,bkm83,1936,1949,180+2,B12,Caro-Kann Defense: MarĂłczy Variation,22,Resign,1-0,1,False,True,https://lichess.org/PeN5O5gz
6,2021.12.10,13:46:46,Mlodziak77,PawnstormSg,1937,1847,180+2,B00,Rat Defense: Harmonist,34,Time forfeit,0-1,0,False,True,https://lichess.org/czPPI1wC
7,2021.12.10,10:31:10,Mlodziak77,Donineto,1950,1983,180+2,D00,Queen's Pawn Game: Mason Variation,18,Resign,0-1,0,False,True,https://lichess.org/G2H1HIXw
8,2021.12.03,12:14:33,Mlodziak77,Hemanya,1937,1967,180+2,A04,Zukertort Opening: Sicilian Invitation,28,Checkmate,1-0,1,True,True,https://lichess.org/YLNe2gjY
9,2021.12.03,08:35:45,Mlodziak77,Ragim05,1939,1810,180+2,C46,Three Knights Opening,27,Resign,1/2-1/2,0.5,False,True,https://lichess.org/rbXgG6rp
10,2021.11.30,21:51:35,Mlodziak77,GreenRanger19,1952,1915,180+2,D02,Queen's Pawn Game: London System,20,Resign,0-1,0,False,True,https://lichess.org/9gdnWToZ
11,2021.11.30,21:07:32,Mlodziak77,kbvb59,1959,1925,180+2,A04,Zukertort Opening: Queenside Fianchetto Variation,23,Resign,0-1,0,False,True,https://lichess.org/IrMvTDVv
12,2021.11.30,15:37:25,Mlodziak77,Sasha-s-Donbassa,1953,1982,180+2,D02,Queen's Pawn Game: Chigorin Variation,20,Resign,0-1,0,False,True,https://lichess.org/hh57T1X9
