game id,move number,white,white time,white eval,black,black time,black eval
1,1,e4,0:03:00,,c5,0:03:00,
1,2,b4,0:03:01,,b6,0:02:58,
1,3,f4,0:03:00,,Bb7,0:02:59,
1,4,bxc5,0:03:01,,bxc5,0:03:00,
1,5,Nc3,0:03:00,,Nf6,0:02:59,
1,6,d3,0:02:58,,e5,0:02:52,
1,7,fxe5,0:02:58,,Ng8,0:02:47,
1,8,Nf3,0:02:56,,Nc6,0:02:31,
1,9,Rb1,0:02:50,,Rb8,0:02:30,
1,10,Nd5,0:02:43,,Nh6,0:02:05,
1,11,Bg5,0:02:43,,Be7,0:02:03,
1,12,Bxh6,0:02:39,,gxh6,0:02:04,
1,13,Be2,0:02:32,,Bg5,0:01:58,
1,14,Nxg5,0:02:29,,Qxg5,0:01:56,
1,15,Nf6+,0:02:20,,Ke7,0:01:56,
1,16,Nd5+,0:02:19,,Ke8,0:01:56,
1,17,O-O,0:02:11,,Qxe5,0:01:49,
1,18,Rf5,0:02:11,,Qg7,0:01:44,
1,19,Bh5,0:02:02,,Rf8,0:01:39,
1,20,Qe1,0:01:40,,Ne7,0:01:36,
1,21,Nxe7,0:01:28,,Kxe7,0:01:38,
1,22,Qh4+,0:01:28,,Ke8,0:01:35,
1,23,Rxc5,0:01:16,,Rg8,0:01:30,
1,24,g3,0:01:07,,Qd4+,0:01:08,
1,25,Kg2,0:01:00,,Qxc5,0:01:08,
1,26,Rf1,0:00:55,,Rf8,0:01:01,
1,27,Rf5,0:00:44,,Qxc2+,0:01:00,
1,28,Kh3,0:00:42,,Qc3,0:00:43,
1,29,Qf4,0:00:19,,Kd8,0:00:34,
1,30,Qxb8+,0:00:18,,Ke7,0:00:36,
1,31,Qxb7,0:00:14,,Rc8,0:00:31,
1,32,Qd5,0:00:10,,Kd8,0:00:27,
1,33,Rxf7,0:00:09,,Kc7,0:00:27,
1,34,Qxd7+,0:00:09,,Kb6,0:00:28,
1,35,Qb7+,0:00:09,,Ka5,0:00:27,
1,36,Qxa7+,0:00:09,,Kb4,0:00:26,
1,37,Rb7#,0:00:08,,,,
2,1,e4,0:03:00,,d6,0:03:00,
2,2,d4,0:03:00,,Nf6,0:03:00,
2,3,Nc3,0:03:01,,g6,0:03:00,
2,4,Bf4,0:03:00,,Bg7,0:02:59,
2,5,Qd2,0:03:01,,c6,0:02:53,
2,6,Bh6,0:02:59,,Bxh6,0:02:48,
2,7,Qxh6,0:03:01,,Qb6,0:02:43,
2,8,O-O-O,0:02:56,,Be6,0:02:41,
2,9,d5,0:02:43,,cxd5,0:02:41,
2,10,exd5,0:02:45,,Bf5,0:02:39,
2,11,Bd3,0:02:38,,Bxd3,0:02:39,
2,12,Rxd3,0:02:40,,Nbd7,0:02:39,
2,13,Nh3,0:02:29,,Ng4,0:02:34,
2,14,Qg7,0:02:15,,O-O-O,0:02:24,
2,15,f3,0:01:59,,Nf2,0:02:24,
2,16,Nxf2,0:01:58,,Qxf2,0:02:25,
2,17,Na4,0:01:41,,Ne5,0:02:15,
2,18,Rc3+,0:01:37,,Kb8,0:02:15,
2,19,Qh6,0:01:17,,Qxg2,0:02:07,
2,20,Rd1,0:01:13,,Nxf3,0:02:02,
2,21,Qf4,0:00:40,,Ne5,0:01:59,
2,22,Nc5,0:00:27,,g5,0:01:44,
2,23,Na6+,0:00:12,,bxa6,0:01:38,
2,24,Qb4+,0:00:13,,Ka8,0:01:37,
2,25,Rc7,0:00:06,,Rb8,0:01:37,
2,26,Qa5,0:00:05,,Rb6,0:01:35,
2,27,Rxe7,0:00:03,,Rhb8,0:01:33,
3,1,e4,0:03:00,,c5,0:03:00,
3,2,b4,0:03:00,,cxb4,0:03:00,
3,3,d4,0:03:01,,d6,0:03:01,
3,4,Nf3,0:03:02,,Nf6,0:03:00,
3,5,Bd3,0:03:01,,Nc6,0:03:01,
3,6,a3,0:03:01,,Qa5,0:03:01,
3,7,O-O,0:03:01,,e6,0:03:00,
3,8,Bd2,0:02:57,,Qc7,0:03:01,
3,9,axb4,0:02:46,,Be7,0:03:00,
3,10,c3,0:02:41,,O-O,0:02:59,
3,11,Re1,0:02:39,,a6,0:03:00,
3,12,Qc2,0:02:39,,a5,0:02:54,
3,13,e5,0:02:40,,Nd5,0:02:53,
3,14,Bxh7+,0:02:40,,Kh8,0:02:53,
3,15,Be4,0:02:34,,g6,0:02:40,
3,16,Qd3,0:02:19,,Kg7,0:02:36,
3,17,Bg5,0:02:02,,Bxg5,0:02:28,
3,18,Nxg5,0:02:01,,dxe5,0:02:29,
