id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.11.21,22:14:14,Mlodziak77,UPessencia,1758,1692,60+0,A04,Zukertort Opening: Queenside Fianchetto Variation,44,Time forfeit,1-0,1,False,False,https://lichess.org/pRkwORJk
2,2021.11.05,14:49:36,Mlodziak77,huyman9102,1760,1763,60+0,B20,Sicilian Defense: Myers Attack,31,Time forfeit,1-0,1,False,False,https://lichess.org/sehclAcJ
3,2021.11.02,18:07:00,Mlodziak77,PapiChuca,1771,1787,60+0,B00,Goldsmith Defense,21,Time forfeit,0-1,0,False,False,https://lichess.org/Kb6CsTkq
4,2021.11.02,17:25:50,Mlodziak77,sten1955,1771,1766,60+0,B10,Caro-Kann Defense: Two Knights Attack,22,Resign,1-0,1,False,False,https://lichess.org/VPdSPLSY
5,2021.11.01,19:12:07,Mlodziak77,ChessVik1,1776,1800,60+0,B06,Modern Defense,53,Time forfeit,1/2-1/2,0.5,False,False,https://lichess.org/gF8EkEfp
6,2021.11.01,19:10:00,Mlodziak77,King-Richard-III,1770,1789,60+0,B00,Pirc Defense,39,Time forfeit,1-0,1,False,False,https://lichess.org/bz4YdrKm
7,2021.11.01,19:06:58,Mlodziak77,Ronduro,1764,1770,60+0,B50,"Sicilian Defense: Wing Gambit, Deferred Variation",34,Time forfeit,1-0,1,False,False,https://lichess.org/s83r7SI9
8,2021.11.01,16:04:07,Mlodziak77,Blitzkrie,1758,1763,60+0,A04,Zukertort Opening: Sicilian Invitation,8,Resign,1-0,1,False,False,https://lichess.org/Ca3TXjcO
9,2021.11.01,14:21:14,Mlodziak77,Stressconfuse,1757,1817,60+0,C00,French Defense: Wing Gambit,29,Checkmate,1-0,1,False,False,https://lichess.org/rHmQw0YP
10,2021.11.01,14:17:06,Mlodziak77,pseudoplayer,1745,1747,60+0,C46,Three Knights Opening,23,Resign,1-0,1,False,False,https://lichess.org/FnNduIT8
11,2021.10.31,17:28:22,Mlodziak77,gamakichi,1750,1760,60+0,A04,Zukertort Opening: Kingside Fianchetto,46,Time forfeit,0-1,0,False,False,https://lichess.org/WlyY0QKW
12,2021.10.31,17:26:15,Mlodziak77,burunduk45,1756,1748,60+0,A04,Zukertort Opening: Queen's Gambit Invitation,49,Time forfeit,0-1,0,False,False,https://lichess.org/8P9QNPHU
13,2021.10.30,21:11:45,Mlodziak77,Rho_chess,1750,1720,60+0,A01,Nimzo-Larsen Attack: Modern Variation,45,Time forfeit,0-1,0,False,False,https://lichess.org/WcjXWo98
14,2021.10.30,21:07:30,Mlodziak77,bezveze,1760,1812,60+0,B00,Owen Defense,36,Time forfeit,0-1,0,False,False,https://lichess.org/74PPJuNm
15,2021.10.30,17:41:35,Mlodziak77,T2ARNOLD_FIIS,1767,1786,60+0,C46,Three Knights Opening,35,Time forfeit,0-1,0,True,False,https://lichess.org/Sgdv3Hjy
16,2021.10.30,16:56:15,Mlodziak77,RakeshMB,1777,1825,60+0,A06,Zukertort Opening: Tennison Gambit,42,Time forfeit,0-1,0,True,False,https://lichess.org/xYsWgQvj
17,2021.10.30,16:51:32,Mlodziak77,yuksel077,1789,1783,60+0,C46,Three Knights Opening: Winawer Defense,46,Time forfeit,0-1,0,False,False,https://lichess.org/Zlk9lwKf
18,2021.10.30,13:55:25,Mlodziak77,Tim-mega,1782,1812,60+0,B06,Modern Defense,24,Resign,1-0,1,False,False,https://lichess.org/iPw2rGl9
19,2021.10.30,13:45:46,Mlodziak77,Anonim1976,1788,1788,60+0,B20,Sicilian Defense: Wing Gambit,24,Checkmate,0-1,0,False,False,https://lichess.org/2sy1PerO
20,2021.10.30,13:41:33,Mlodziak77,jeremygalland,1789,1723,60+0,C00,French Defense: Steiner Variation,26,Time forfeit,1-0,1,False,False,https://lichess.org/4ip97lTp
21,2021.10.30,13:39:36,Mlodziak77,benghis,1784,1765,60+0,A06,Zukertort Opening: Tennison Gambit,25,Resign,1-0,1,False,False,https://lichess.org/Uzgmi8r4
