game id,move number,white,white time,white eval,black,black time,black eval
1,1,Nf3,0:01:00,,b6,0:01:00,
1,2,a4,0:00:59,,Bb7,0:01:00,
1,3,d4,0:00:59,,Bxf3,0:00:58,
1,4,exf3,0:00:58,,Nc6,0:00:58,
1,5,Bb5,0:00:57,,a6,0:00:57,
1,6,Bc4,0:00:55,,Na5,0:00:55,
1,7,Bd3,0:00:53,,Nf6,0:00:54,
1,8,c3,0:00:53,,e6,0:00:54,
1,9,O-O,0:00:52,,d5,0:00:52,
1,10,Bg5,0:00:50,,Nc6,0:00:51,
1,11,Qc2,0:00:49,,Be7,0:00:49,
1,12,Nd2,0:00:48,,Nd7,0:00:48,
1,13,Bxe7,0:00:46,,Qxe7,0:00:48,
1,14,b4,0:00:46,,g6,0:00:47,
1,15,Nb3,0:00:45,,f5,0:00:46,
1,16,a5,0:00:44,,b5,0:00:44,
1,17,Nc5,0:00:43,,Nxc5,0:00:41,
1,18,dxc5,0:00:43,,O-O,0:00:37,
1,19,Rfe1,0:00:42,,Rae8,0:00:35,
1,20,Re2,0:00:39,,d4,0:00:34,
1,21,cxd4,0:00:37,,Nxd4,0:00:34,
1,22,Qb2,0:00:33,,Nxe2+,0:00:34,
1,23,Qxe2,0:00:33,,Qf6,0:00:33,
1,24,Re1,0:00:32,,Qc3,0:00:32,
1,25,Rb1,0:00:27,,Rd8,0:00:28,
1,26,Bc2,0:00:25,,Rf6,0:00:24,
1,27,Rb3,0:00:20,,Qa1+,0:00:22,
1,28,Qf1,0:00:17,,Qxf1+,0:00:18,
1,29,Kxf1,0:00:17,,e5,0:00:17,
1,30,Re3,0:00:16,,Re6,0:00:14,
1,31,Ke2,0:00:14,,Kf7,0:00:13,
1,32,f4,0:00:13,,e4,0:00:12,
1,33,Bb3,0:00:11,,Kf6,0:00:10,
1,34,Bxe6,0:00:10,,Kxe6,0:00:10,
1,35,f3,0:00:09,,Kf6,0:00:09,
1,36,fxe4,0:00:09,,fxe4,0:00:09,
1,37,Rxe4,0:00:08,,Kf5,0:00:08,
1,38,Ke3,0:00:07,,Rd1,0:00:06,
1,39,h3,0:00:07,,Re1+,0:00:04,
1,40,Kf3,0:00:06,,Rxe4,0:00:04,
1,41,g4+,0:00:06,,Kf6,0:00:02,
1,42,Kxe4,0:00:06,,g5,0:00:01,
1,43,f5,0:00:04,,h6,0:00:00,
1,44,Kd5,0:00:03,,,,
2,1,e4,0:01:00,,c5,0:01:00,
2,2,a4,0:00:59,,Nc6,0:00:59,
2,3,Nf3,0:00:58,,e6,0:00:59,
2,4,d4,0:00:57,,cxd4,0:00:59,
2,5,Nxd4,0:00:57,,Nf6,0:00:59,
2,6,Nxc6,0:00:55,,bxc6,0:00:59,
2,7,Nc3,0:00:53,,d5,0:00:57,
2,8,e5,0:00:52,,Nd7,0:00:56,
2,9,Bf4,0:00:49,,Be7,0:00:52,
2,10,Bd3,0:00:48,,O-O,0:00:51,
2,11,Qh5,0:00:46,,g6,0:00:49,
2,12,Qh3,0:00:45,,a5,0:00:46,
2,13,Bh6,0:00:43,,Re8,0:00:44,
2,14,O-O,0:00:42,,Ba6,0:00:42,
2,15,Bxa6,0:00:41,,Rxa6,0:00:42,
2,16,Ra3,0:00:40,,Nxe5,0:00:38,
2,17,f4,0:00:38,,Qb6+,0:00:35,
2,18,Kh1,0:00:37,,Nc4,0:00:29,
2,19,Rb3,0:00:33,,Qc7,0:00:27,
2,20,Bg5,0:00:28,,Bf8,0:00:23,
2,21,g4,0:00:23,,Nd2,0:00:16,
2,22,Rf3,0:00:14,,Nxf3,0:00:13,
2,23,Qxf3,0:00:12,,Rb8,0:00:11,
2,24,Na2,0:00:04,,Rxb3,0:00:09,
2,25,cxb3,0:00:04,,Rb6,0:00:06,
2,26,Qc3,0:00:03,,Qd6,0:00:04,
2,27,Qf6,0:00:02,,Rxb3,0:00:02,
2,28,Qd8,0:00:02,,Qxd8,0:00:01,
2,29,Nc1,0:00:02,,Bd6,0:00:01,
2,30,Bxd8,0:00:02,,Rxb2,0:00:01,
2,31,Bxa5,0:00:01,,,,
3,1,e4,0:01:00,,h5,0:01:00,
3,2,Nf3,0:00:58,,g6,0:00:59,
3,3,Bc4,0:00:57,,Bg7,0:00:59,
3,4,Ng5,0:00:56,,e6,0:00:58,
3,5,Qf3,0:00:55,,Qxg5,0:00:57,
3,6,d4,0:00:53,,Qxc1+,0:00:55,
3,7,Ke2,0:00:51,,Qxc2+,0:00:55,
3,8,Nd2,0:00:48,,Bxd4,0:00:51,
3,9,b3,0:00:44,,Bxa1,0:00:49,
3,10,Rxa1,0:00:39,,Nf6,0:00:47,
3,11,Qxf6,0:00:25,,O-O,0:00:45,
3,12,g4,0:00:16,,d5,0:00:44,
3,13,exd5,0:00:14,,exd5,0:00:43,
3,14,Bxd5,0:00:10,,Re8+,0:00:42,
3,15,Kf3,0:00:09,,Be6,0:00:34,
3,16,Bxe6,0:00:07,,Rxe6,0:00:33,
3,17,Qd8+,0:00:06,,Kg7,0:00:31,
3,18,Ne4,0:00:04,,Qxe4+,0:00:29,
3,19,Kg3,0:00:02,,Nc6,0:00:28,
3,20,gxh5,0:00:01,,Rxd8,0:00:27,
3,21,Rd1,0:00:01,,Rxd1,0:00:25,
4,1,e4,0:01:00,,c6,0:01:00,
4,2,Nf3,0:01:00,,d5,0:00:58,
4,3,Nc3,0:00:59,,e6,0:00:57,
4,4,exd5,0:00:58,,cxd5,0:00:57,
4,5,d4,0:00:57,,Be7,0:00:57,
4,6,Bb5+,0:00:56,,Bd7,0:00:55,
4,7,Bf4,0:00:56,,Bxb5,0:00:54,
4,8,Nxb5,0:00:56,,Na6,0:00:54,
4,9,c3,0:00:53,,Nf6,0:00:52,
4,10,O-O,0:00:52,,O-O,0:00:51,
4,11,a4,0:00:47,,Qa5,0:00:49,
4,12,b4,0:00:44,,Qd8,0:00:48,
4,13,Bg5,0:00:39,,Ne4,0:00:46,
4,14,Bxe7,0:00:38,,Qxe7,0:00:46,
4,15,Ne5,0:00:37,,Nd6,0:00:44,
4,16,Qe2,0:00:33,,Nxb5,0:00:42,
4,17,Qxb5,0:00:33,,Nc7,0:00:40,
4,18,Qxb7,0:00:32,,Rab8,0:00:37,
4,19,Qxa7,0:00:30,,Qd6,0:00:33,
4,20,Qc5,0:00:29,,Qxc5,0:00:31,
