id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.11.11,11:51:05,VYM123,Mlodziak77,1965,2026,600+0,A52,Indian Defense: Budapest Defense,20,Resign,1-0,0,False,False,https://lichess.org/DzI0iZWh
2,2021.11.01,16:26:33,mirko6,Mlodziak77,1959,1995,600+0,A51,Indian Defense: Budapest Defense,33,Resign,0-1,1,False,False,https://lichess.org/odpuRQq4
3,2021.11.01,16:05:35,Leandromarquesptu,Mlodziak77,2120,2003,600+0,D02,London System: Poisoned Pawn Variation,7,Resign,1-0,0,False,False,https://lichess.org/KRb02Wld
4,2021.10.30,17:00:52,sojib1995,Mlodziak77,2004,2014,600+0,A00,Hungarian Opening,40,Resign,1-0,0,False,False,https://lichess.org/8bei9eXz
5,2021.10.12,18:26:50,kaszanka,Mlodziak77,2017,2022,600+0,C50,"Italian Game: Giuoco Pianissimo, Normal",27,Resign,1-0,0,False,False,https://lichess.org/jKnr6Nb3
6,2021.10.07,13:01:30,maro78,Mlodziak77,2019,2037,600+0,C50,"Italian Game: Giuoco Pianissimo, Normal",20,Resign,1-0,0,False,False,https://lichess.org/9nskpTa7
7,2021.10.07,11:32:05,Jayr70,Mlodziak77,2021,2046,600+0,A45,Indian Defense,50,Checkmate,1-0,0,True,False,https://lichess.org/mWV8Ds16
8,2021.10.07,11:26:34,VikramB10,Mlodziak77,2128,2035,600+0,C42,Russian Game: Stafford Gambit,20,Resign,0-1,1,True,False,https://lichess.org/uAQcW0Ac
9,2021.10.07,11:01:03,aghasaf90,Mlodziak77,2020,2022,600+0,C48,"Four Knights Game: Spanish Variation, Classical Variation",14,Checkmate,0-1,1,True,False,https://lichess.org/1wLKh9qj
10,2021.10.05,18:30:12,Cahit21,Mlodziak77,1912,2015,600+0,C42,Russian Game: Stafford Gambit,12,Checkmate,0-1,1,True,False,https://lichess.org/ZXDJplix
11,2021.10.02,11:30:47,Dong_Aven,Mlodziak77,2118,2021,600+0,C42,Russian Game: Stafford Gambit,28,Resign,1-0,0,False,False,https://lichess.org/2VkAzpmJ
12,2021.10.02,10:51:11,jaifhussain7,Mlodziak77,1998,2012,600+0,C42,Russian Game: Italian Variation,48,Checkmate,0-1,1,True,False,https://lichess.org/Pzf3fpFk
13,2021.10.01,19:31:35,amid-008,Mlodziak77,1968,1994,600+0,C21,Center Game: Kieseritzky Variation,30,Checkmate,0-1,1,False,False,https://lichess.org/xARyMlR5
14,2021.09.27,21:05:08,grosquick,Mlodziak77,1928,1998,600+0,C42,Russian Game: Stafford Gambit,23,Resign,0-1,1,False,False,https://lichess.org/8XFkPwca
15,2021.09.27,19:54:46,Takouche42,Mlodziak77,1892,1982,600+0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack",73,Checkmate,0-1,1,False,False,https://lichess.org/uQtkwbln
16,2021.09.27,18:06:47,EfuL92,Mlodziak77,1916,1973,600+0,A46,Indian Defense: London System,27,Resign,0-1,1,True,False,https://lichess.org/0NDVOOMj
17,2021.09.27,17:26:46,indo_vino,Mlodziak77,1911,1937,600+0,A45,Trompowsky Attack: Classical Defense,25,Checkmate,0-1,1,True,False,https://lichess.org/HxD1VQmB
18,2021.09.27,17:19:43,Bujaridrizi,Mlodziak77,1917,1926,600+0,C20,King's Pawn Game: Leonardis Variation,41,Checkmate,0-1,1,False,False,https://lichess.org/ttQcYnJi
19,2021.09.27,17:04:45,TanGa-Nica,Mlodziak77,1937,1937,600+0,A00,Polish Opening,34,Checkmate,1-0,0,False,False,https://lichess.org/xBZy1reO
20,2021.09.21,11:37:46,TeacherML,Mlodziak77,1986,1923,600+0,A45,Indian Defense,52,Resign,1/2-1/2,0.5,False,False,https://lichess.org/HYtxvbs0
21,2021.09.12,13:19:39,MFirjaR_sman8bogor,Mlodziak77,1791,1936,600+0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,Resign,1-0,0,False,False,https://lichess.org/8IdtXHlL
22,2021.09.11,16:09:31,theoharisl,Mlodziak77,1921,1946,600+0,A20,English Opening: King's English Variation,19,Resign,1-0,0,False,False,https://lichess.org/OyT76zqy
23,2021.08.18,15:02:27,Jacobgoodison,Mlodziak77,1962,1947,600+0,C20,"King's Pawn Game: Macleod Attack, Lasa Gambit",26,Resign,1-0,0,False,False,https://lichess.org/wPk3rDO5
24,2021.08.18,13:30:21,masmus,Mlodziak77,1895,1946,600+0,A52,"Indian Defense: Budapest Defense, Adler Variation",40,Resign,1-0,0,True,False,https://lichess.org/wfNxnBLK
25,2021.08.18,13:03:16,HeadIntoSound,Mlodziak77,1900,1928,600+0,A51,Indian Defense: Budapest Defense,6,Resign,0-1,1,True,False,https://lichess.org/r52cUCsU
26,2021.07.30,10:31:29,Vb-34,Mlodziak77,1962,1947,600+0,A46,Indian Defense: London System,24,Resign,1-0,0,True,False,https://lichess.org/6XRruUsO
27,2021.07.25,13:47:53,Fungi,Mlodziak77,1876,1948,600+0,C34,King's Gambit Accepted: King Knight's Gambit,27,Checkmate,0-1,1,True,False,https://lichess.org/7EtxuSAM
28,2021.07.25,11:15:57,ali1352125,Mlodziak77,1936,1924,600+0,C20,King's Pawn Game: Macleod Attack,17,Resign,0-1,1,True,False,https://lichess.org/MQEa59ql
29,2021.07.24,19:47:21,roller001,Mlodziak77,2000,1939,600+0,C42,Russian Game: Stafford Gambit,12,Resign,1-0,0,False,False,https://lichess.org/CMbsuJ6g
30,2021.07.24,19:06:48,Zino571,Mlodziak77,2018,1944,600+0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",42,Resign,1-0,0,True,False,https://lichess.org/BPSITfff
31,2021.07.24,14:13:20,dpsingh,Mlodziak77,1846,1938,600+0,A01,Nimzo-Larsen Attack: Symmetrical Variation,12,Resign,1-0,0,False,False,https://lichess.org/Zy2NAiar
32,2021.07.24,13:48:50,Aleshaimar2005,Mlodziak77,1890,1947,600+0,C31,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit",19,Resign,1-0,0,True,False,https://lichess.org/jv0j5KQm
33,2021.07.24,09:31:12,jaybamk,Mlodziak77,1942,1963,600+0,A45,Indian Defense,57,Resign,1-0,0,True,False,https://lichess.org/x2lWCBvm
34,2021.07.22,12:03:55,Capitano3,Mlodziak77,1948,1944,600+0,C46,"Four Knights Game: Italian Variation, Noa Gambit",21,Resign,0-1,1,True,False,https://lichess.org/rc7UjM8A
35,2021.07.22,10:40:38,iMike02,Mlodziak77,1894,1944,600+0,C46,Four Knights Game: Halloween Gambit,13,Resign,1-0,0,False,False,https://lichess.org/yPv1b6v5
36,2021.07.13,16:38:14,geodelafunk,Mlodziak77,1863,1946,600+0,A51,Indian Defense: Budapest Defense,15,Checkmate,1-0,0,True,False,https://lichess.org/Auy4njdY
37,2021.07.13,16:14:29,ishakteyran,Mlodziak77,1912,1947,600+0,C42,Russian Game: Stafford Gambit,9,Checkmate,1-0,0,True,False,https://lichess.org/WiExryUZ
38,2021.07.13,12:54:16,Kenny_tony,Mlodziak77,1911,1947,600+0,C42,Russian Game: Stafford Gambit,47,Time forfeit,0-1,1,True,False,https://lichess.org/X5wxqUyz
39,2021.06.25,12:08:52,Bossroom,Mlodziak77,1879,1929,600+0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",28,Checkmate,0-1,1,True,False,https://lichess.org/tCLZQuhT
40,2021.06.20,15:23:23,Cecep_Indramayu_CSS,Mlodziak77,2073,1919,600+0,A45,Indian Defense,30,Resign,0-1,1,True,False,https://lichess.org/tnDVYjFx
41,2021.06.20,15:06:52,Blumkin11,Mlodziak77,1921,1911,600+0,A45,Indian Defense,26,Checkmate,0-1,1,True,False,https://lichess.org/IFVVlXs7
42,2021.06.20,14:51:38,DasTarun,Mlodziak77,1918,1904,600+0,A02,Bird Opening: From's Gambit,38,Checkmate,0-1,1,True,False,https://lichess.org/RnbLFynY
43,2021.06.20,14:01:39,jitender87,Mlodziak77,1900,1896,600+0,A10,English Opening: Great Snake Variation,24,Checkmate,0-1,1,True,False,https://lichess.org/am6NmS4Z
44,2021.06.19,10:58:28,edunisi,Mlodziak77,1865,1889,600+0,C43,Russian Game: Modern Attack,49,Resign,1-0,0,False,False,https://lichess.org/eO0xF67l
45,2021.06.19,10:23:27,NLabMan,Mlodziak77,1849,1888,600+0,A30,English Opening: Symmetrical Variation,36,Resign,0-1,1,True,False,https://lichess.org/i6uj5hB0
46,2021.06.18,20:41:51,respectchess,Mlodziak77,1867,1864,600+0,C44,Ponziani Opening: Neumann Gambit,16,Checkmate,0-1,1,True,False,https://lichess.org/vA8vjBNV
47,2021.06.18,20:30:07,stepan0011,Mlodziak77,1773,1857,600+0,A01,Nimzo-Larsen Attack: Symmetrical Variation,33,Checkmate,0-1,1,True,False,https://lichess.org/RKbSYnUZ
48,2021.06.18,19:05:46,RJose3126,Mlodziak77,1848,1836,600+0,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line",34,Resign,1/2-1/2,0.5,True,False,https://lichess.org/MAofetnK
49,2021.06.18,18:43:58,BlunderKing93,Mlodziak77,1852,1805,600+0,C25,Vienna Game: Max Lange Defense,18,Checkmate,0-1,1,False,False,https://lichess.org/3pEKxrF0
50,2021.06.18,18:33:37,Chesscal,Mlodziak77,1781,1804,600+0,C42,Russian Game: Stafford Gambit,8,Resign,1-0,0,False,False,https://lichess.org/tzWqhOXC
