game id,move number,white,white time,white eval,black,black time,black eval
1,1,e4,0:03:00,,c5,0:03:00,
1,2,Nc3,0:02:58,,Nc6,0:02:59,
1,3,f4,0:02:57,,g6,0:02:57,
1,4,Nf3,0:02:56,,Bg7,0:02:56,
1,5,d3,0:02:55,,d6,0:02:56,
1,6,g3,0:02:54,,e5,0:02:55,
1,7,Bg2,0:02:53,,Nge7,0:02:53,
1,8,fxe5,0:02:53,,Nxe5,0:02:50,
1,9,Nxe5,0:02:51,,Bxe5,0:02:50,
1,10,O-O,0:02:50,,O-O,0:02:49,
1,11,Bh6,0:02:48,,Bg7,0:02:46,
1,12,Bxg7,0:02:47,,Kxg7,0:02:46,
1,13,Ne2,0:02:30,,Nc6,0:02:45,
1,14,c3,0:02:25,,Be6,0:02:37,
1,15,Nf4,0:02:24,,Bd7,0:02:35,
1,16,Nd5,0:02:23,,Qg5,0:02:33,
1,17,Qf3,0:02:11,,Be6,0:02:30,
1,18,Nc7,0:02:04,,Rac8,0:02:27,
1,19,Nxe6+,0:02:03,,fxe6,0:02:27,
1,20,Qe2,0:02:02,,Ne5,0:02:23,
1,21,d4,0:01:59,,Ng4,0:02:18,
1,22,Rae1,0:01:44,,cxd4,0:02:04,
1,23,cxd4,0:01:39,,Rxf1+,0:01:53,
1,24,Bxf1,0:01:16,,Rf8,0:01:48,
1,25,Bg2,0:01:12,,Rf2,0:01:45,
1,26,Qc4,0:01:03,,Ne3,0:01:32,
1,27,Qxe6,0:00:55,,Rxg2+,0:01:28,
1,28,Kh1,0:00:54,,Rf2,0:01:06,
1,29,Qd7+,0:00:49,,Rf7,0:01:04,
1,30,Qxd6,0:00:47,,Ng4,0:00:54,
1,31,Qb4,0:00:28,,Qh5,0:00:47,
1,32,Qd2,0:00:24,,Rf2,0:00:44,
2,1,d4,0:03:00,,c6,0:03:00,
2,2,c4,0:02:59,,d5,0:03:00,
2,3,Nc3,0:02:58,,Nf6,0:02:59,
2,4,Nf3,0:02:56,,e6,0:02:59,
2,5,e3,0:02:52,,Nbd7,0:02:56,
2,6,Be2,0:02:51,,Bd6,0:02:54,
2,7,O-O,0:02:50,,O-O,0:02:53,
2,8,c5,0:02:49,,Bc7,0:02:52,
2,9,a4,0:02:49,,e5,0:02:52,
2,10,dxe5,0:02:46,,Nxe5,0:02:52,
2,11,b4,0:02:43,,b6,0:02:49,
2,12,cxb6,0:02:40,,axb6,0:02:48,
2,13,Nd4,0:02:39,,Bb7,0:02:45,
2,14,Bb2,0:02:36,,c5,0:02:44,
2,15,bxc5,0:02:34,,bxc5,0:02:44,
2,16,Ndb5,0:02:34,,Bb8,0:02:43,
2,17,f4,0:02:27,,Nc6,0:02:34,
2,18,Bf3,0:02:25,,d4,0:02:33,
2,19,exd4,0:02:24,,cxd4,0:02:32,
2,20,Ne4,0:02:19,,Nxe4,0:02:16,
2,21,Bxe4,0:02:19,,Qb6,0:02:16,
2,22,Qh5,0:02:13,,g6,0:02:14,
2,23,Qh6,0:02:07,,Rxa4,0:01:59,
2,24,Rxa4,0:01:56,,Qxb5,0:01:58,
2,25,Bxc6,0:01:52,,Qxc6,0:01:51,
2,26,Rf3,0:01:34,,Qxa4,0:01:48,
2,27,Rh3,0:01:28,,Qd1+,0:01:44,
2,28,Kf2,0:01:27,,Qd2+,0:01:37,
2,29,Kg3,0:01:20,,Qxg2+,0:01:36,
2,30,Kh4,0:01:19,,Qf2+,0:01:29,
2,31,Kg5,0:01:08,,Qxf4#,0:01:27,
3,1,d4,0:03:00,,d5,0:03:00,
3,2,c4,0:02:59,,Nf6,0:02:59,
3,3,cxd5,0:02:57,,Nxd5,0:02:59,
3,4,e4,0:02:56,,Nf6,0:02:58,
3,5,Nc3,0:02:56,,g6,0:02:57,
3,6,Be3,0:02:51,,Bg7,0:02:55,
3,7,Bd3,0:02:51,,O-O,0:02:55,
3,8,Rc1,0:02:49,,Nc6,0:02:52,
3,9,Nge2,0:02:44,,e5,0:02:51,
3,10,d5,0:02:43,,Ne7,0:02:44,
3,11,O-O,0:02:40,,Nh5,0:02:42,
3,12,f4,0:02:35,,f5,0:02:41,
3,13,fxe5,0:02:34,,Bxe5,0:02:41,
3,14,exf5,0:02:33,,Bxf5,0:02:39,
3,15,Bxf5,0:02:33,,Nxf5,0:02:39,
3,16,Bc5,0:02:26,,Re8,0:02:36,
3,17,Rxf5,0:01:43,,gxf5,0:02:34,
3,18,Nd4,0:01:36,,Qh4,0:02:31,
3,19,Nxf5,0:01:27,,Qxh2+,0:02:30,
3,20,Kf2,0:01:26,,Bg3+,0:02:25,
3,21,Nxg3,0:01:23,,Qxg3+,0:02:19,
3,22,Kg1,0:01:19,,Nf4,0:01:55,
3,23,Rc2,0:01:09,,Rad8,0:00:47,
3,24,d6,0:00:54,,cxd6,0:00:42,
3,25,Bxa7,0:00:48,,Nh3+,0:00:23,
3,26,Kh1,0:00:47,,Nf2+,0:00:23,
3,27,Bxf2,0:00:46,,Qxf2,0:00:23,
3,28,Rxf2,0:00:44,,,,
4,1,d4,0:03:00,,Nf6,0:03:00,
4,2,c4,0:02:59,,c5,0:02:57,
4,3,d5,0:02:58,,e6,0:02:55,
4,4,dxe6,0:02:53,,fxe6,0:02:54,
4,5,Nc3,0:02:51,,d5,0:02:54,
4,6,cxd5,0:02:50,,exd5,0:02:53,
4,7,e3,0:02:48,,Be6,0:02:53,
4,8,b3,0:02:47,,Bd6,0:02:52,
4,9,Bb2,0:02:46,,Nc6,0:02:51,
4,10,Nf3,0:02:44,,O-O,0:02:51,
4,11,g3,0:02:43,,Qe7,0:02:50,
4,12,Bg2,0:02:42,,Rad8,0:02:49,
4,13,O-O,0:02:42,,Bb8,0:02:48,
4,14,Qe2,0:02:41,,h5,0:02:46,
4,15,h4,0:02:39,,Bg4,0:02:43,
4,16,Qc2,0:02:34,,Ne4,0:02:40,
4,17,Nxe4,0:02:32,,dxe4,0:02:39,
4,18,Ng5,0:02:30,,Rde8,0:02:23,
4,19,Nxe4,0:02:26,,Bf5,0:02:21,
4,20,f3,0:01:58,,Bxg3,0:02:18,
4,21,Qc3,0:01:54,,Bxh4,0:02:09,
4,22,Kh2,0:01:49,,Bxe4,0:02:07,
4,23,fxe4,0:01:48,,Bf6,0:02:07,
4,24,Qd2,0:01:43,,Bxb2,0:02:06,
4,25,Qxb2,0:01:43,,Qh4+,0:02:05,
4,26,Kg1,0:01:42,,Ne5,0:01:53,
4,27,Rxf8+,0:01:29,,Kxf8,0:01:48,
4,28,Rf1+,0:01:27,,Kg8,0:01:47,
4,29,Rf4,0:01:26,,Ng4,0:01:45,
4,30,Bf3,0:01:17,,Qg3+,0:01:38,
4,31,Kf1,0:01:15,,Rf8,0:01:32,
4,32,Rxf8+,0:01:10,,Kxf8,0:01:31,
4,33,Bxg4,0:01:09,,Qxg4,0:01:29,
4,34,Qe5,0:01:05,,Qf3+,0:01:01,
4,35,Ke1,0:01:00,,Qxe3+,0:00:59,
4,36,Kf1,0:01:00,,Qf3+,0:00:57,
4,37,Ke1,0:00:59,,h4,0:00:57,
4,38,Qb8+,0:00:55,,Kf7,0:00:55,
4,39,Qxb7+,0:00:54,,Kg8,0:00:55,
4,40,Qd5+,0:00:43,,Kh7,0:00:52,
4,41,Qxc5,0:00:37,,Qxe4+,0:00:49,
4,42,Kf1,0:00:36,,Qf3+,0:00:47,
4,43,Qf2,0:00:35,,Qxf2+,0:00:45,
4,44,Kxf2,0:00:35,,g5,0:00:43,
4,45,b4,0:00:34,,Kg7,0:00:43,
4,46,a4,0:00:33,,Kf7,0:00:42,
4,47,Kf3,0:00:33,,Ke7,0:00:42,
4,48,Kg4,0:00:32,,Kd6,0:00:41,
4,49,Kxg5,0:00:30,,h3,0:00:39,
5,1,e4,0:03:00,,e5,0:03:00,
5,2,Nf3,0:02:59,,d5,0:02:59,
