id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.07.03,10:51:22,Kirill260809,grooney,2111,2164,600+5,D10,Slav Defense: Exchange Variation,12,Resign,0-1,1,True,True,https://lichess.org/Xff9fW5P
2,2021.06.23,22:43:36,Juanpedroflorespicon,grooney,2076,2167,600+5,D00,Queen's Pawn Game: Mason Variation,32,Resign,1-0,0,True,True,https://lichess.org/2lNiNYVJ
3,2021.06.21,21:43:05,sbdunlaoghaire,grooney,2193,2136,600+5,B18,Caro-Kann Defense: Classical Variation,24,Checkmate,0-1,1,True,True,https://lichess.org/6kecCT5D
4,2021.06.21,09:40:11,quelma,grooney,2147,2146,600+5,B13,Caro-Kann Defense: Exchange Variation,72,Resign,1/2-1/2,0.5,True,True,https://lichess.org/nqjG8kLz
5,2021.06.17,11:27:16,Anmonika,grooney,2072,2120,600+5,B10,Caro-Kann Defense,50,Checkmate,0-1,1,True,True,https://lichess.org/urv0XyST
6,2021.06.17,10:26:58,GodnessOfArena,grooney,2082,2108,600+5,B12,Caro-Kann Defense: MarĂłczy Variation,65,Checkmate,0-1,1,True,True,https://lichess.org/isKy5idq
7,2021.06.15,13:28:20,rich223,grooney,2069,2083,600+5,A13,English Opening: Neo-Catalan Declined,13,Resign,0-1,1,True,True,https://lichess.org/tmpZZKoj
8,2021.06.14,21:08:11,KostaNik,grooney,1915,2065,600+5,B12,"Caro-Kann Defense: Advance Variation, Short Variation",45,Checkmate,0-1,1,True,True,https://lichess.org/vdMn4l0U
9,2021.06.14,06:29:29,JD93,grooney,1959,2036,600+5,B13,Caro-Kann Defense: Exchange Variation,63,Checkmate,0-1,1,True,True,https://lichess.org/7H7hZGlK
10,2021.06.13,21:16:30,fwillett,grooney,1891,2028,600+5,B13,Caro-Kann Defense: Exchange Variation,66,Resign,1/2-1/2,0.5,True,True,https://lichess.org/HqozhdTe
11,2021.06.13,21:09:24,ItouKaiji,grooney,1998,2011,600+5,B13,Caro-Kann Defense: Panov Attack,20,Resign,0-1,1,True,True,https://lichess.org/Mq9N63Lh
12,2021.03.28,18:07:09,jacekchess2,grooney,2140,2019,600+1,B13,Caro-Kann Defense: Exchange Variation,17,Resign,1-0,0,True,True,https://lichess.org/lyisx8c2
13,2021.03.28,17:20:28,Karwacik,grooney,2116,2019,600+1,A03,Bird Opening: Dutch Variation,30,Checkmate,1-0,0,True,True,https://lichess.org/2xTZfmL5
14,2021.03.28,16:32:47,Here_s_Johny,grooney,1761,2013,600+1,B12,Caro-Kann Defense: MarĂłczy Variation,32,Checkmate,0-1,1,False,True,https://lichess.org/7u8HJhWW
15,2021.03.28,15:46:09,maciekkam,grooney,2268,2015,600+1,B10,Caro-Kann Defense,36,Checkmate,1-0,0,True,True,https://lichess.org/Lco8fGpu
