id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.07.04,13:40:19,grooney,WuffitheBoss,2173,2104,600+5,B22,Sicilian Defense: Alapin Variation,23,Resign,0-1,0,True,True,https://lichess.org/oShI3ENR
2,2021.06.24,11:55:49,grooney,MarioGo,2155,2136,600+5,B22,Sicilian Defense: Alapin Variation,48,Checkmate,1-0,1,True,True,https://lichess.org/GNuebAIv
3,2021.06.23,22:14:43,grooney,baheej,2157,2127,600+5,B07,Pirc Defense,39,Resign,1-0,1,True,True,https://lichess.org/FlILWEsz
4,2021.06.23,11:12:16,grooney,Romm008,2149,2026,600+5,C02,"French Defense: Advance Variation, Paulsen Attack",42,Time forfeit,1-0,1,True,True,https://lichess.org/UIJKaNuz
5,2021.06.21,21:38:50,grooney,KnightSpirit,2146,2187,600+5,C61,Ruy Lopez: Bird Variation,6,Resign,0-1,0,False,True,https://lichess.org/InunPRhr
6,2021.06.20,22:13:25,grooney,pjbrooks13,2132,2182,600+5,B22,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line",27,Resign,1-0,1,True,True,https://lichess.org/xtDj9ykx
7,2021.06.17,20:01:29,grooney,Nyalation12,2131,2146,600+5,B22,"Sicilian Defense: Alapin Variation, Barmen Defense",71,Resign,1/2-1/2,0.5,True,True,https://lichess.org/fXte9mZg
8,2021.06.15,21:10:50,grooney,HAHC,2096,2055,600+5,B18,"Caro-Kann Defense: Classical Variation, Main Line",69,Checkmate,1-0,1,True,True,https://lichess.org/esS8iYRY
9,2021.06.14,21:26:44,grooney,bkkuiper,2074,1932,600+5,B22,"Sicilian Defense: Alapin Variation, Barmen Defense",21,Checkmate,1-0,1,True,True,https://lichess.org/6zMtwE0I
10,2021.06.14,07:43:30,grooney,Vladimir_1949,2049,2062,600+5,B15,Caro-Kann Defense,13,Checkmate,1-0,1,True,True,https://lichess.org/TFyDxvOv
