game id,move number,white,white time,white eval,black,black time,black eval
1,1,e4,0:10:00,0.24,c5,0:10:00,0.32
1,2,c3,0:10:02,0.0,d6,0:10:04,0.48
1,3,d4,0:10:04,0.79,cxd4,0:10:08,0.29
1,4,cxd4,0:10:09,0.54,e6,0:10:11,0.98
1,5,Nc3,0:10:09,1.16,Nf6,0:10:12,0.83
1,6,f4,0:09:53,0.69,Nc6,0:09:57,0.53
1,7,Nf3,0:09:04,0.41,Be7,0:09:56,0.86
1,8,Bd3,0:08:37,1.2,O-O,0:09:52,1.48
1,9,a3,0:08:29,0.51,a6,0:09:08,1.02
1,10,O-O,0:08:00,1.3,Qc7,0:09:07,1.95
1,11,e5,0:06:51,1.85,dxe5,0:09:06,2.46
1,12,fxe5,0:06:53,2.58,Nd5,0:08:38,2.54
1,13,Ng5,0:06:18,0.46,h6,0:07:39,4.86
1,14,Qh5,0:05:31,0.94,Bxg5,0:07:09,0.74
1,15,Bxg5,0:05:33,0.5,Nxe5,0:06:41,6.65
1,16,Nxd5,0:04:30,6.7,exd5,0:06:44,6.72
1,17,Rac1,0:04:29,-3.01,Qb6,0:06:32,-2.62
1,18,Rc5,0:03:08,-7.38,Nxd3,0:06:17,-7.46
1,19,Rxd5,0:03:12,-10.23,Be6,0:06:09,-8.3
1,20,Bxh6,0:02:49,-9.26,Bxd5,0:06:04,-9.23
1,21,Bxg7,0:02:31,-9.3,Kxg7,0:06:00,-9.35
1,22,Qxd5,0:02:08,-9.29,Rad8,0:05:49,-9.36
1,23,Qg5+,0:02:01,-9.38,Qg6,0:05:51,-9.31
2,1,e4,0:10:00,0.24,c5,0:10:00,0.32
2,2,c3,0:10:03,0.0,d5,0:10:02,0.16
2,3,exd5,0:10:07,0.01,Nf6,0:09:58,0.77
2,4,d4,0:10:06,0.05,Qxd5,0:08:45,0.0
2,5,Nf3,0:10:06,0.0,e6,0:07:55,0.19
2,6,Be2,0:09:57,-0.05,Bd7,0:07:08,0.51
2,7,O-O,0:09:48,0.48,Bc6,0:06:51,0.95
2,8,Re1,0:08:07,0.48,c4,0:04:46,2.67
2,9,Nbd2,0:07:36,2.36,b5,0:04:47,2.52
2,10,a4,0:07:38,2.43,a6,0:04:30,2.36
2,11,Nf1,0:07:02,2.44,Bb7,0:02:33,3.75
2,12,Ne3,0:05:36,3.38,Qc6,0:02:12,3.94
2,13,Bf1,0:05:25,1.54,Nbd7,0:01:58,2.87
2,14,d5,0:05:22,0.45,Nxd5,0:02:01,0.14
2,15,Nd4,0:04:47,0.83,Nxe3,0:01:55,0.84
2,16,Bxe3,0:04:04,0.3,Qd5,0:01:43,0.55
2,17,Qg4,0:03:17,0.16,Nf6,0:01:37,0.0
2,18,Qg3,0:03:07,-0.12,Bd6,0:00:41,-0.14
2,19,Bf4,0:02:07,-4.32,Bxf4,0:00:16,-0.69
2,20,Qxf4,0:02:08,-0.87,O-O,0:00:20,-0.9
2,21,Re5,0:02:00,-3.44,Qd6,0:00:11,-3.26
2,22,Qg5,0:00:26,-5.46,bxa4,0:00:07,-1.73
2,23,Bxc4,0:00:09,-3.86,Ne4,0:00:06,-1.94
2,24,Qh5,0:00:08,-7.24,Nf6,0:00:07,-0.69
2,25,Qg5,0:00:11,-4.14,Ne4,0:00:09,-2.02
2,26,Qh5,0:00:10,-7.15,Nd2,0:00:12,-0.78
2,27,Qe2,0:00:13,-6.43,Nxc4,0:00:15,-6.53
2,28,Rg5,0:00:08,-6.92,Nb6,0:00:15,-6.25
2,29,Rg3,0:00:10,-6.69,Nd7,0:00:17,-6.39
2,30,Qg4,0:00:13,-6.63,g6,0:00:19,-6.39
2,31,Rd1,0:00:15,-6.85,Qe7,0:00:15,-6.39
2,32,h4,0:00:17,-6.69,Nf6,0:00:16,-6.61
2,33,Qg5,0:00:19,-6.92,Nd5,0:00:16,-5.92
2,34,Qg4,0:00:21,-6.56,Nf6,0:00:12,-6.78
2,35,Qg5,0:00:25,-6.9,Nd5,0:00:14,-6.0
2,36,Qg4,0:00:29,-6.5,f5,0:00:13,-6.39
2,37,Qe2,0:00:21,-7.3,e5,0:00:13,-7.34
2,38,Nf3,0:00:14,-7.68,e4,0:00:11,-7.38
2,39,Nd4,0:00:17,-7.75,Nf4,0:00:11,-7.83
2,40,Qe3,0:00:17,-8.36,Qc7,0:00:10,-7.76
2,41,h5,0:00:17,-8.46,Rf6,0:00:11,-6.73
2,42,Ra1,0:00:12,-8.38,Kg7,0:00:10,-7.18
2,43,Rxa4,0:00:15,-8.13,Re8,0:00:11,-6.85
2,44,h6+,0:00:18,-7.22,Kf7,0:00:14,-6.95
2,45,Nxf5,0:00:11,-9.54,gxf5,0:00:17,6.01
2,46,Rg7+,0:00:14,6.0,Ke6,0:00:12,5.94
2,47,Rxc7,0:00:18,5.94,Nd3,0:00:12,17.4
2,48,Rxb7,0:00:19,#7,,,
3,1,e4,0:10:00,0.24,d6,0:10:00,0.52
3,2,d4,0:10:02,0.21,Nf6,0:10:03,0.6
3,3,Nc3,0:10:03,0.52,Nbd7,0:10:07,0.6
3,4,Bc4,0:09:41,0.4,e5,0:09:47,0.69
3,5,dxe5,0:09:26,0.01,dxe5,0:09:48,0.37
3,6,Bg5,0:09:24,-0.48,Be7,0:09:50,-0.23
3,7,Nf3,0:09:27,-0.29,c6,0:09:51,0.0
3,8,O-O,0:09:18,-0.21,Qc7,0:09:54,-0.05
3,9,Re1,0:08:53,-0.13,b5,0:09:53,-0.19
3,10,Bb3,0:08:56,-0.1,a5,0:09:52,0.15
3,11,a3,0:08:57,-0.51,O-O,0:09:50,-0.32
3,12,Ne2,0:08:52,-1.24,Nc5,0:08:11,-0.74
3,13,Ng3,0:08:04,-0.64,Nxb3,0:06:45,-0.47
3,14,cxb3,0:08:09,-0.56,h6,0:06:37,-0.46
3,15,Bxf6,0:08:03,-0.5,Bxf6,0:06:40,-0.39
3,16,Rc1,0:08:07,-0.39,g6,0:06:12,-0.3
3,17,Qd3,0:07:24,-0.45,Rb8,0:05:17,-0.45
3,18,Rc2,0:07:01,-0.56,Rd8,0:04:38,-0.42
3,19,Qe3,0:06:40,-0.6,Kg7,0:04:10,-0.35
3,20,Rec1,0:06:37,-0.59,Bb7,0:03:50,-0.02
3,21,Qc5,0:05:58,-0.64,Ba8,0:03:41,-0.27
3,22,h3,0:05:47,-0.31,Qb6,0:02:24,-0.14
3,23,Qc3,0:05:18,-0.37,Re8,0:02:11,0.25
3,24,Nf1,0:04:35,0.14,Rbc8,0:01:56,0.4
3,25,Ne3,0:04:33,-0.8,Bb7,0:00:59,1.76
3,26,Ng4,0:04:33,2.0,Qc7,0:00:45,3.32
3,27,Qe3,0:04:06,3.68,g5,0:00:41,6.3
3,28,Rc5,0:04:00,4.05,Ba6,0:00:38,7.0
3,29,Qc3,0:03:56,3.94,Qb6,0:00:30,9.13
3,30,Nxf6,0:03:51,8.89,Kxf6,0:00:33,9.46
3,31,Nxe5,0:03:40,9.6,Rxe5,0:00:29,9.61
3,32,Qxe5+,0:03:42,9.7,Kg6,0:00:33,9.53
3,33,Qf5+,0:03:37,9.61,Kg7,0:00:37,9.47
3,34,h4,0:02:58,8.75,Qd8,0:00:25,9.15
3,35,hxg5,0:02:55,8.22,hxg5,0:00:26,9.05
3,36,e5,0:02:05,7.92,Qe7,0:00:09,8.28
3,37,Qf6+,0:02:06,6.57,Qxf6,0:00:11,6.91
3,38,exf6+,0:02:11,6.83,Kxf6,0:00:15,9.16
3,39,Rxc6+,0:02:14,9.14,,,
4,1,e4,0:10:00,0.24,c5,0:10:00,0.32
4,2,c3,0:10:03,0.0,Nc6,0:10:04,0.0
4,3,d4,0:10:07,0.0,d5,0:10:01,0.24
4,4,e5,0:10:09,-0.01,e6,0:10:05,0.0
4,5,Nf3,0:10:11,0.13,c4,0:09:47,0.93
4,6,Be2,0:10:03,0.82,Nge7,0:09:44,0.88
4,7,Bg5,0:09:34,0.49,Bd7,0:09:44,0.88
4,8,Na3,0:09:12,0.88,a6,0:09:46,0.97
4,9,Nc2,0:09:00,0.96,Qc7,0:09:31,1.08
4,10,Ne3,0:08:47,0.3,Ng6,0:09:11,0.27
4,11,Nh4,0:08:12,-0.66,Be7,0:09:01,0.71
4,12,Nxg6,0:07:28,0.54,hxg6,0:08:54,0.62
