id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
1,2021.08.09,16:41:23,ajith_m,tymekkk,1585,1616,180+2,C00,French Defense: Knight Variation 2...d5,40,-,0-1,1,False,True,Chess.com
2,2021.07.01,11:35:47,iFoxz17,tymekkk,1606,1643,180+2,C13,French Defense: Classical Variation 4.Bg5 Be7,35,-,1-0,0,False,True,Chess.com
3,2021.07.01,12:24:02,Jacovos,tymekkk,1552,1633,180+2,C00,French Defense: Knight Variation 2...d5,7,-,1-0,0,False,True,Chess.com
4,2021.07.01,18:11:58,garlll,tymekkk,1680,1626,180+2,A00,Saragossa Opening:,34,-,1-0,0,False,True,Chess.com
5,2021.06.03,15:13:21,ClashRoyale001,tymekkk,1649,1713,180+2,A17,English Opening: Anglo Indian Hedgehog System 3.Nf3,60,-,0-1,1,False,True,Chess.com
6,2021.06.04,15:57:57,Bonaparte24,tymekkk,1666,1695,180+2,C00,French Defense: Knight Variation 2...d5,45,-,1-0,0,False,True,Chess.com
7,2021.06.09,18:56:51,Ficr,tymekkk,1656,1684,180+2,A15,English Opening: Anglo Indian Kings Knight Variation,52,-,0-1,1,False,True,Chess.com
8,2021.06.13,12:59:38,Jagielo1,tymekkk,1674,1675,180+2,A15,English Opening: Anglo Indian Defense 2.g3,36,-,1-0,0,False,True,Chess.com
9,2021.06.18,15:35:44,DutchNajdorf,tymekkk,1756,1685,180+2,C00,French Defense: Knight Variation 2...d5,4,-,0-1,1,False,True,Chess.com
10,2021.06.18,15:36:40,MatadorMortal,tymekkk,1706,1694,180+2,C10,French Defense: Normal Variation 2...d5 3.Nc3,77,-,0-1,1,False,True,Chess.com
11,2021.06.22,12:13:32,555kraft,tymekkk,1687,1677,180+2,A00,Kadas Opening: 1...d5,24,-,1-0,0,False,True,Chess.com
12,2021.06.23,13:15:46,Ninad_P,tymekkk,1753,1671,180+2,C05,French Defense: Tarrasch Closed Pawn Center Variation...6.c3 Nc6 7.Ndf3 cxd4,26,-,1-0,0,False,True,Chess.com
13,2021.06.27,21:53:19,Tao1248,tymekkk,1695,1689,180+2,C11,French Defense: Classical Steinitz Variation 4...Nfd7,45,-,0-1,1,False,True,Chess.com
14,2021.06.28,10:13:47,gunnarleven,tymekkk,1684,1677,180+2,C00,French Defense: Knight Variation 2...d5,54,-,1-0,0,False,True,Chess.com
15,2021.06.28,11:38:49,sugan06112000,tymekkk,1627,1668,180+2,C01,French Defense: Exchange Variation...4.Bd3 Bd6 5.Nf3 Nf6,20,-,1-0,0,False,True,Chess.com
16,2021.06.28,14:40:43,shaisaadia,tymekkk,1679,1660,180+2,C01,French Defense: Exchange Svenonius Variation,35,-,1-0,0,False,True,Chess.com
17,2021.06.28,19:59:32,edchessmith53,tymekkk,1533,1635,180+2,C00,French Defense: La Bourdonnais Variation 2...d5,31,-,1-0,0,False,True,Chess.com
18,2021.05.03,18:32:22,akaua777,tymekkk,1758,1688,180+2,D02,Queens Pawn: Opening Symmetrical Variation,17,-,1-0,0,False,True,Chess.com
19,2021.05.05,13:50:06,TheGolis,tymekkk,1756,1681,180+2,C00,French Defense: Knight Variation Two Knights Variation,32,-,1-0,0,False,True,Chess.com
20,2021.05.05,19:29:35,j_kalaf,tymekkk,1689,1672,180+2,C06,French Defense: Tarrasch Closed Main Line...10.O O Bd6 11.Nf3 O O,32,-,0-1,1,False,True,Chess.com
21,2021.05.05,19:37:02,falcon171,tymekkk,1749,1682,180+2,D02,Queens Pawn: Opening Symmetrical Variation,45,-,0-1,1,False,True,Chess.com
22,2021.05.05,19:54:20,kytango,tymekkk,1715,1691,180+2,C06,French Defense: Tarrasch Closed Main Line 8...f6 9.Nf4,40,-,0-1,1,False,True,Chess.com
23,2021.05.06,15:57:22,Kuznetsov77,tymekkk,1620,1683,180+2,C02,French Defense: Advance Paulsen Milner Barry Gambit,64,-,0-1,1,False,True,Chess.com
24,2021.05.06,16:07:55,miroljubtrpkovic,tymekkk,1710,1692,180+2,C01,French Defense: Exchange Variation...4.Bd3 Bd6 5.Nf3 Nf6,34,-,0-1,1,False,True,Chess.com
25,2021.05.06,17:41:09,danielmisrael,tymekkk,1663,1716,180+2,A45,Indian Game:,45,-,0-1,1,False,True,Chess.com
26,2021.05.06,17:59:53,atakov15,tymekkk,1798,1732,180+2,A08,Kings Indian: Attack French Reversed Grunfeld Variation,32,-,0-1,1,False,True,Chess.com
27,2021.05.06,18:08:51,grazhdanin23,tymekkk,1782,1725,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nf3 Bd6 5.c4,60,-,1-0,0,False,True,Chess.com
28,2021.05.06,19:00:31,gablo,tymekkk,1711,1716,180+2,C10,French Defense: Normal Variation 2...d5 3.Nc3,24,-,1-0,0,False,True,Chess.com
29,2021.05.07,13:13:52,bachthuthanlo,tymekkk,1650,1721,180+2,C00,French Defense:,42,-,0-1,1,False,True,Chess.com
30,2021.05.07,16:25:01,geomoro123,tymekkk,1724,1713,180+2,D02,Queens Pawn: Opening Zukertort Variation,44,-,1-0,0,False,True,Chess.com
31,2021.05.11,10:38:12,NikolayMikhaylov,tymekkk,1735,1699,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nf3 Nf6,50,-,1-0,0,False,True,Chess.com
32,2021.05.11,12:16:49,Stalin43,tymekkk,1739,1708,180+2,C02,French Defense: Advance Paulsen Milner Barry Gambit,75,-,0-1,1,False,True,Chess.com
33,2021.05.11,12:43:52,Tolits60,tymekkk,1681,1709,180+2,C11,French Defense: Classical Swiss Variation,29,-,0-1,1,False,True,Chess.com
34,2021.05.11,12:51:05,mbm0007,tymekkk,1678,1716,180+2,C00,French Defense: La Bourdonnais Variation 2...d5,30,-,0-1,1,False,True,Chess.com
35,2021.05.11,12:57:42,Fithking,tymekkk,1699,1724,180+2,D35,Queens Gambit: Declined Queens Knight Variation 3...Nf6,54,-,0-1,1,False,True,Chess.com
36,2021.05.11,13:15:42,PawntiffMaximus,tymekkk,1678,1715,180+2,D30,Queens Gambit: Declined 3.Nf3 Nf6,24,-,1-0,0,False,True,Chess.com
37,2021.05.11,17:13:29,dianacus3004,tymekkk,1795,1733,180+2,D02,Queens Pawn: Opening Symmetrical Variation,20,-,0-1,1,False,True,Chess.com
38,2021.05.11,17:24:44,hharutyunyan,tymekkk,1627,1725,180+2,A00,Kings Fianchetto: Opening Reversed Modern Defense,62,-,1-0,0,False,True,Chess.com
39,2021.05.11,17:36:28,moskalets,tymekkk,1864,1720,180+2,C00,French Defense: Kings Indian Attack 2...d5 3.Nd2 c5,59,-,1-0,0,False,True,Chess.com
40,2021.05.11,17:51:50,Karam1Eng,tymekkk,1354,1722,180+2,C02,French Defense: Advance Variation 3...c5,20,-,0-1,1,False,True,Chess.com
41,2021.05.11,18:17:52,macauba2,tymekkk,1845,1716,180+2,C14,French Defense: Main Line Steinitz Variation 7...a6 8.Nf3,64,-,1/2-1/2,0.5,False,True,Chess.com
42,2021.05.11,18:27:39,Messiechess,tymekkk,1694,1724,180+2,C11,French Defense: Classical Steinitz Variation 4...Nfd7 5.Nf3 c5,35,-,0-1,1,False,True,Chess.com
43,2021.05.12,14:45:32,amob61,tymekkk,1793,1694,180+2,D30,Queens Gambit: Declined 3.Nf3 Nf6,38,-,1-0,0,False,True,Chess.com
44,2021.05.12,16:36:15,StrongUser,tymekkk,1637,1685,180+2,C05,French Defense: Tarrasch Closed...6.c3 Nc6 7.Ngf3 Qb6 8.O O,27,-,1-0,0,False,True,Chess.com
45,2021.05.13,08:17:38,piyusharora22,tymekkk,1628,1692,180+2,C00,French Defense:,62,-,0-1,1,False,True,Chess.com
46,2021.05.13,08:35:42,Tirsdag,tymekkk,1752,1694,180+2,C11,French Defense: Classical Steinitz Boleslavsky Variation 7...cxd4 8.Nxd4,29,-,1-0,0,False,True,Chess.com
47,2021.05.13,08:43:05,sport55555,tymekkk,1854,1697,180+2,C00,French Defense: Knight Variation 2...d5,32,-,1/2-1/2,0.5,False,True,Chess.com
48,2021.05.13,13:37:35,grsmca,tymekkk,1626,1707,180+2,D02,Queens Pawn: Opening Symmetrical Variation,41,-,0-1,1,False,True,Chess.com
49,2021.05.13,14:38:16,tacticsrock,tymekkk,1770,1718,180+2,C05,French Defense: Tarrasch Closed,35,-,0-1,1,False,True,Chess.com
50,2021.05.13,14:56:45,Aung1998,tymekkk,1704,1717,180+2,C11,French Defense: Classical Steinitz Variation 4...Nfd7,37,-,1-0,0,False,True,Chess.com
51,2021.05.13,18:28:00,castrob_603,tymekkk,1637,1723,180+2,A10,English Opening: Great Snake Variation 2.Nc3 Bg7,37,-,0-1,1,False,True,Chess.com
52,2021.05.13,18:36:14,asg04,tymekkk,1828,1717,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Bd3 Bd6,38,-,1-0,0,False,True,Chess.com
53,2021.05.14,18:34:50,markmbain,tymekkk,1743,1693,180+2,C02,French Defense: Advance Paulsen Attack 5...Qb6 6.Be2,36,-,1-0,0,False,True,Chess.com
54,2021.05.15,13:00:50,harshbond77,tymekkk,1653,1700,180+2,C00,French Defense: Knight Variation 2...d5,36,-,0-1,1,False,True,Chess.com
55,2021.05.16,08:32:21,rml88,tymekkk,1753,1714,180+2,C02,French Defense: Advance Paulsen Attack 5...Qb6 6.Be2,37,-,0-1,1,False,True,Chess.com
56,2021.05.16,08:40:53,jesusqa,tymekkk,1724,1706,180+2,C11,French Defense: Classical Steinitz Variation 4...Nfd7,21,-,1-0,0,False,True,Chess.com
57,2021.05.17,20:45:33,vaincoeur,tymekkk,1693,1729,180+2,C00,French Defense: Chigorin Variation,45,-,0-1,1,False,True,Chess.com
58,2021.05.20,18:37:24,fog5555,tymekkk,1695,1720,180+2,C00,French Defense: Reti Spielmann Attack,46,-,1-0,0,False,True,Chess.com
59,2021.05.20,18:47:23,angar69,tymekkk,1650,1710,180+2,C00,French Defense: Knight Variation 2...d5,36,-,1-0,0,False,True,Chess.com
60,2021.05.22,17:06:20,inferno_kpi,tymekkk,1661,1716,180+2,E71,Kings Indian: Defense Makogonov Variation 5...O O,82,-,1/2-1/2,0.5,False,True,Chess.com
61,2021.05.23,10:16:55,LazyCat81,tymekkk,1740,1710,180+2,D35,Queens Gambit: Declined Queens Knight Variation 3...Nf6,63,-,1-0,0,False,True,Chess.com
62,2021.05.24,15:24:34,mra1363,tymekkk,1735,1697,180+2,C00,French Defense: Knight Variation 2...d5,60,-,1-0,0,False,True,Chess.com
63,2021.05.24,18:00:35,brasan65,tymekkk,1723,1696,180+2,C01,French Defense: Exchange Variation...4.Bd3 Bd6 5.Nf3 Nf6,14,-,1-0,0,False,True,Chess.com
64,2021.05.24,19:29:07,The_Young_One,tymekkk,1846,1691,180+2,C14,French Defense: Main Line Steinitz Variation,45,-,1-0,0,False,True,Chess.com
65,2021.05.29,19:22:44,vladislavKramarev1,tymekkk,1628,1706,180+2,C00,French Defense: Knight Variation 2...d5,32,-,0-1,1,False,True,Chess.com
66,2021.05.29,19:37:12,vazavaza,tymekkk,1599,1712,180+2,C00,French Defense: Knight Variation 2...d5,34,-,0-1,1,False,True,Chess.com
67,2021.05.30,18:02:05,angelchercoles,tymekkk,1810,1706,180+2,A45,Trompowsky Attack: Classical Big Center Variation,29,-,1-0,0,False,True,Chess.com
68,2021.04.02,08:24:46,Haddock16,tymekkk,2048,1586,180+2,C13,French Defense: Main Line Alekhine Chatard Attack,19,-,1-0,0,False,True,Chess.com
69,2021.04.07,18:08:37,lifer467,tymekkk,1538,1582,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Bd3 Bd6 5.Nf3,36,-,0-1,1,False,True,Chess.com
70,2021.04.09,10:23:19,Kolaev_Evgeny,tymekkk,1701,1605,180+2,C00,French Defense: La Bourdonnais Variation 2...d5,34,-,0-1,1,False,True,Chess.com
71,2021.04.09,10:49:49,matias458,tymekkk,1575,1615,180+2,C00,French Defense: Knight Variation 2...d5,28,-,0-1,1,False,True,Chess.com
72,2021.04.09,10:54:55,fraukenstein,tymekkk,1583,1622,180+2,D35,Queens Gambit: Declined Queens Knight Variation 3...Nf6,43,-,0-1,1,False,True,Chess.com
73,2021.04.09,11:04:36,freddie_forest,tymekkk,1621,1614,180+2,C00,French Defense: Kings Indian Attack 2...d5 3.Nd2 Nf6 4.Ngf3,22,-,1-0,0,False,True,Chess.com
74,2021.04.09,17:50:37,spencerhahn22,tymekkk,1597,1612,180+2,A45,Indian Game:,62,-,1-0,0,False,True,Chess.com
75,2021.04.10,13:41:01,Zh0000pa,tymekkk,1636,1635,180+2,D02,Queens Pawn: Opening Symmetrical Variation,63,-,0-1,1,False,True,Chess.com
76,2021.04.10,13:56:07,kblimbu1234y,tymekkk,1639,1627,180+2,D35,Queens Gambit: Declined Queens Knight Variation 3...Nf6,29,-,1-0,0,False,True,Chess.com
77,2021.04.10,15:25:06,kayamenang-INA,tymekkk,1556,1624,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nc3 Nf6 5.Nf3,36,-,0-1,1,False,True,Chess.com
78,2021.04.10,15:43:58,WhisperFromTheAbyss,tymekkk,1640,1633,180+2,C05,French Defense: Tarrasch Closed,59,-,0-1,1,False,True,Chess.com
79,2021.04.10,15:53:31,vikrant23,tymekkk,1658,1625,180+2,D30,Queens Gambit: Declined 3.Nf3 Nf6,26,-,1-0,0,False,True,Chess.com
