"","Profile.Name","Start.Time","Duration","Attributes","Title","Supplemental.Video.Type","Device.Type","Bookmark","Latest.Bookmark","Country"
"1","Wojtek","2021-12-23 21:01:27","01:06:37","","The Hater","","Chrome PC (Cadmium)","02:08:42","02:08:42","PL (Poland)"
"2","Wojtek","2021-12-23 21:00:53","00:00:17","","The Campaign","","Chrome PC (Cadmium)","00:56:50","00:56:50","PL (Poland)"
"3","Wojtek","2021-12-23 21:00:22","00:00:13","Autoplayed: user action: None; ","Elite: Season 1 (Trailer)","TRAILER","Chrome PC (Cadmium)","00:00:13","00:00:13","PL (Poland)"
"4","Wojtek","2021-12-23 20:59:25","00:00:14","Autoplayed: user action: None; ","Elite: Season 1 (Trailer)","TRAILER","Chrome PC (Cadmium)","00:00:14","Not latest view","PL (Poland)"
"5","Wojtek","2021-12-23 19:22:59","00:58:50","","The Witcher: Season 1: The End’s Beginning (Episode 1)","","Netflix Opera Other","00:58:50","00:58:50","PL (Poland)"
"6","Wojtek","2021-12-23 19:20:58","00:00:01","","The Witcher: Season 1: Four Marks (Episode 2)","","Netflix Opera Other","00:00:07","00:00:07","PL (Poland)"
"7","Wojtek","2021-12-23 19:20:48","00:00:05","Autoplayed: user action: None; ","Season 1 Trailer 3: The Witcher","TRAILER","Netflix Opera Other","00:00:05","00:00:05","PL (Poland)"
"8","Wojtek","2021-12-20 16:47:06","00:20:07","","Bad Sport: Volume 1: Need for Weed (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:20:40","00:20:40","PL (Poland)"
"9","Wojtek","2021-12-18 20:32:11","01:07:56","","Bad Sport: Volume 1: Hoop Schemes (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","01:07:56","01:07:56","PL (Poland)"
"10","Wojtek","2021-12-18 20:31:38","00:00:09","","The Witcher: Season 1: Four Marks (Episode 2)","","Netflix Windows App - Cadmium Windows Mobile","00:00:06","Not latest view","PL (Poland)"
"11","Wojtek","2021-12-18 20:31:31","00:00:04","","The Witcher: Season 1: Betrayer Moon (Episode 3)","","Netflix Windows App - Cadmium Windows Mobile","00:00:04","00:00:04","PL (Poland)"
"12","Wojtek","2021-12-18 20:31:11","00:00:15","Autoplayed: user action: None; ","Season 2 Plot Clip: The Witcher","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:15","00:00:15","PL (Poland)"
"13","Wojtek","2021-12-18 20:24:16","00:00:04","Autoplayed: user action: None; ","Intense Emotion Clip: Bad Sport: Volume 1","HOOK","Netflix Opera Other","00:00:04","00:00:04","PL (Poland)"
"14","Wojtek","2021-12-18 12:45:35","00:05:47","","Modern Family: Season 4: The Future Dunphys (Episode 19)","","Netflix Windows App - Cadmium Windows Mobile","00:06:02","00:06:02","PL (Poland)"
"15","Wojtek","2021-12-12 21:45:49","01:11:09","","Money Heist: Part 5: A Family Tradition (Episode 10)","","Netflix Windows App - Cadmium Windows Mobile","01:15:54","01:15:54","PL (Poland)"
"16","Wojtek","2021-12-12 21:22:25","00:23:19","","Money Heist: Part 5: Pillow Talk (Episode 9)","","Netflix Windows App - Cadmium Windows Mobile","00:48:46","00:48:46","PL (Poland)"
"17","Wojtek","2021-12-12 20:56:44","00:25:29","","Money Heist: Part 5: Pillow Talk (Episode 9)","","Netflix Windows App - Cadmium Windows Mobile","00:25:29","Not latest view","PL (Poland)"
"18","Wojtek","2021-12-12 20:08:51","00:46:13","","Money Heist: Part 5: The Elegance Theory (Episode 8)","","Netflix Windows App - Cadmium Windows Mobile","00:46:34","00:46:34","PL (Poland)"
"19","Wojtek","2021-12-12 19:48:48","00:19:34","","Money Heist: Part 5: Wishful Thinking (Episode 7)","","Netflix Windows App - Cadmium Windows Mobile","00:50:43","00:50:43","PL (Poland)"
"20","Wojtek","2021-12-12 19:48:32","00:00:12","Autoplayed: user action: None; ","Pourris gâtés_hook_primary_16x9","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:12","00:00:12","PL (Poland)"
"21","Wojtek","2021-12-11 19:33:54","00:00:07","Autoplayed: user action: None; ","Character Introduction Clip: 14 Peaks: Nothing is Impossible","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:07","00:00:07","PL (Poland)"
"22","Wojtek","2021-12-11 18:33:01","00:30:45","","Money Heist: Part 5: Wishful Thinking (Episode 7)","","Netflix Windows App - Cadmium Windows Mobile","00:30:34","Not latest view","PL (Poland)"
"23","Wojtek","2021-12-09 15:21:58","00:23:32","","Fifty Shades of Grey","","Netflix Windows App - Cadmium Windows Mobile","01:43:30","01:43:30","PL (Poland)"
"24","Wojtek","2021-12-09 15:10:26","00:05:42","","BONDING: Season 2: The Kinks (Episode 1)","","Netflix Windows App - Cadmium Windows Mobile","00:16:42","00:16:42","PL (Poland)"
"25","Wojtek","2021-12-09 15:05:04","00:05:07","","BONDING: Season 1: Into the Woods (Episode 7)","","Netflix Windows App - Cadmium Windows Mobile","00:12:40","00:12:40","PL (Poland)"
"26","Wojtek","2021-12-09 14:58:49","00:06:07","","BONDING: Season 1: Penguins (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:13:05","00:13:05","PL (Poland)"
"27","Wojtek","2021-12-09 14:57:17","00:01:09","Autoplayed: user action: None; ","Cliffhanger Clip: Donde caben dos","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:00","00:00:00","PL (Poland)"
"28","Wojtek","2021-12-09 14:17:03","00:40:11","","Money Heist: Part 5: Escape Valve (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:50:35","00:50:35","PL (Poland)"
"29","Wojtek","2021-12-09 14:16:50","00:00:06","Autoplayed: user action: None; ","Cliffhanger Clip: Donde caben dos","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:06","Not latest view","PL (Poland)"
"30","Wojtek","2021-12-08 12:08:46","00:09:39","","Money Heist: Part 5: Escape Valve (Episode 6)","","Netflix Windows App - Cadmium Windows Mobile","00:10:31","Not latest view","PL (Poland)"
"31","Wojtek","2021-11-27 22:04:32","00:11:03","","Christmas Flow: Season 1: Episode 1","","Netflix Windows App - Cadmium Windows Mobile","00:11:03","00:11:03","PL (Poland)"
"32","Wojtek","2021-11-27 20:13:07","00:00:27","Autoplayed: user action: None; ","Comedy Clip 5: Michael Che: Shame the Devil","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:27","00:00:27","PL (Poland)"
"33","Wojtek","2021-11-27 19:39:10","00:03:53","","The Hater","","Netflix Windows App - Cadmium Windows Mobile","00:58:49","Not latest view","PL (Poland)"
"34","Wojtek","2021-11-27 19:39:02","00:00:04","Autoplayed: user action: None; ","Comedy Clip 5: Michael Che: Shame the Devil","HOOK","Netflix Windows App - Cadmium Windows Mobile","00:00:04","Not latest view","PL (Poland)"
"35","Wojtek","2021-11-25 21:49:53","00:11:34","","The Hater","","Netflix Windows App - Cadmium Windows Mobile","00:54:58","Not latest view","PL (Poland)"
