"master_metadata_album_artist_name","master_metadata_track_name","master_metadata_album_album_name","spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"Kid Cudi","Elsie's Baby Boy (flashback)","Man On The Moon III: The Chosen","spotify:track:6jiwr6xTHqjdun5d3cEwXV","hip hop, ohio hip hop, pop rap, rap",0.615,0.663,2,-7.812,0,0.0384,0.208,0.377,0.366,0.128,95.158,"audio_features","6jiwr6xTHqjdun5d3cEwXV","spotify:track:6jiwr6xTHqjdun5d3cEwXV","https://api.spotify.com/v1/tracks/6jiwr6xTHqjdun5d3cEwXV","https://api.spotify.com/v1/audio-analysis/6jiwr6xTHqjdun5d3cEwXV",219213,3
"Playboi Carti","Stop Breathing","Whole Lotta Red","spotify:track:2lLG56qpLP3UbcLuzMvkWX","atl hip hop, plugg, rap, trap",0.856,0.57,9,-4.486,1,0.286,0.00637,0,0.0984,0.155,154.967,"audio_features","2lLG56qpLP3UbcLuzMvkWX","spotify:track:2lLG56qpLP3UbcLuzMvkWX","https://api.spotify.com/v1/tracks/2lLG56qpLP3UbcLuzMvkWX","https://api.spotify.com/v1/audio-analysis/2lLG56qpLP3UbcLuzMvkWX",218943,4
"Playboi Carti","King Vamp","Whole Lotta Red","spotify:track:2iqHcRoOfLl1fXCf1bGO0J","atl hip hop, plugg, rap, trap",0.691,0.756,8,-5.638,0,0.352,0.0117,0,0.257,0.396,144.188,"audio_features","2iqHcRoOfLl1fXCf1bGO0J","spotify:track:2iqHcRoOfLl1fXCf1bGO0J","https://api.spotify.com/v1/tracks/2iqHcRoOfLl1fXCf1bGO0J","https://api.spotify.com/v1/audio-analysis/2iqHcRoOfLl1fXCf1bGO0J",186776,4
"Playboi Carti","Beno!","Whole Lotta Red","spotify:track:4CYTQpr2jc4uBScYvpEK2w","atl hip hop, plugg, rap, trap",0.923,0.562,1,-7.357,1,0.304,0.0213,0,0.0726,0.499,144.067,"audio_features","4CYTQpr2jc4uBScYvpEK2w","spotify:track:4CYTQpr2jc4uBScYvpEK2w","https://api.spotify.com/v1/tracks/4CYTQpr2jc4uBScYvpEK2w","https://api.spotify.com/v1/audio-analysis/4CYTQpr2jc4uBScYvpEK2w",153333,4
"Playboi Carti","Sky","Whole Lotta Red","spotify:track:29TPjc8wxfz4XMn21O7VsZ","atl hip hop, plugg, rap, trap",0.785,0.903,2,-4.184,1,0.21,0.258,0,0.169,0.565,139.98,"audio_features","29TPjc8wxfz4XMn21O7VsZ","spotify:track:29TPjc8wxfz4XMn21O7VsZ","https://api.spotify.com/v1/tracks/29TPjc8wxfz4XMn21O7VsZ","https://api.spotify.com/v1/audio-analysis/29TPjc8wxfz4XMn21O7VsZ",193234,4
"Playboi Carti","No Sl33p","Whole Lotta Red","spotify:track:6i6whmV36EJmxs5zFahMrb","atl hip hop, plugg, rap, trap",0.719,0.852,0,-5.232,1,0.149,0.024,0,0.123,0.432,151.867,"audio_features","6i6whmV36EJmxs5zFahMrb","spotify:track:6i6whmV36EJmxs5zFahMrb","https://api.spotify.com/v1/tracks/6i6whmV36EJmxs5zFahMrb","https://api.spotify.com/v1/audio-analysis/6i6whmV36EJmxs5zFahMrb",88547,4
"Playboi Carti","On That Time","Whole Lotta Red","spotify:track:3dl8bSF08LQfCf4T6CCksf","atl hip hop, plugg, rap, trap",0.598,0.476,0,-3.673,1,0.0333,0.00584,0,0.265,0.0545,150.078,"audio_features","3dl8bSF08LQfCf4T6CCksf","spotify:track:3dl8bSF08LQfCf4T6CCksf","https://api.spotify.com/v1/tracks/3dl8bSF08LQfCf4T6CCksf","https://api.spotify.com/v1/audio-analysis/3dl8bSF08LQfCf4T6CCksf",102422,4
"Playboi Carti","ILoveUIHateU","Whole Lotta Red","spotify:track:1BpKJw4RZxaFB88NE5uxXf","atl hip hop, plugg, rap, trap",0.684,0.693,4,-6.651,0,0.0339,0.00534,0,0.506,0.108,134.988,"audio_features","1BpKJw4RZxaFB88NE5uxXf","spotify:track:1BpKJw4RZxaFB88NE5uxXf","https://api.spotify.com/v1/tracks/1BpKJw4RZxaFB88NE5uxXf","https://api.spotify.com/v1/audio-analysis/1BpKJw4RZxaFB88NE5uxXf",135122,4
"Playboi Carti","Vamp Anthem","Whole Lotta Red","spotify:track:4CzhtKifG867Lu5DNQVBSA","atl hip hop, plugg, rap, trap",0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,"audio_features","4CzhtKifG867Lu5DNQVBSA","spotify:track:4CzhtKifG867Lu5DNQVBSA","https://api.spotify.com/v1/tracks/4CzhtKifG867Lu5DNQVBSA","https://api.spotify.com/v1/audio-analysis/4CzhtKifG867Lu5DNQVBSA",124094,4
"Playboi Carti","Die4Guy","Whole Lotta Red","spotify:track:7rbalRuIx7sIXFHYTphE0n","atl hip hop, plugg, rap, trap",0.759,0.67,1,-5.188,0,0.0589,0.00471,0,0.0889,0.418,148.938,"audio_features","7rbalRuIx7sIXFHYTphE0n","spotify:track:7rbalRuIx7sIXFHYTphE0n","https://api.spotify.com/v1/tracks/7rbalRuIx7sIXFHYTphE0n","https://api.spotify.com/v1/audio-analysis/7rbalRuIx7sIXFHYTphE0n",131248,4
