"spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"spotify:track:7LiNMM6UT9eHyDHbLlRfAk","europop, eurovision, swedish idol pop, swedish pop","0.602","0.707","6","-4.878","1","0.0306","0.0455","0","0.191","0.486","101.955","audio_features","7LiNMM6UT9eHyDHbLlRfAk","spotify:track:7LiNMM6UT9eHyDHbLlRfAk","https://api.spotify.com/v1/tracks/7LiNMM6UT9eHyDHbLlRfAk","https://api.spotify.com/v1/audio-analysis/7LiNMM6UT9eHyDHbLlRfAk","193387","4"
"spotify:track:5NfepJQoadJU2xUI9zrVtO","polish hip hop","0.324","0.233","3","-12.549","0","0.0398","0.931","0.00168","0.11","0.0645","177.433","audio_features","5NfepJQoadJU2xUI9zrVtO","spotify:track:5NfepJQoadJU2xUI9zrVtO","https://api.spotify.com/v1/tracks/5NfepJQoadJU2xUI9zrVtO","https://api.spotify.com/v1/audio-analysis/5NfepJQoadJU2xUI9zrVtO","376907","4"
"spotify:track:3dYD57lRAUcMHufyqn9GcI","irish singer-songwriter, pop","0.566","0.664","4","-5.303","0","0.0464","0.634","0","0.116","0.437","128.945","audio_features","3dYD57lRAUcMHufyqn9GcI","spotify:track:3dYD57lRAUcMHufyqn9GcI","https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI","https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI","241688","4"
"spotify:track:6lfg5PabZsH0WAMzllXWLK","","0.736","0.288","9","-10.813","1","0.0419","0.834","0.000133","0.302","0.484","111.977","audio_features","6lfg5PabZsH0WAMzllXWLK","spotify:track:6lfg5PabZsH0WAMzllXWLK","https://api.spotify.com/v1/tracks/6lfg5PabZsH0WAMzllXWLK","https://api.spotify.com/v1/audio-analysis/6lfg5PabZsH0WAMzllXWLK","225949","4"
"spotify:track:51LN5vMRTCftYP8wXRoRlO","instrumental acoustic guitar","0.459","0.347","5","-11.784","1","0.0484","0.918","0.938","0.15","0.784","131.495","audio_features","51LN5vMRTCftYP8wXRoRlO","spotify:track:51LN5vMRTCftYP8wXRoRlO","https://api.spotify.com/v1/tracks/51LN5vMRTCftYP8wXRoRlO","https://api.spotify.com/v1/audio-analysis/51LN5vMRTCftYP8wXRoRlO","108207","4"
"spotify:track:3huV7eiNpaQlCB3LbZi9bB","brighton indie, modern rock, rock","0.733","0.882","0","-4.199","0","0.0389","0.051","9.92e-06","0.131","0.854","123.071","audio_features","3huV7eiNpaQlCB3LbZi9bB","spotify:track:3huV7eiNpaQlCB3LbZi9bB","https://api.spotify.com/v1/tracks/3huV7eiNpaQlCB3LbZi9bB","https://api.spotify.com/v1/audio-analysis/3huV7eiNpaQlCB3LbZi9bB","221413","4"
"spotify:track:35imWpjSMACcdbhL9kARFX","instrumental acoustic guitar","0.6","0.396","4","-9.759","0","0.0429","0.891","0.89","0.11","0.713","134.695","audio_features","35imWpjSMACcdbhL9kARFX","spotify:track:35imWpjSMACcdbhL9kARFX","https://api.spotify.com/v1/tracks/35imWpjSMACcdbhL9kARFX","https://api.spotify.com/v1/audio-analysis/35imWpjSMACcdbhL9kARFX","105549","4"
"spotify:track:6QfS2wq5sSC1xAJCQsTSlj","art pop, dance pop, pop","0.575","0.33","7","-6.557","1","0.031","0.416","0","0.0872","0.277","95.801","audio_features","6QfS2wq5sSC1xAJCQsTSlj","spotify:track:6QfS2wq5sSC1xAJCQsTSlj","https://api.spotify.com/v1/tracks/6QfS2wq5sSC1xAJCQsTSlj","https://api.spotify.com/v1/audio-analysis/6QfS2wq5sSC1xAJCQsTSlj","217213","4"
"spotify:track:2rYPa5YSuCbxVIOo9yFFIA","instrumental acoustic guitar","0.557","0.454","2","-7.613","0","0.0994","0.881","0.889","0.0983","0.381","101.806","audio_features","2rYPa5YSuCbxVIOo9yFFIA","spotify:track:2rYPa5YSuCbxVIOo9yFFIA","https://api.spotify.com/v1/tracks/2rYPa5YSuCbxVIOo9yFFIA","https://api.spotify.com/v1/audio-analysis/2rYPa5YSuCbxVIOo9yFFIA","163814","4"
"spotify:track:2DHgvPQD1jApRnT1DBZdrS","permanent wave, pop","0.495","0.525","7","-9.342","0","0.0301","0.396","0.00736","0.0961","0.249","154.466","audio_features","2DHgvPQD1jApRnT1DBZdrS","spotify:track:2DHgvPQD1jApRnT1DBZdrS","https://api.spotify.com/v1/tracks/2DHgvPQD1jApRnT1DBZdrS","https://api.spotify.com/v1/audio-analysis/2DHgvPQD1jApRnT1DBZdrS","256467","4"
"spotify:track:3FtGknwwkw1zdIwhUiSIfS","instrumental acoustic guitar","0.45","0.254","7","-12.279","1","0.0522","0.854","0.848","0.0622","0.244","143.213","audio_features","3FtGknwwkw1zdIwhUiSIfS","spotify:track:3FtGknwwkw1zdIwhUiSIfS","https://api.spotify.com/v1/tracks/3FtGknwwkw1zdIwhUiSIfS","https://api.spotify.com/v1/audio-analysis/3FtGknwwkw1zdIwhUiSIfS","185976","3"
"spotify:track:5s6jooT9ZcUjjD5qVx9B5K","polish hip hop, polish trap","0.725","0.571","8","-7.642","1","0.128","0.478","0","0.112","0.267","140.047","audio_features","5s6jooT9ZcUjjD5qVx9B5K","spotify:track:5s6jooT9ZcUjjD5qVx9B5K","https://api.spotify.com/v1/tracks/5s6jooT9ZcUjjD5qVx9B5K","https://api.spotify.com/v1/audio-analysis/5s6jooT9ZcUjjD5qVx9B5K","270813","4"
"spotify:track:7KWIib9I0duij7SSCaQVaf","folk-pop, neo mellow, pop, pop rock","0.497","0.413","11","-11.122","0","0.0814","0.197","0.000127","0.0965","0.315","70.055","audio_features","7KWIib9I0duij7SSCaQVaf","spotify:track:7KWIib9I0duij7SSCaQVaf","https://api.spotify.com/v1/tracks/7KWIib9I0duij7SSCaQVaf","https://api.spotify.com/v1/audio-analysis/7KWIib9I0duij7SSCaQVaf","230217","4"
"spotify:track:3WbTjVp5PWZXn8tnuPj54d","polish hip hop, polish trap","0.81","0.654","2","-9.828","1","0.112","0.0416","0.000406","0.122","0.406","120.02","audio_features","3WbTjVp5PWZXn8tnuPj54d","spotify:track:3WbTjVp5PWZXn8tnuPj54d","https://api.spotify.com/v1/tracks/3WbTjVp5PWZXn8tnuPj54d","https://api.spotify.com/v1/audio-analysis/3WbTjVp5PWZXn8tnuPj54d","248133","4"
"spotify:track:5SPO91s5J85CAxHREvwj3b","polish alternative, polish pop","0.771","0.703","8","-6.299","0","0.0423","0.0628","0","0.0847","0.954","110.001","audio_features","5SPO91s5J85CAxHREvwj3b","spotify:track:5SPO91s5J85CAxHREvwj3b","https://api.spotify.com/v1/tracks/5SPO91s5J85CAxHREvwj3b","https://api.spotify.com/v1/audio-analysis/5SPO91s5J85CAxHREvwj3b","236013","4"
