,year,token,size
0,2016,abys,1
1,2016,acapelli,1
2,2016,acha,2
3,2016,aczkolwiek,8
4,2016,admin,1
5,2016,adnie,2
6,2016,adoratora,2
7,2016,adres,3
8,2016,aerodynamiczny,1
9,2016,agencji,1
10,2016,aikido,1
11,2016,aktorskie,1
12,2016,aktorstwie,1
13,2016,aktualce,2
14,2016,aktualizacji,1
15,2016,aktualki,2
16,2016,aktualna,1
17,2016,aktualnie,8
18,2016,aktywna,2
19,2016,aktywności,1
20,2016,akurat,9
21,2016,albo,42
22,2016,aleksandra,2
23,2016,aleś,1
24,2016,ależ,3
25,2016,alfa,2
26,2016,alicja,1
27,2016,alkohol,3
28,2016,alkohole,2
29,2016,alkoholi,1
30,2016,alkoholik,2
31,2016,alkoholu,1
32,2016,alołn,1
33,2016,alternatywa,2
34,2016,amyślałem,1
35,2016,angielski,4
36,2016,angielskiego,4
37,2016,angielskim,6
38,2016,angola,1
39,2016,ania,9
40,2016,anie,1
41,2016,anielskiego,1
42,2016,aniołkom,1
43,2016,anonim,1
44,2016,anonimowej,1
45,2016,apokalipsa,1
46,2016,apropo,2
47,2016,architektury,1
48,2016,arcyciekawy,1
49,2016,arenie,1
50,2016,areny,1
51,2016,argument,2
52,2016,arianie,2
53,2016,arkusz,4
54,2016,armaty,2
55,2016,artuję,2
56,2016,artykuły,2
57,2016,asari,1
58,2016,asia,2
59,2016,asią,1
60,2016,astronom,1
61,2016,ataku,1
62,2016,atmosfere,1
63,2016,atmosferze,5
64,2016,atrakcje,1
65,2016,atwe,1
66,2016,atwo,2
67,2016,aucb,1
68,2016,auta,1
69,2016,autobus,2
70,2016,autobusem,2
71,2016,autobusie,2
72,2016,autobusy,2
73,2016,automatycznie,2
74,2016,azerbejdżanu,3
75,2016,baaardzo,2
76,2016,babci,2
77,2016,bacciarelliego,2
78,2016,badz,7
79,2016,bagażnika,1
80,2016,bagnetem,2
81,2016,baksów,1
82,2016,bang,3
83,2016,bardzie,2
84,2016,bardziej,2
85,2016,bardzo,7
86,2016,basi,2
87,2016,basia,1
88,2016,batory,1
89,2016,bawilabys,1
90,2016,bawić,1
91,2016,bazie,3
92,2016,beda,1
93,2016,bede,7
94,2016,bedzie,3
95,2016,bedziemy,2
96,2016,bedziesz,20
97,2016,bedzuesz,1
98,2016,belwederu,2
99,2016,berrecci,1
100,2016,bestie,2
101,2016,beta,2
102,2016,bezlitośnie,1
103,2016,bezmozgow,2
104,2016,beznadziejna,3
105,2016,beznadziejne,2
106,2016,beznadziejny,2
107,2016,bezpieczniejsza,1
108,2016,bezpieczniejszy,1
109,2016,bezwzrokowo,1
110,2016,biali,2
111,2016,białego,1
112,2016,biały,1
113,2016,biblie,1
114,2016,bibliografii,1
115,2016,bicepsa,5
116,2016,bickiem,2
117,2016,bieber,1
118,2016,biedaczek,2
119,2016,biedak,1
120,2016,biedny,1
121,2016,biedronce,1
122,2016,biedy,7
123,2016,biegac,2
124,2016,biegalem,2
125,2016,biegam,1
126,2016,biegasz,2
127,2016,biegi,1
128,2016,biegną,2
129,2016,biegow,1
130,2016,biegu,1
131,2016,bierz,2
132,2016,bierzesz,2
133,2016,biezni,2
134,2016,bije,1
135,2016,bijąc,2
136,2016,bilard,2
137,2016,biletow,2
138,2016,bilety,2
139,2016,biologii,3
140,2016,biorą,1
141,2016,biorę,1
142,2016,bitte,2
143,2016,bitwa,1
144,2016,blad,3
145,2016,blanket,2
146,2016,blisko,3
147,2016,blizszych,2
148,2016,blokade,2
149,2016,blondynka,5
150,2016,blondynki,4
151,2016,blood,2
152,2016,bloodborne,18
153,2016,bloodbornea,2
154,2016,bloodbornie,2
155,2016,blotem,1
156,2016,bloto,2
157,2016,bodajze,1
158,2016,boeingiem,2
159,2016,bogaczu,1
160,2016,bogaty,1
161,2016,boje,2
162,2016,boju,2
163,2016,bolem,2
164,2016,bolka,1
165,2016,bolu,1
166,2016,bombowca,3
167,2016,borowicz,1
168,2016,boso,2
169,2016,bossa,4
170,2016,bozej,1
171,2016,brac,2
172,2016,braci,3
173,2016,bracia,1
174,2016,brak,3
175,2016,brakuje,4
176,2016,bralas,1
177,2016,brali,4
178,2016,bramą,2
179,2016,brat,5
180,2016,brata,7
181,2016,bratem,2
182,2016,bravo,2
183,2016,bravobravo,2
184,2016,brawo,11
185,2016,brazowoocy,1
186,2016,brał,1
187,2016,brodę,1
188,2016,broni,1
189,2016,broniąc,3
190,2016,brukseli,3
191,2016,brunetka,2
192,2016,brunetki,2
193,2016,brwią,2
194,2016,brzmi,11
195,2016,brzmialo,2
196,2016,brzoze,1
197,2016,brzucha,1
198,2016,budka,4
199,2016,budke,4
200,2016,budynek,2
201,2016,budynkow,2
202,2016,budzę,1
203,2016,buku,1
204,2016,buta,2
205,2016,butinu,1
206,2016,butow,1
207,2016,byla,2
208,2016,bylby,3
209,2016,byle,2
210,2016,byleby,2
211,2016,bylem,2
212,2016,byles,16
213,2016,byliscie,5
214,2016,bylo,5
215,2016,byloboly,1
216,2016,byloby,3
217,2016,bylyby,2
218,2016,bylym,1
219,2016,bysmy,3
220,2016,bywaj,1
221,2016,byłi,1
222,2016,było,1
223,2016,będzie,1
224,2016,będziemy,3
225,2016,będziesz,3
226,2016,będę,3
227,2016,błasik,3
228,2016,błogosławie,3
229,2016,błędów,1
230,2016,cala,3
231,2016,cale,8
232,2016,calego,2
233,2016,calej,2
234,2016,calkiem,21
235,2016,calosc,2
236,2016,caly,5
237,2016,calych,1
238,2016,canletta,2
239,2016,castiglione,1
240,2016,castil,1
241,2016,catil,1
242,2016,całe,2
243,2016,całkiem,3
244,2016,całus,1
245,2016,cały,4
246,2016,całą,7
247,2016,cechy,2
248,2016,cechę,2
249,2016,ceglofonem,1
250,2016,celowales,1
251,2016,celu,1
252,2016,celuj,2
253,2016,ceni,1
254,2016,ceny,2
255,2016,cesarstwie,1
256,2016,chalupach,1
257,2016,charakteru,1
258,2016,charakterystyki,1
259,2016,charakteryzuje,1
260,2016,charyzmę,1
261,2016,chat,2
262,2016,chata,2
263,2016,chce,48
264,2016,chcem,1
265,2016,chcemy,1
266,2016,chcesz,44
267,2016,chceta,2
268,2016,chcial,7
269,2016,chcialabys,1
270,2016,chcialbym,4
271,2016,chcialbys,6
272,2016,chcialem,8
273,2016,chciales,3
274,2016,chciał,1
275,2016,chciała,1
276,2016,chciałbym,1
277,2016,chciałem,1
278,2016,chciało,2
279,2016,chcieli,4
280,2016,chcual,1
281,2016,chcą,6
282,2016,chcę,2
283,2016,chec,1
284,2016,checia,1
285,2016,chemia,5
286,2016,chemie,2
287,2016,chemii,13
288,2016,chetnie,1
289,2016,chetnych,4
290,2016,chinskich,1
291,2016,chleba,1
292,2016,chlopak,2
293,2016,chlopaka,2
294,2016,chlopaki,1
295,2016,chlopakow,1
296,2016,chlopcow,2
297,2016,chmielnicki,1
298,2016,chmurach,2
299,2016,chmurki,1
300,2016,choc,6
301,2016,chocby,3
302,2016,chochli,1
303,2016,chociaz,33
304,2016,chociaż,5
305,2016,chodza,2
306,2016,chodze,1
307,2016,chodzi,42
308,2016,chodzic,1
309,2016,chodzil,2
310,2016,chodziles,1
311,2016,chodzili,1
312,2016,chodzilo,15
313,2016,chodzisz,2
314,2016,chodzmygdzies,2
315,2016,chopin,2
316,2016,chore,2
317,2016,chorej,1
318,2016,choroba,1
319,2016,chorobe,1
320,2016,choroby,1
321,2016,chory,2
322,2016,choćby,1
323,2016,chrzcie,1
324,2016,chrztu,2
325,2016,chwalba,1
326,2016,chwali,2
327,2016,chwieje,3
328,2016,chwil,1
329,2016,chwila,8
330,2016,chwile,16
331,2016,chwili,6
332,2016,chwilą,2
333,2016,chwilę,4
334,2016,chyb,2
335,2016,chyba,129
336,2016,chętna,1
337,2016,chłopaki,1
338,2016,chłopaku,1
339,2016,chłopi,2
340,2016,ciagla,2
341,2016,ciagle,5
342,2016,ciagu,2
343,2016,ciasniejsze,1
344,2016,ciasta,2
345,2016,ciasteczka,1
346,2016,ciastek,1
347,2016,ciasto,2
348,2016,cichszym,2
349,2016,ciebie,25
350,2016,ciekawe,18
351,2016,ciekawego,11
352,2016,ciekawostka,1
353,2016,ciekawszego,2
354,2016,ciekawszym,1
355,2016,ciekawszą,1
356,2016,ciekawy,5
357,2016,ciekawych,1
358,2016,cieko,1
359,2016,ciemku,1
360,2016,ciemny,1
361,2016,ciemną,2
362,2016,cieniasow,1
363,2016,cieniasy,1
364,2016,ciesz,1
365,2016,ciesze,1
366,2016,cieszy,3
367,2016,cieszyc,2
368,2016,cieszysz,1
369,2016,cieta,1
370,2016,ciezka,1
371,2016,ciezki,1
372,2016,ciezkimi,1
373,2016,ciezko,8
374,2016,ciezsza,1
375,2016,ciri,1
376,2016,ciut,2
377,2016,ciągle,1
378,2016,ciągu,1
379,2016,ciężki,4
380,2016,ciężko,1
381,2016,cnoty,3
382,2016,coco,1
383,2016,codzienna,1
384,2016,codziennie,4
385,2016,conajmniej,16
386,2016,cooo,3
387,2016,coraz,4
388,2016,corp,2
389,2016,costam,1
390,2016,cugowskiego,2
391,2016,cukierki,1
392,2016,cukrem,1
393,2016,cwaelina,1
394,2016,cwiczen,1
