word_count,date
38,2021-12-28 11:39:16
59,2021-12-28 11:39:07
85,2021-12-28 11:38:45
36,2021-12-28 11:37:55
21,2021-12-28 11:37:46
5,2021-12-28 11:37:41
27,2021-12-28 00:13:22
44,2021-12-27 18:15:10
75,2021-12-27 18:15:03
24,2021-12-27 18:00:18
7,2021-12-27 18:00:14
27,2021-12-27 18:00:12
9,2021-12-27 14:40:41
35,2021-12-27 14:40:38
36,2021-12-27 10:51:51
16,2021-12-27 10:42:10
89,2021-12-26 22:21:51
26,2021-12-26 22:20:45
15,2021-12-26 18:48:20
25,2021-05-31 09:31:02
3,2021-05-31 09:30:29
10,2021-05-31 09:30:13
14,2021-05-31 09:29:01
6,2021-05-31 09:28:54
50,2021-05-31 09:26:26
26,2021-05-31 09:26:15
10,2021-05-31 09:25:59
2,2021-05-31 09:25:51
40,2021-05-31 09:25:51
45,2021-05-31 09:25:42
17,2021-05-31 09:25:32
70,2021-05-31 09:24:46
2,2021-05-31 08:42:45
30,2021-05-31 08:35:51
35,2021-05-31 08:35:47
39,2021-05-31 08:34:39
3,2021-05-30 18:27:30
33,2021-05-30 18:27:29
7,2021-05-30 18:27:24
22,2021-05-30 18:27:03
38,2021-05-30 18:27:00
36,2021-05-30 18:26:43
17,2021-05-30 18:26:37
3,2021-05-30 18:26:28
20,2021-05-30 18:25:55
5,2021-05-30 18:25:09
31,2021-05-30 18:24:55
57,2021-05-30 18:24:48
30,2021-05-30 18:24:35
15,2021-05-30 18:24:27
13,2021-05-30 18:24:08
26,2021-05-30 18:24:00
30,2021-05-30 18:22:42
32,2021-05-30 18:22:37
4,2021-05-30 18:22:29
59,2021-05-30 18:22:03
3,2021-05-30 18:21:50
31,2021-05-30 18:21:34
23,2021-05-30 18:21:28
50,2021-05-30 18:21:22
39,2021-05-30 18:21:14
14,2021-05-30 18:21:08
55,2021-05-30 18:15:09
22,2021-05-30 18:14:12
25,2021-05-30 18:14:06
47,2021-05-30 18:14:00
79,2021-05-30 18:13:50
32,2021-05-30 18:13:28
18,2021-05-30 18:13:20
18,2021-05-30 18:13:13
44,2021-05-30 18:11:55
44,2021-05-30 18:11:45
3,2021-05-30 18:11:38
12,2021-05-30 18:10:22
26,2021-05-30 18:10:18
36,2021-05-30 18:10:07
31,2021-05-30 18:10:00
45,2021-05-30 18:09:12
18,2021-05-30 18:09:04
60,2021-05-30 18:08:35
24,2021-05-30 18:07:37
25,2021-05-30 15:43:45
22,2021-05-30 15:43:38
42,2021-05-30 15:43:34
0,2021-05-30 15:43:26
16,2021-05-30 15:42:52
23,2021-05-30 15:42:49
3,2021-05-30 14:12:25
3,2021-05-30 14:09:25
26,2021-05-30 14:05:21
26,2021-05-30 13:47:25
19,2021-05-30 13:46:10
11,2021-05-30 13:46:03
35,2021-05-29 23:31:57
71,2021-05-29 23:01:39
35,2021-05-29 22:29:46
21,2021-05-29 22:29:34
36,2021-05-29 22:29:28
10,2021-05-29 22:28:59
9,2021-05-29 22:28:56
27,2021-05-29 22:28:53
33,2021-05-29 21:58:38
30,2021-05-29 21:54:12
33,2021-05-29 21:51:36
30,2021-05-29 21:49:36
39,2021-05-29 21:48:52
28,2021-05-29 21:48:25
1,2021-05-29 21:47:36
46,2021-05-29 21:47:35
13,2021-05-29 21:46:40
47,2021-05-29 21:46:14
10,2021-05-29 21:45:52
9,2021-05-29 21:45:36
46,2021-05-29 21:44:19
4,2021-05-29 21:44:07
6,2021-05-29 21:44:05
22,2021-05-29 21:43:55
13,2021-05-29 21:43:50
3,2021-05-29 21:43:43
11,2021-05-29 21:43:07
18,2021-05-29 21:42:40
9,2021-05-29 21:41:03
36,2021-05-29 21:40:20
31,2021-05-29 21:39:56
80,2021-05-29 21:39:50
7,2021-05-29 21:39:24
68,2021-05-29 21:39:02
61,2021-05-29 21:38:46
7,2021-05-29 21:36:28
83,2021-05-29 21:36:25
2,2021-05-29 21:36:06
15,2021-05-29 21:36:04
7,2021-05-29 21:35:59
36,2021-05-29 21:35:57
31,2021-05-29 21:35:38
2,2021-05-29 21:33:51
27,2021-05-29 21:33:12
5,2021-05-29 21:32:42
30,2021-05-29 21:32:41
44,2021-05-29 21:32:09
31,2021-05-29 21:30:51
44,2021-05-29 21:21:01
139,2021-05-29 21:20:40
19,2021-05-29 21:20:40
3,2021-10-10 13:09:03
2,2021-10-10 13:09:00
5,2021-06-06 16:07:25
47,2021-06-06 15:58:19
5,2021-11-17 21:27:11
8,2021-11-17 21:11:33
15,2021-11-17 21:11:32
21,2021-11-17 21:11:24
60,2021-11-17 21:11:21
9,2021-11-17 21:11:04
35,2021-11-17 21:11:00
35,2021-11-17 21:10:53
10,2021-11-17 21:10:48
294,2021-11-17 21:10:42
3,2021-11-12 18:09:29
13,2021-11-12 18:08:31
14,2021-11-12 18:08:15
17,2021-11-12 18:08:12
5,2021-11-12 18:02:55
23,2021-11-12 18:02:48
0,2021-11-06 20:40:12
43,2021-10-27 20:42:45
28,2021-10-27 20:42:36
4,2021-10-27 20:42:29
11,2021-10-27 20:42:12
29,2021-10-27 20:42:10
28,2021-10-27 20:41:21
14,2021-10-27 20:41:15
30,2021-10-27 20:41:12
9,2021-10-27 20:40:56
51,2021-10-27 20:40:35
24,2021-10-27 20:40:26
29,2021-10-27 20:40:19
32,2021-10-27 20:38:21
41,2021-10-27 20:38:11
61,2021-10-27 20:38:00
44,2021-10-27 20:37:36
23,2021-10-27 20:36:41
14,2021-10-27 20:36:27
37,2021-10-27 20:36:23
29,2021-10-27 20:36:03
31,2021-10-27 20:35:50
59,2021-10-27 20:35:38
29,2021-10-27 20:35:25
31,2021-10-27 20:35:15
32,2021-10-27 20:35:08
5,2021-10-27 20:34:54
25,2021-10-27 20:33:56
52,2021-10-27 20:33:33
34,2021-10-26 22:13:38
30,2021-10-26 22:13:23
33,2021-10-26 22:13:18
52,2021-10-26 22:13:10
31,2021-10-26 22:12:52
12,2021-10-26 21:59:53
0,2021-10-26 21:57:04
0,2021-10-26 21:56:50
0,2021-10-26 21:56:30
43,2021-10-17 13:13:29
8,2021-10-17 01:33:23
28,2021-10-17 01:30:12
75,2021-10-17 01:28:48
43,2021-10-17 01:28:31
53,2021-10-17 01:28:20
2,2021-10-17 01:28:05
23,2021-10-17 01:28:05
41,2021-10-17 01:28:01
33,2021-10-17 01:27:51
23,2021-10-17 01:27:45
56,2021-10-17 01:26:05
43,2021-10-17 01:25:49
24,2021-10-17 01:25:39
21,2021-10-17 01:25:29
11,2021-10-17 01:25:24
23,2021-10-17 01:23:42
16,2021-10-17 01:23:39
14,2021-10-17 01:23:34
38,2021-10-17 01:23:26
9,2021-10-17 01:23:15
15,2021-10-17 01:20:18
60,2021-10-17 01:18:19
11,2021-10-17 01:17:28
16,2021-10-17 01:17:25
40,2021-10-17 01:17:21
34,2021-10-17 01:17:14
49,2021-10-17 01:17:06
15,2021-10-17 01:16:50
40,2021-10-17 01:16:47
18,2021-10-17 01:16:33
11,2021-10-17 01:15:07
3,2021-10-17 01:15:04
55,2021-10-17 01:14:57
11,2021-10-17 01:14:43
11,2021-10-17 01:14:41
36,2021-10-17 01:13:34
20,2021-10-17 01:13:26
25,2021-10-17 01:13:03
25,2021-10-17 01:12:59
37,2021-10-17 01:12:45
32,2021-10-17 01:12:36
53,2021-10-17 01:12:22
59,2021-10-17 01:10:54
23,2021-10-17 01:10:41
32,2021-10-17 01:10:32
21,2021-10-17 01:10:27
42,2021-10-17 01:10:22
9,2021-10-17 01:09:27
16,2021-10-17 01:06:30
36,2021-10-17 01:06:04
27,2021-10-17 01:05:51
25,2021-10-17 01:03:35
10,2021-10-17 01:03:31
10,2021-10-17 01:02:44
7,2021-10-17 01:00:51
56,2021-10-17 01:00:05
3,2021-10-17 00:59:50
36,2021-10-17 00:59:20
29,2021-10-17 00:58:59
17,2021-10-17 00:58:51
27,2021-10-17 00:58:47
60,2021-10-17 00:58:43
13,2021-10-17 00:58:16
24,2021-10-17 00:58:11
24,2021-10-17 00:57:58
61,2021-10-17 00:57:53
47,2021-10-17 00:57:34
24,2021-10-17 00:57:25
32,2021-10-17 00:57:21
4,2021-10-17 00:57:09
24,2021-10-17 00:57:07
18,2021-10-17 00:56:58
21,2021-10-17 00:56:54
35,2021-10-17 00:56:39
21,2021-10-17 00:56:32
18,2021-10-17 00:55:20
21,2021-10-17 00:55:18
5,2021-10-17 00:55:13
42,2021-10-17 00:55:06
58,2021-10-17 00:54:58
15,2021-10-17 00:54:47
2,2021-10-17 00:52:37
45,2021-10-17 00:52:36
35,2021-10-17 00:51:54
42,2021-10-17 00:51:45
24,2021-10-17 00:51:35
35,2021-10-17 00:51:30
38,2021-10-17 00:49:28
21,2021-10-17 00:49:20
13,2021-10-17 00:49:11
28,2021-10-17 00:49:10
2,2021-10-17 00:49:05
10,2021-10-17 00:49:04
24,2021-10-17 00:47:33
71,2021-10-17 00:47:24
24,2021-10-17 00:47:07
37,2021-10-17 00:46:59
41,2021-10-17 00:46:49
37,2021-10-17 00:46:39
7,2021-10-17 00:46:07
32,2021-10-17 00:46:05
45,2021-10-17 00:45:56
52,2021-10-17 00:45:46
62,2021-10-17 00:45:35
43,2021-10-17 00:45:21
24,2021-10-17 00:45:12
9,2021-10-17 00:45:07
16,2021-10-17 00:44:52
25,2021-10-17 00:44:45
29,2021-10-17 00:42:40
16,2021-10-17 00:42:33
2,2021-10-17 00:42:07
27,2021-10-17 00:42:06
35,2021-10-17 00:40:49
17,2021-10-17 00:40:43
29,2021-10-17 00:40:39
33,2021-10-17 00:40:03
16,2021-10-17 00:39:55
32,2021-10-17 00:39:49
43,2021-10-17 00:39:42
32,2021-10-17 00:39:31
17,2021-10-17 00:39:04
24,2021-10-17 00:39:01
5,2021-10-17 00:38:54
8,2021-10-17 00:38:52
28,2021-10-17 00:37:43
41,2021-10-17 00:37:32
18,2021-10-17 00:37:23
7,2021-10-17 00:37:17
29,2021-10-17 00:36:48
12,2021-10-17 00:36:42
13,2021-10-17 00:36:40
15,2021-10-17 00:36:30
20,2021-10-17 00:36:24
70,2021-10-17 00:35:19
11,2021-10-17 00:35:04
66,2021-10-17 00:34:52
25,2021-10-17 00:34:36
10,2021-10-17 00:33:53
12,2021-10-17 00:33:49
38,2021-10-17 00:33:47
44,2021-10-17 00:33:38
22,2021-10-17 00:33:09
6,2021-10-17 00:33:02
14,2021-10-17 00:30:41
40,2021-10-17 00:30:38
21,2021-10-17 00:30:28
40,2021-10-17 00:30:22
25,2021-10-17 00:30:12
9,2021-10-17 00:30:05
42,2021-10-17 00:29:54
35,2021-10-17 00:29:46
38,2021-10-17 00:29:40
46,2021-10-17 00:29:24
23,2021-10-17 00:29:16
90,2021-10-17 00:27:34
3,2021-10-17 00:27:14
8,2021-10-17 00:27:13
28,2021-10-17 00:27:11
37,2021-10-17 00:27:06
13,2021-10-17 00:26:55
0,2021-09-26 23:41:37
42,2021-09-21 19:25:33
24,2021-09-21 19:25:20
24,2021-09-21 19:25:14
8,2021-09-21 19:21:26
22,2021-09-21 19:21:23
83,2021-09-21 19:21:18
36,2021-09-21 19:20:54
51,2021-09-21 19:20:43
9,2021-09-21 19:20:23
46,2021-09-21 19:20:18
30,2021-09-21 19:20:05
14,2021-09-21 19:19:41
25,2021-09-21 19:18:29
53,2021-09-21 19:18:24
47,2021-09-21 19:18:10
28,2021-09-21 19:17:51
40,2021-09-21 19:16:58
19,2021-09-21 19:16:24
23,2021-09-21 19:16:12
47,2021-09-21 19:16:04
34,2021-09-21 19:15:48
22,2021-09-21 19:15:35
7,2021-09-21 19:15:29
51,2021-09-21 19:12:17
6,2021-09-21 19:11:43
47,2021-09-21 19:11:21
21,2021-09-21 19:11:06
26,2021-09-21 19:10:36
40,2021-09-21 19:10:27
2,2021-09-21 19:09:59
7,2021-09-21 19:09:29
5,2021-09-21 19:09:24
3,2021-09-21 19:08:40
8,2021-09-21 19:08:04
11,2021-09-21 18:44:58
34,2021-09-19 22:55:36
10,2021-09-19 22:54:39
28,2021-09-19 22:54:37
22,2021-09-19 22:54:30
36,2021-09-19 22:54:23
6,2021-09-19 22:54:15
34,2021-09-19 22:53:42
40,2021-09-19 22:49:30
73,2021-09-19 22:49:09
62,2021-09-19 22:48:43
12,2021-09-19 22:48:31
52,2021-09-19 22:44:30
46,2021-09-19 22:44:16
5,2021-09-19 22:44:03
22,2021-09-19 22:43:57
42,2021-09-19 22:42:50
6,2021-09-19 22:42:42
22,2021-09-19 22:42:22
38,2021-09-19 22:42:18
14,2021-09-19 22:42:08
3,2021-09-19 22:41:23
10,2021-09-19 22:41:18
10,2021-09-19 22:41:13
13,2021-09-19 22:40:55
18,2021-09-17 15:49:15
50,2021-09-17 15:49:08
47,2021-09-17 15:48:53
13,2021-09-17 15:48:44
16,2021-09-17 15:45:32
15,2021-09-17 15:44:42
29,2021-09-17 15:41:53
22,2021-09-17 15:41:49
18,2021-09-17 15:41:35
10,2021-09-17 15:41:27
5,2021-09-17 15:40:54
48,2021-09-17 15:40:51
10,2021-09-17 15:40:40
10,2021-09-17 15:39:59
3,2021-09-17 15:39:55
9,2021-09-15 12:37:01
8,2021-09-15 12:36:56
16,2021-09-15 12:36:38
23,2021-09-15 12:36:33
57,2021-09-15 12:36:25
5,2021-09-15 12:36:08
25,2021-09-15 12:35:20
34,2021-09-15 12:35:12
14,2021-09-15 12:35:05
26,2021-09-15 12:35:02
3,2021-09-08 10:32:59
10,2021-09-08 10:32:47
8,2021-09-08 10:32:30
24,2021-09-07 23:57:28
5,2021-09-07 23:57:16
12,2021-08-26 16:06:58
66,2021-08-23 16:03:02
40,2021-08-23 15:53:50
18,2021-08-23 15:53:39
18,2021-08-23 15:48:22
18,2021-08-23 15:43:49
7,2021-08-23 15:43:45
23,2021-08-23 13:58:45
3,2021-08-23 13:58:38
14,2021-08-23 13:58:23
18,2021-08-23 13:57:45
13,2021-08-23 13:57:42
32,2021-08-23 13:57:39
14,2021-08-23 09:14:57
38,2021-08-23 09:14:53
40,2021-08-23 09:14:47
13,2021-08-23 09:14:38
13,2021-08-23 09:10:36
24,2021-08-23 09:10:21
24,2021-08-23 09:10:16
13,2021-08-23 09:09:01
7,2021-08-23 09:08:31
0,2021-08-21 12:55:09
8,2021-08-21 12:47:18
0,2021-08-21 12:47:16
2,2021-08-21 12:45:43
39,2021-08-21 12:45:42
0,2021-08-21 12:45:38
13,2021-08-21 12:44:34
47,2021-08-21 12:44:18
13,2021-08-21 12:44:07
12,2021-08-21 11:38:06
22,2021-08-21 11:36:00
32,2021-08-21 11:35:55
15,2021-08-21 11:35:20
31,2021-08-21 11:35:15
