,year,token,size
0,2021,AUTHORS,1
1,2021,Aaaa,1
2,2021,Aaaaa,2
3,2021,Aaaaaa,2
4,2021,Aaaaaaaaaaa,1
5,2021,Ahhh,1
6,2021,Ahhhh,1
7,2021,Aids,1
8,2021,AjwmQlag,1
9,2021,Albo,15
10,2021,Algorytmy,1
11,2021,Alternative,1
12,2021,Angielski,1
13,2021,Anin,1
14,2021,Antoni,1
15,2021,Apbo,1
16,2021,ApiCom,1
17,2021,ApiResponse,1
18,2021,Apiresponse,1
19,2021,Australii,1
20,2021,Autobus,1
21,2021,BEGIN,1
22,2021,Babie,1
23,2021,Bapisa,1
24,2021,Bardzo,4
25,2021,Based,1
26,2021,Basenu,1
27,2021,Best,1
28,2021,Biedny,1
29,2021,Biega,1
30,2021,Boli,1
31,2021,Bond,1
32,2021,Borbaboc,1
33,2021,Brawo,1
34,2021,Brody,1
35,2021,Brzmi,1
36,2021,Bucher,1
37,2021,Buck,1
38,2021,Byle,1
39,2021,Byli,1
40,2021,CHWP,1
41,2021,CSpVj,1
42,2021,Calculation,1
43,2021,Changes,1
44,2021,Chce,1
45,2021,Chcesz,1
46,2021,Chcia,2
47,2021,Chlip,1
48,2021,Chod,2
49,2021,Chujnia,1
50,2021,Chyba,9
51,2021,Ciekawe,3
52,2021,Ciep,1
53,2021,Cierpliwy,1
54,2021,City,1
55,2021,ClMledUVqOZDv,1
56,2021,Conty,1
57,2021,Coooo,1
58,2021,Cooooo,1
59,2021,Cooooooo,1
60,2021,CtzSMatxl,3
61,2021,Czas,1
62,2021,Czasem,1
63,2021,Czekam,2
64,2021,Czemu,14
65,2021,Czkj,4
66,2021,Czyj,1
67,2021,Czyli,4
68,2021,Czysta,1
69,2021,DIwAR,1
70,2021,Dajcie,1
71,2021,Danke,5
72,2021,DataVisualizationTechniques,1
73,2021,Dawno,1
74,2021,Ddddd,1
75,2021,Delirka,1
76,2021,Denkiewicz,1
77,2021,Denkiewicza,1
78,2021,Dialogi,1
79,2021,Dlatego,6
80,2021,Dobra,12
81,2021,Dobranoc,1
82,2021,Dobrze,2
83,2021,Dodatkowy,1
84,2021,Doktor,1
85,2021,Drigie,1
86,2021,Drugie,1
87,2021,Dupnie,1
88,2021,Dzie,1
89,2021,Dziewczyne,1
90,2021,Dzisiaj,2
91,2021,Eeeeeeee,1
92,2021,Eeeeeeeeeeeeee,1
93,2021,Eeeeeeej,1
94,2021,Eehhhhh,1
95,2021,Ehhh,2
96,2021,Ehhhh,5
97,2021,Ehhhhh,1
98,2021,Ehhhhhh,1
99,2021,Ehhhhhhh,1
100,2021,Emil,4
101,2021,Enden,1
102,2021,Fajne,1
103,2021,Farelje,1
104,2021,Ffbclid,1
105,2021,Fforms,1
106,2021,Flis,3
107,2021,Fossil,1
108,2021,Franciszek,3
109,2021,Freizeit,3
110,2021,FvyCabeebtbvoE,1
111,2021,GCEC,1
112,2021,GKkY,1
113,2021,Gada,1
114,2021,Gdyby,6
115,2021,Gdybym,1
116,2021,Gdzie,6
117,2021,Generalnie,1
118,2021,Gites,4
119,2021,Godzine,1
120,2021,Granuluje,1
121,2021,Gratuluje,2
122,2021,Greata,1
123,2021,Greta,1
124,2021,Grupy,1
125,2021,Grzegorz,4
126,2021,Gwarantowan,1
127,2021,Haha,9
128,2021,Hahahahaha,1
129,2021,Harmonogram,1
130,2021,Hmmm,2
131,2021,Hmmmm,2
132,2021,Hmmmmm,2
133,2021,Hooknose,1
134,2021,Hubert,1
135,2021,Idealnie,1
136,2021,Idziesz,1
137,2021,Inna,1
138,2021,Inne,1
139,2021,Itak,1
140,2021,Jaka,1
141,2021,Jaki,4
142,2021,Jakie,3
143,2021,Jako,1
144,2021,Janek,1
145,2021,Janik,3
146,2021,Jasne,2
147,2021,Java,1
148,2021,Jeba,3
149,2021,Jedna,3
150,2021,Jedno,1
151,2021,Jedziesz,1
152,2021,Jest,1
153,2021,Jeste,6
154,2021,Jestem,1
155,2021,Jeszcze,2
156,2021,Jezus,1
157,2021,Jutro,2
158,2021,Kacper,1
159,2021,Karola,1
160,2021,Kiedy,1
161,2021,Kirde,1
162,2021,Kirwa,1
163,2021,Kobiety,1
164,2021,Kosztowalo,1
165,2021,Kruci,4
166,2021,Kurde,16
167,2021,Kurna,8
168,2021,Kurwa,17
169,2021,Kusz,1
170,2021,Kuszace,1
171,2021,LICENSE,1
172,2021,LSTMs,1
173,2021,LakjeNE,1
174,2021,Language,1
175,2021,Lepiej,1
176,2021,Lepszy,1
177,2021,Liczba,1
178,2021,Lipowo,1
179,2021,Location,1
180,2021,Loci,1
181,2021,Macie,2
182,2021,Mamy,1
183,2021,Masz,3
184,2021,Mateusz,3
185,2021,Mathematica,1
186,2021,Meeeeeeh,1
187,2021,Melatonina,1
188,2021,Metrwm,1
189,2021,MiKo,1
190,2021,Micha,3
191,2021,Miej,1
192,2021,Mieli,1
193,2021,Mienie,1
194,2021,Miesi,2
195,2021,Mili,1
196,2021,Milimetry,1
197,2021,Mimo,3
198,2021,Minusy,1
199,2021,Minuta,1
200,2021,Model,1
201,2021,Modzelewski,1
202,2021,Moge,2
203,2021,Mokro,1
204,2021,Mrrrau,1
205,2021,Mucha,1
206,2021,Murzyn,1
207,2021,Musia,2
208,2021,Musimy,2
209,2021,Musze,1
210,2021,MzCRqMrttw,1
211,2021,NWkYXIcMvk,1
212,2021,Nada,1
213,2021,Najlepsze,1
214,2021,Nano,1
215,2021,Napisa,2
216,2021,Nawet,4
217,2021,Nieeee,2
218,2021,Nieeeee,1
219,2021,Nieeeeee,1
220,2021,Nieeeeeeeee,1
221,2021,Niekt,1
222,2021,Niestety,2
223,2021,Nigdzie,1
224,2021,Normalnie,1
225,2021,Ntho,1
226,2021,Obudzi,1
227,2021,Odznacz,1
228,2021,OfertaSkupu,2
229,2021,OfertySkupu,1
230,2021,Ogarnij,1
231,2021,Okok,2
232,2021,Omropne,1
233,2021,Opus,1
234,2021,Ostrzega,1
235,2021,PRODUKT,1
236,2021,PRODUKTY,1
237,2021,Pada,1
238,2021,Palce,1
239,2021,Pami,1
240,2021,Pani,1
241,2021,Papryka,1
242,2021,Patrz,1
243,2021,Pawe,2
244,2021,PdOdvXk,1
245,2021,Peoponuje,1
246,2021,Peron,1
247,2021,Pewnie,4
248,2021,Pffffffff,1
249,2021,Pierwsza,1
250,2021,Pierwsze,2
251,2021,Pisali,1
252,2021,Plus,1
253,2021,Pocz,3
254,2021,Podoba,1
255,2021,Podrzuci,1
256,2021,Podzia,1
257,2021,Podzieli,1
258,2021,Pogoda,1
259,2021,Pojade,1
260,2021,Pojebane,1
261,2021,Poka,2
262,2021,Pomiesza,1
263,2021,Posta,1
264,2021,Poszed,1
265,2021,Poszukam,1
266,2021,Powiedzia,1
267,2021,Powietrze,1
268,2021,Powinni,1
